
[00:00:00.000 --> 00:00:05.800]  向在家裏面崇拜的弟兄姊妹問安
[00:00:05.800 --> 00:00:08.900]  願耶穌基督的恩惠和平安臨到大家
[00:00:08.900 --> 00:00:15.900]  人生是非常矛盾的
[00:00:15.900 --> 00:00:24.600]  一個新冠狀病毒令全世界幾乎癱瘓
[00:00:24.600 --> 00:00:32.600]  也是因爲這個冠狀病毒我有相對多一些時間和空間
[00:00:32.600 --> 00:00:36.300]  下定決心去寫十誡系列的信息
[00:00:36.300 --> 00:00:41.300]  我有多一點時間和空間去下決心去寫十誡這個信息
[00:00:41.300 --> 00:00:48.500]  也可以這麼說澄清了我很多年來對十誡一些不明白的地方
[00:00:48.500 --> 00:00:53.100]  也可以澄清了一些多年以來我對十誡裏面一些不明白的地方
[00:00:53.100 --> 00:00:58.200]  今天早上我會做一個很大膽的嘗試
[00:00:58.200 --> 00:01:04.900]  和大家去透過第二言去觸及一個大家很少涉及的題目
[00:01:04.900 --> 00:01:11.600]  我們會透過第二言去跟大家一起去提到一個很少去碰的題目
[00:01:11.600 --> 00:01:14.700]  就是圖像神學
[00:01:14.700 --> 00:01:19.500]  請大家等一會兒節目務必要很仔細地去聆聽
[00:01:19.500 --> 00:01:22.700]  請各位弟兄姊妹必須要很仔細地去聆聽
[00:01:22.700 --> 00:01:25.400]  也都放下先入爲主的觀念
[00:01:25.400 --> 00:01:27.500]  也放下先入爲主的一些觀念
[00:01:27.500 --> 00:01:31.400]  完了之後我也會將整篇信息傳給大家
[00:01:31.400 --> 00:01:33.800]  完了以後我會把整篇的信息傳給大家
[00:01:33.800 --> 00:01:36.700]  因爲如果你不放下先入爲主的觀念
[00:01:36.700 --> 00:01:39.000]  又說你不放下你先入爲主的觀念
[00:01:39.000 --> 00:01:42.800]  你可能會誤會牧師傳講一些不純正的道理
[00:01:42.800 --> 00:01:46.500]  又可能你會認爲牧師在傳講一些不純正的道理
[00:01:46.500 --> 00:01:51.700]  十誡第二言在華本聖經是以不可作爲這個起首語
[00:01:51.700 --> 00:01:57.100]  十誡第二言在華本聖經是以不可作爲這個起首語
[00:01:57.100 --> 00:02:02.200]  大家還記不記得我在道論講到有關十誡的時候呢?
