
[00:00:00.000 --> 00:00:04.580]  我仍然很感受上個星期和大家分享加勒的生平
[00:00:04.580 --> 00:00:09.720]  今天我們會看回題目是「互相輔助迎挑戰」
[00:00:09.720 --> 00:00:11.880]  我盡量去到七個字
[00:00:11.880 --> 00:00:17.300]  我們主要集中在《史詩記》第一章第一到第四節和第十九節
[00:00:17.300 --> 00:00:20.080]  我們先看到一件事是什麼呢?
[00:00:20.080 --> 00:00:21.680]  就是大張利虛
[00:00:21.680 --> 00:00:23.420]  但是他們更加倚靠神
[00:00:23.420 --> 00:00:26.080]  以色列人出拉及入迦南地的時候
[00:00:26.080 --> 00:00:30.360]  兩個很卓越的領袖都帶領著他們
[00:00:30.360 --> 00:00:34.600]  摩西就帶領以色列人對抗法路
[00:00:34.600 --> 00:00:37.200]  然後離開了法路管轄
[00:00:37.200 --> 00:00:39.920]  終於得到自由
[00:00:39.920 --> 00:00:41.960]  大地在曠野漂流四十年
[00:00:41.960 --> 00:00:43.760]  進入迦南地的時候
[00:00:43.760 --> 00:00:47.760]  就由他的接棒人約書亞來帶領
[00:00:47.760 --> 00:00:51.560]  但是在《史詩記》一開始我們看到
[00:00:51.560 --> 00:00:54.760]  約書亞都離開世界了
[00:00:54.760 --> 00:00:59.500]  但是似乎沒有一個很突出的領袖帶領著他們
[00:00:59.500 --> 00:01:04.140]  我們可能都會想迦納都可以
[00:01:04.140 --> 00:01:08.420]  迦納和約書亞同年代
[00:01:08.420 --> 00:01:11.420]  唯有他們兩個可以入迦南地
[00:01:11.420 --> 00:01:15.300]  但是神沒有揀選迦納做他們的領袖
[00:01:15.300 --> 00:01:18.340]  上次我們看到迦納我很欣賞他
[00:01:18.340 --> 00:01:20.840]  他一官半職都沒有
[00:01:20.840 --> 00:01:22.200]  沒有做賦稅
[00:01:22.200 --> 00:01:23.780]  但是他沒有埋怨
[00:01:23.780 --> 00:01:26.160]  他仍然堅守他自己的立場
[00:01:26.160 --> 00:01:28.080]  還有他自己的使命
[00:01:28.080 --> 00:01:30.880]  我們看到沒有一個很突出的領袖
[00:01:30.880 --> 00:01:33.280]  他就陷入一個危機裏面
[00:01:33.280 --> 00:01:36.600]  正所謂蛇無頭而不行
