
[00:00:00.000 --> 00:00:05.460]  今日教育主日,我們要有一個在這方面的思想,我們先有個祈禱
[00:00:05.460 --> 00:00:11.620]  求主幫助我們讓元朗堂,讓區會的學校
[00:00:11.620 --> 00:00:18.640]  都能夠更加有心機,更加用心去辦,辦得更好
[00:00:18.640 --> 00:00:25.640]  以致到更多的學生在當中得到幫助,改變他們人生的軌跡
[00:00:25.640 --> 00:00:33.980]  我們這樣祈禱教堂,奉主耶穌基督的名,誠心所願
[00:00:33.980 --> 00:00:36.280]  今日的經文是很熟悉的
[00:00:36.280 --> 00:00:41.540]  教養孩童,使他走當行的道,就是道老也不偏離
[00:00:41.540 --> 00:00:49.060]  這個可以說是教育的金句,已熟能詳
[00:00:49.060 --> 00:00:53.120]  教育主日,這裡說教養孩童
[00:00:53.120 --> 00:00:57.000]  這兩個說法有什麼不同呢?
[00:00:57.000 --> 00:01:03.380]  中文是一個字一個音,每一個字都有它自己的意思
[00:01:03.380 --> 00:01:05.380]  獨立的一個意思
[00:01:05.380 --> 00:01:13.520]  教就是教,不用說,教懂它,教導它
[00:01:13.520 --> 00:01:19.120]  它不懂計數,教它計數,它不懂做手工,教它做手工
[00:01:19.120 --> 00:01:24.040]  它不懂做那樣東西,我們教它,在外面給它看
[00:01:24.040 --> 00:01:28.080]  育呢?
[00:01:28.080 --> 00:01:30.680]  育就是培育
[00:01:30.680 --> 00:01:32.880]  培育和教有些不同
[00:01:32.880 --> 00:01:35.840]  培育要感化它,感動它
[00:01:35.840 --> 00:01:40.080]  有些東西你可以教,但是品味就不能教了
[00:01:40.080 --> 00:01:43.380]  品味它要慢慢去滇染的
[00:01:43.380 --> 00:01:51.060]  性格呢?開朗的性格呢?活潑的性格呢?你要感染它
[00:01:51.060 --> 00:01:54.060]  堅毅呢?
[00:01:54.060 --> 00:01:56.060]  你不是教它堅毅
[00:01:56.060 --> 00:01:58.940]  你要慢慢去培育它一種這樣的個性
[00:01:58.940 --> 00:02:02.580]  所以除了教之外,其實很重要的就是育
[00:02:02.580 --> 00:02:06.240]  育就是培育,就是感染
[00:02:06.240 --> 00:02:10.620]  教養呢?養就是給它吃
[00:02:10.620 --> 00:02:13.580]  其實這裏不是養,是修養
[00:02:13.580 --> 00:02:15.260]  其實和育有關係
[00:02:15.260 --> 00:02:25.380]  教導它,或者教育它,以及要讓它有一個修養
[00:02:25.380 --> 00:02:29.860]  教導和修養,一個是外面的
[00:02:29.860 --> 00:02:34.300]  知識性的,技能性的,幫助它
[00:02:34.300 --> 00:02:39.020]  育呢?就是品格和人格的建立
[00:02:39.020 --> 00:02:43.060]  老師呢?有兩個很重要的角色
[00:02:43.060 --> 00:02:46.020]  或者學生呢?有兩個很重要的責任
[00:02:46.020 --> 00:02:49.260]  就是我們要學一些技能,學一些知識
[00:02:49.260 --> 00:02:52.460]  又要培養一種品格
[00:02:52.460 --> 00:02:57.140]  一種興趣,一些習慣
[00:02:57.140 --> 00:02:59.420]  這兩樣東西都這麼重要的
[00:02:59.420 --> 00:03:04.780]  如果只是學一些知識,而又沒有興趣,沒有品格呢?
[00:03:04.780 --> 00:03:13.620]  那你就很容易就會自首不了的了
[00:03:13.620 --> 00:03:18.300]  教育的好和壞是影響我們一生人的
[00:03:18.300 --> 00:03:20.420]  亦都影響整個社群
[00:03:20.420 --> 00:03:24.940]  亦都影響遠一點就是我們的國家,甚至社會
[00:03:24.940 --> 00:03:27.460]  所以教育是很重要的
[00:03:27.460 --> 00:03:32.900]  所有的家庭,如果它不重視教育呢?
[00:03:32.900 --> 00:03:36.220]  這個家庭都不會有前景的
[00:03:36.220 --> 00:03:39.220]  所有的社會,如果它不重視教育呢?
[00:03:39.220 --> 00:03:43.100]  這個社會亦都不會有希望的
[00:03:43.100 --> 00:03:47.860]  有一個總督周圍去巡,巡了一個地方
[00:03:47.860 --> 00:03:50.820]  他發覺這個地方非常之好
[00:03:50.820 --> 00:03:54.540]  就問那個地方的官員,為什麼這裡這麼好的呢?
[00:03:54.540 --> 00:03:59.980]  治安這麼好,真是路不拾遺,夜不閉戶
[00:03:59.980 --> 00:04:04.660]  這個地方首長就請了我們的警察局長來
[00:04:04.660 --> 00:04:08.620]  你看我們的警察很厲害的,查案能力很高的
[00:04:08.620 --> 00:04:13.260]  這個總督說其實不關他的事的
[00:04:13.260 --> 00:04:15.540]  那什麼呢?我們的法律很嚴的
[00:04:15.540 --> 00:04:17.700]  有什麼事我們就抓了他去
[00:04:17.700 --> 00:04:20.620]  罰得很重的,所以沒有人敢犯法的
[00:04:20.620 --> 00:04:23.740]  總督說都不關係的
[00:04:23.740 --> 00:04:26.980]  真正關係的是什麼呢?
[00:04:26.980 --> 00:04:30.940]  是這裡的教育好
[00:04:30.940 --> 00:04:32.980]  這裡的教育好
[00:04:32.980 --> 00:04:35.140]  那些人懂得自律
[00:04:35.140 --> 00:04:37.860]  所以最大的功勞是他們的教育部
[00:04:37.860 --> 00:04:41.980]  又不是警察部,又不是監獄部
[00:04:41.980 --> 00:04:44.020]  教育是改變一個人
[00:04:44.020 --> 00:04:47.780]  由內心裏面來改變,這個很重要
[00:04:47.780 --> 00:04:52.660]  教育的時機是何時呢?
[00:04:52.660 --> 00:04:57.780]  這裡說教養孩童,使他走當行的路
[00:04:57.780 --> 00:05:02.220]  孩童就是一個最好的時機
[00:05:02.220 --> 00:05:06.500]  由零歲到十八歲,十八歲就拿身份證
[00:05:06.500 --> 00:05:09.460]  這個是我們人生最重要的學習階段
[00:05:09.460 --> 00:05:14.700]  我們當中的同學大約是六年級
[00:05:14.700 --> 00:05:20.420]  六年級,十一歲、十一、二歲
[00:05:20.420 --> 00:05:23.780]  是一個很重要的學習階段
[00:05:23.780 --> 00:05:27.580]  十八歲就是高中畢業
[00:05:27.580 --> 00:05:29.380]  大概高中畢業
[00:05:29.380 --> 00:05:33.580]  之後就讀大學或者專上
[00:05:33.580 --> 00:05:37.300]  這段日子是最重要的學習階段
[00:05:37.300 --> 00:05:39.660]  我都跟我們前面的同學說
[00:05:39.660 --> 00:05:41.500]  明年你們就會升中
[00:05:41.500 --> 00:05:43.340]  接著有六年的中學
[00:05:43.340 --> 00:05:54.420]  是很重要的時間,要把握
[00:05:54.420 --> 00:05:59.700]  我有一個朋友,他也是一個很重要的教授
[00:05:59.700 --> 00:06:04.460]  我記得大約是一九九一年
[00:06:04.460 --> 00:06:06.900]  因為我的場面我都記得
[00:06:06.900 --> 00:06:09.500]  我邀請他去教會,他比我小一點
[00:06:09.500 --> 00:06:12.220]  他負責演講
[00:06:12.220 --> 00:06:16.980]  他現在是香港眼科醫院的院長
[00:06:16.980 --> 00:06:19.820]  也是一個病理學博士
[00:06:19.820 --> 00:06:22.580]  行治培教授
[00:06:22.580 --> 00:06:25.620]  醫學界都認識他的
[00:06:25.620 --> 00:06:27.300]  他是一個病理學家
[00:06:27.300 --> 00:06:30.100]  他在牛頓讀完博士回來之後
[00:06:30.100 --> 00:06:34.540]  在香港中文大學教醫生
[00:06:34.540 --> 00:06:36.300]  他本身不是醫生
[00:06:36.300 --> 00:06:39.380]  我請了他來教會分享報道
[00:06:39.380 --> 00:06:42.260]  他說了一句說話,我就抄下了
[00:06:42.260 --> 00:06:46.700]  來不及我看到,都很有深刻的印象
[00:06:46.700 --> 00:06:49.140]  那句說話說什麼呢?
[00:06:49.140 --> 00:06:51.540]  我覺得很有智慧
[00:06:51.540 --> 00:06:55.380]  他說人生最重要的事情
[00:06:55.380 --> 00:07:03.500]  往往是他不知道的時候已經被決定了
[00:07:03.500 --> 00:07:06.540]  人生最重要的事情
[00:07:06.540 --> 00:07:12.060]  往往是他不知道的時候已經被決定了
[00:07:12.060 --> 00:07:17.700]  因為他是老師,是收學生的
[00:07:17.700 --> 00:07:20.580]  那些學生不知道你收不收他
[00:07:20.580 --> 00:07:22.660]  你收了他
[00:07:22.660 --> 00:07:27.420]  那個程度就決定了他往後的學習
[00:07:27.420 --> 00:07:31.140]  我們學生,你遲些就要報學校了
[00:07:31.140 --> 00:07:34.100]  好像是被人決定的
[00:07:34.100 --> 00:07:37.300]  我們原來做很多事情
[00:07:37.300 --> 00:07:42.620]  我們不知道的時候,已經被決定了
[00:07:42.620 --> 00:07:46.340]  現在你們還小,很多事情都不知道
[00:07:46.340 --> 00:07:52.460]  但是很多決定性的事情現在就發生了
[00:07:52.460 --> 00:07:56.340]  但是你們有沒有責任或者有沒有能力
[00:07:56.340 --> 00:07:59.940]  去參與這個決定,去改變這個決定呢?
[00:07:59.940 --> 00:08:01.660]  都有的
[00:08:01.660 --> 00:08:06.100]  你盡量知道多一點,盡量去掌握自己
[00:08:06.100 --> 00:08:08.180]  我們知道有很多事情不是我們決定的
[00:08:08.180 --> 00:08:12.020]  哪間學校收我們,不收我們,不是我們決定的
