
[00:00:00.000 --> 00:00:07.000]  有四個字叫舉步維艱
[00:00:07.000 --> 00:00:10.000]  意思就是比喻環境很困難
[00:00:10.000 --> 00:00:12.000]  很難前進
[00:00:12.000 --> 00:00:14.000]  就好像水災之後
[00:00:14.000 --> 00:00:17.000]  真的舉步維艱
[00:00:17.000 --> 00:00:19.000]  對於那些因為中風
[00:00:19.000 --> 00:00:21.000]  兩隻腳不能夠再走路
[00:00:21.000 --> 00:00:22.000]  或者短時間不能走路
[00:00:22.000 --> 00:00:23.000]  要坐輪椅
[00:00:23.000 --> 00:00:27.000]  他們真的舉步維艱
[00:00:27.000 --> 00:00:29.000]  一步對於他們來說
[00:00:29.000 --> 00:00:31.000]  都是充滿感恩
[00:00:31.000 --> 00:00:35.000]  都是充滿盼望
[00:00:35.000 --> 00:00:38.000]  對於一個完全失去自信
[00:00:38.000 --> 00:00:40.000]  動力的人來說
[00:00:40.000 --> 00:00:41.000]  我們巴不得
[00:00:41.000 --> 00:00:44.000]  很希望能夠有一天對他說
[00:00:44.000 --> 00:00:49.000]  你終於踏出重要的一步
[00:00:49.000 --> 00:00:51.000]  一步很小
[00:00:51.000 --> 00:00:52.000]  腳長一點就可能大步一點
[00:00:52.000 --> 00:00:54.000]  都是一步
[00:00:54.000 --> 00:00:56.000]  看來很細微的一步
[00:00:56.000 --> 00:01:00.000]  但可以帶來很不同的將來
[00:01:00.000 --> 00:01:03.000]  十章二十五至三十七節
[00:01:03.000 --> 00:01:05.000]  一段很熟悉的記載
[00:01:05.000 --> 00:01:07.000]  當中包含了大家很熟悉的
[00:01:07.000 --> 00:01:10.000]  很撒瑪利人比喻
[00:01:10.000 --> 00:01:12.000]  大家一定對這個比喻很熟悉
[00:01:12.000 --> 00:01:13.000]  熟悉到會背
[00:01:13.000 --> 00:01:15.000]  會知道它的情節
[00:01:15.000 --> 00:01:17.000]  但是耶穌為什麼
[00:01:17.000 --> 00:01:19.000]  要講這個比喻呢
[00:01:19.000 --> 00:01:22.000]  你必須看回二十五至二十九節
[00:01:22.000 --> 00:01:23.000]  耶穌其實講這個比喻
[00:01:23.000 --> 00:01:25.000]  是有一個原因的
[00:01:25.000 --> 00:01:29.000]  還有處理一個大家很想問的
[00:01:29.000 --> 00:01:32.000]  就是誰是我們的鄰舍
[00:01:32.000 --> 00:01:35.000]  但是耶穌很嶄新地解釋
[00:01:35.000 --> 00:01:38.000]  鄰舍的定義
[00:01:38.000 --> 00:01:41.000]  在十章二十七節裡面
[00:01:41.000 --> 00:01:43.000]  在這個故事的其中一節
[00:01:43.000 --> 00:01:47.000]  就是律法師回答耶穌的反問
[00:01:47.000 --> 00:01:51.000]  他說 你要盡心盡性盡力盡意
[00:01:51.000 --> 00:01:53.000]  愛主你的神
[00:01:53.000 --> 00:01:55.000]  愛論如己
[00:01:55.000 --> 00:01:57.000]  律法師很熟悉律法的
[00:01:57.000 --> 00:02:00.000]  他能夠將利美記生命記的信息
[00:02:00.000 --> 00:02:01.000]  去結合
[00:02:01.000 --> 00:02:03.000]  我們知道
[00:02:03.000 --> 00:02:05.000]  耶穌曾經講過
[00:02:05.000 --> 00:02:08.000]  不過這次是因為耶穌反問律法師
[00:02:08.000 --> 00:02:13.000]  於是律法師就很流暢地去講
