
[00:00:00.000 --> 00:00:01.560]  過去幾個星期
[00:00:01.560 --> 00:00:04.260]  你們支持我跟不同教會的牧者聊天
[00:00:04.260 --> 00:00:09.140]  我們聊天是教會崇拜的遲到問題
[00:00:09.140 --> 00:00:13.120]  你知道更加教會有些少數人都會遲到
[00:00:13.120 --> 00:00:15.120]  當然我昨天第一次回來
[00:00:15.120 --> 00:00:18.400]  我很久沒有回來祖堂崇拜
[00:00:18.400 --> 00:00:20.560]  因為昨天早上有向日葵崇拜
[00:00:20.560 --> 00:00:24.200]  我已經很久沒有在向日葵那邊講道
[00:00:24.200 --> 00:00:26.320]  昨天因為我們有這樣的調動
[00:00:26.320 --> 00:00:31.040]  早上的向日葵崇拜和成仁崇拜會聯合在一起
[00:00:31.040 --> 00:00:33.040]  所以我昨天早上就去講道
[00:00:33.040 --> 00:00:36.960]  昨天早上因為我的PowerPoint有些問題
[00:00:36.960 --> 00:00:38.800]  於是我就很早回來
[00:00:38.800 --> 00:00:40.000]  我以為自己很早回來
[00:00:40.000 --> 00:00:42.520]  我九點二十五分已經回來教會
[00:00:42.520 --> 00:00:44.120]  因為崇拜是十點鐘開始
[00:00:44.120 --> 00:00:45.480]  我早了三五分鐘回來
[00:00:45.480 --> 00:00:46.640]  我以為自己很早
[00:00:46.640 --> 00:00:49.160]  誰知我回來看到一班哥哥姐姐
[00:00:49.160 --> 00:00:51.880]  我們一班長輩已經穿上制服
[00:00:51.880 --> 00:00:54.160]  在下面的門口 在下面的大廳
[00:00:54.160 --> 00:00:56.760]  已經是拍手歡迎每一個進場的人
[00:00:56.760 --> 00:00:58.400]  我說他們這麼早回來
[00:00:58.400 --> 00:01:00.560]  他們說是呀 我們從來都不遲到
[00:01:00.560 --> 00:01:04.160]  十點鐘 差不多那班哥哥姐姐
[00:01:04.160 --> 00:01:07.320]  已經預備好心坐在那裡
[00:01:07.320 --> 00:01:09.320]  縱然昨天都有些人遲到
[00:01:09.320 --> 00:01:12.000]  我發覺遲到的人都是那些成仁崇拜的人
[00:01:12.000 --> 00:01:12.960]  是遲到的
[00:01:12.960 --> 00:01:15.320]  哥哥姐姐是沒有遲到的
[00:01:15.320 --> 00:01:17.400]  當然在我們一班同工
[00:01:17.400 --> 00:01:19.600]  跟不同的牧者聊天的時候
[00:01:19.600 --> 00:01:21.240]  我們都聊開崇拜
[00:01:21.240 --> 00:01:23.880]  有些弟兄姊妹都會遲到一下
[00:01:23.880 --> 00:01:25.800]  有一個牧者跟我說
[00:01:25.800 --> 00:01:26.960]  不是我們教會的
[00:01:26.960 --> 00:01:29.520]  他說我們教會從來都沒有規矩的
[00:01:29.520 --> 00:01:32.120]  我意思是他喜歡什麼時候進什麼時候走
[00:01:32.120 --> 00:01:33.640]  我們很有愛心的
[00:01:33.640 --> 00:01:35.520]  總之哪怕那個弟兄姊妹
[00:01:35.520 --> 00:01:38.360]  回來教會最後五分鐘進去崇拜
[00:01:38.360 --> 00:01:41.080]  都感謝神 祂都有五分鐘被祝福
[00:01:41.080 --> 00:01:42.680]  這間教會很有愛心
