
[00:00:00.000 --> 00:00:01.180]  頂智明早晨
[00:00:01.180 --> 00:00:02.040]  早晨
[00:00:02.040 --> 00:00:04.040]  昨晚睡得好不好啊?
[00:00:04.040 --> 00:00:06.080]  有沒有做夢啊?
[00:00:06.080 --> 00:00:08.560]  有人說沒有
[00:00:08.560 --> 00:00:09.440]  有人說有
[00:00:09.440 --> 00:00:11.200]  好像
[00:00:11.200 --> 00:00:14.280]  可以做夢也是一件很幸福的事
[00:00:14.280 --> 00:00:14.800]  是不是?
[00:00:14.800 --> 00:00:16.720]  就是表示你有睡覺
[00:00:16.720 --> 00:00:17.600]  是不是?
[00:00:17.600 --> 00:00:19.520]  就是如果你睡不著
[00:00:19.520 --> 00:00:21.040]  根本不用說夢
[00:00:21.040 --> 00:00:23.240]  什麼都沒有用
[00:00:23.240 --> 00:00:24.000]  好
[00:00:24.000 --> 00:00:27.400]  我就想說一個故事
[00:00:27.400 --> 00:00:30.920]  有一個不是讀書太多的人
[00:00:30.920 --> 00:00:32.480]  或者說
[00:00:32.480 --> 00:00:35.800]  不懂字的人
[00:00:35.800 --> 00:00:39.400]  有一天他就去馬場賭馬
[00:00:39.400 --> 00:00:41.840]  就贏了一大筆
[00:00:41.840 --> 00:00:43.760]  你不要問我怎樣贏啊
[00:00:43.760 --> 00:00:44.440]  贏什麼啊
[00:00:44.440 --> 00:00:45.840]  怎樣贏到一大筆
[00:00:45.840 --> 00:00:47.320]  我對這些完全不懂
[00:00:47.320 --> 00:00:49.360]  我照說故事而已
[00:00:49.360 --> 00:00:52.720]  於是很多人就很羨慕他
[00:00:52.720 --> 00:00:54.200]  就很想知道
[00:00:54.200 --> 00:00:58.600]  到底他是怎樣買到獨贏的馬呢?
[00:00:58.600 --> 00:01:01.280]  竟然可以贏到這麼大一筆錢
[00:01:01.280 --> 00:01:02.960]  於是就來問他
[00:01:02.960 --> 00:01:06.080]  有什麼秘笈啊?
[00:01:06.080 --> 00:01:10.080]  他說其實我自己本身就沒有什麼秘笈的
[00:01:10.080 --> 00:01:13.120]  我只不過照著我所夢到的
[00:01:13.120 --> 00:01:14.680]  就去買
[00:01:14.680 --> 00:01:16.040]  就贏了
[00:01:16.040 --> 00:01:17.040]  哇
[00:01:17.040 --> 00:01:18.120]  大家都說很好奇
[00:01:18.120 --> 00:01:19.600]  你到底夢到什麼呢?
[00:01:19.600 --> 00:01:22.400]  竟然可以賣得這麼準呢?
[00:01:22.400 --> 00:01:24.720]  他說賭馬前三天
[00:01:24.720 --> 00:01:27.880]  我就一連三個晚上
[00:01:27.880 --> 00:01:29.960]  我都夢到一個數字
[00:01:29.960 --> 00:01:31.640]  就是7
[00:01:31.640 --> 00:01:32.840]  他說
[00:01:32.840 --> 00:01:34.440]  三個晚上
[00:01:34.440 --> 00:01:35.680]  夢到7
[00:01:35.680 --> 00:01:38.720]  我就將他們乘起來了
[00:01:38.720 --> 00:01:39.440]  那麼
[00:01:39.440 --> 00:01:40.840]  7乘3
[00:01:40.840 --> 00:01:42.040]  24嘛
[00:01:42.040 --> 00:01:44.880]  我就買了24號馬
[00:01:44.880 --> 00:01:45.920]  結果呢
[00:01:45.920 --> 00:01:48.760]  24號馬這個冷馬就跑出來了
[00:01:48.760 --> 00:01:51.560]  於是我就獨贏了
[00:01:51.560 --> 00:01:52.400]  那麼
[00:01:52.400 --> 00:01:54.400]  大家聽到都大喊
[00:01:54.400 --> 00:01:56.000]  7乘3是21
[00:01:56.000 --> 00:01:58.160]  不是24啊
[00:01:58.160 --> 00:01:59.360]  那麼剛才你懂得笑
[00:01:59.360 --> 00:02:01.360]  表示你懂得乘數了
[00:02:01.360 --> 00:02:02.320]  那麼
[00:02:02.320 --> 00:02:04.080]  怎麼會是24啊?
[00:02:04.080 --> 00:02:04.760]  那麼他就說
[00:02:04.760 --> 00:02:05.480]  是啊
[00:02:05.480 --> 00:02:06.280]  21啊
[00:02:06.280 --> 00:02:09.440]  那麼以後我就買21了
[00:02:09.440 --> 00:02:12.680]  那麼這個故事不是教我們怎樣買馬
[00:02:12.680 --> 00:02:13.720]  就是不要
[00:02:13.720 --> 00:02:14.720]  哇
