
[00:00:00.000 --> 00:00:03.200]  我們進入經文之前我們一起禱告好嗎,1,2,3
[00:00:03.200 --> 00:00:08.900]  主啊,多謝祢讓我們在有新年的時候一起敬拜祢
[00:00:08.900 --> 00:00:12.900]  願我們以祢為我們新年之首的思念
[00:00:12.900 --> 00:00:15.000]  願我們以祢為首的時間
[00:00:15.000 --> 00:00:19.200]  我們望這一年的時間我們就會有一個新的眼光,新的開始
[00:00:19.200 --> 00:00:21.400]  幫助我們一會去明白祢的話
[00:00:21.400 --> 00:00:26.000]  也都讓我們能夠去回憶我們過去曾經和祢經歷過的一切
[00:00:26.000 --> 00:00:28.800]  使得我們以祢為念的時間
[00:00:28.800 --> 00:00:33.400]  主啊,我們接下來走的路就有新的動力,幫助我們
[00:00:33.400 --> 00:00:36.600]  我們這樣祈禱,奉耶穌名求,阿們
[00:00:36.600 --> 00:00:41.600]  今天看的聖經是出埃及記的第十二章
[00:00:41.600 --> 00:00:47.000]  其實講的是我們看到以色列民在埃及地圍爐的時候
[00:00:47.000 --> 00:00:50.200]  第一次去經歷逾越節的經過
[00:00:50.200 --> 00:00:56.000]  上帝和摩西說,以色列人就要準備迎接第十災
[00:00:56.000 --> 00:01:04.200]  剛才聽MUE說,有很多弟兄姊妹已經讀過聖經一次
[00:01:04.200 --> 00:01:09.000]  如果大家記憶就會明白,為什麼要經歷第十災
[00:01:09.000 --> 00:01:12.800]  其實歷史就是從以色列民
[00:01:12.800 --> 00:01:18.400]  他們由雅各舉家來到埃及地居住
[00:01:18.400 --> 00:01:20.800]  因為什麼事來到埃及居住呢?
[00:01:20.800 --> 00:01:23.400]  就是因為饑荒,如果大家記得的話
[00:01:23.400 --> 00:01:26.400]  於是他們一住,就住了四百年
[00:01:26.400 --> 00:01:29.200]  越生越多,因為上帝的祝福越生越多
[00:01:29.200 --> 00:01:32.400]  以至於法老很擔心這些人
[00:01:32.400 --> 00:01:37.000]  如果要戰爭的時候,怕不夠他們打
[00:01:37.000 --> 00:01:42.400]  於是法老就用殘暴的方法來壓迫以色列民
[00:01:42.400 --> 00:01:48.800]  特別殘忍的,就是將他們所出生的男嬰
[00:01:48.800 --> 00:01:55.800]  扔進河裡淹死,又將他們的男丁做苦工
[00:01:55.800 --> 00:02:03.000]  使得他們很艱苦,使得他們很怕法老,怕埃及的統治
[00:02:03.000 --> 00:02:07.600]  但是上帝就聽到以色列民的呼聲,哀求
[00:02:07.600 --> 00:02:10.800]  於是上帝就帶領他們出埃及
[00:02:10.800 --> 00:02:13.800]  呼召摩西帶領他們出埃及
[00:02:13.800 --> 00:02:19.800]  一次一次,摩西來到法老面前就要求
[00:02:19.800 --> 00:02:24.400]  好聲好氣的要求,希望他知道我們的神是怎樣帶領我們
[00:02:24.400 --> 00:02:28.400]  希望他知道認識以色列的神
[00:02:28.400 --> 00:02:33.200]  但是每一次摩西藉著上帝給他的權柄
[00:02:33.200 --> 00:02:35.800]  來將神展現在他面前的時候
[00:02:35.800 --> 00:02:41.400]  神行神跡,但是法老都不認識,不認上帝
[00:02:41.400 --> 00:02:46.400]  一次一次的反悔,直至今次第十次的災
[00:02:46.400 --> 00:02:51.400]  每一次的災經過之後,上帝都有一個說話
[00:02:51.400 --> 00:02:53.400]  作為一段聖經的結尾
[00:02:53.400 --> 00:02:56.400]  願你能夠知道我就是耶和華
[00:02:56.400 --> 00:02:59.400]  但是一次一次法老都不認上帝
[00:02:59.400 --> 00:03:04.400]  於是最後一災,就是今天我們經文裡看的最後一災
[00:03:04.400 --> 00:03:14.400]  第十災就是上帝要遍行埃及全地,擊殺頭生的長子和生畜
[00:03:14.400 --> 00:03:18.400]  所以猶太人是要被拯救出來的
[00:03:18.400 --> 00:03:21.400]  上帝要拯救猶太人,以色列民出來
[00:03:21.400 --> 00:03:25.400]  吩咐他們怎樣去做,在這個節怎樣去過
[00:03:25.400 --> 00:03:28.400]  他們就要宰一隻羊羔
[00:03:28.400 --> 00:03:32.400]  然後按規定來吃,而且趕緊來吃
[00:03:32.400 --> 00:03:36.400]  吃的時候要穿上鞋,腰束腰帶
[00:03:36.400 --> 00:03:41.400]  還有他們要將羊的血塗在門框上作記號
[00:03:41.400 --> 00:03:45.400]  其實原來這是一個神拯救的記號
[00:03:45.400 --> 00:03:49.400]  當晚神要巡行埃及地
[00:03:49.400 --> 00:03:54.400]  去擊殺每一家的長子和頭生的生畜的時間
[00:03:54.400 --> 00:03:59.400]  如果他經過的門裡面,每一家看到血塗在門框上
[00:03:59.400 --> 00:04:04.400]  他就越過,不去擊殺裡面的長子和頭生的生畜
[00:04:04.400 --> 00:04:08.400]  所以其實這是一個拯救的記號
[00:04:08.400 --> 00:04:13.400]  神吩咐這一晚定為正月一年之首
[00:04:13.400 --> 00:04:20.400]  其實是吩咐以色列民每一年都要記得上帝這個拯救的記號作為紀念
[00:04:20.400 --> 00:04:25.400]  為何上帝要將如月節定為新年呢?
[00:04:25.400 --> 00:04:32.400]  他的用意是什麼呢?原來第十災之後,以色列民就要出埃及了
[00:04:32.400 --> 00:04:36.400]  所以如月節背後的意義就是神的拯救
[00:04:36.400 --> 00:04:41.400]  上帝希望以色列民每一年都記住這次偉大的拯救
[00:04:41.400 --> 00:04:46.400]  其實是希望以色列民記得上帝向他們守約
[00:04:46.400 --> 00:04:50.400]  提醒他們都要向上帝守約
[00:04:50.400 --> 00:04:56.400]  如果我們讀經用了陷的形式
[00:04:56.400 --> 00:05:03.400]  從創世紀到出埃及的亞國故事
[00:05:03.400 --> 00:05:08.400]  我們看到以色列民來到埃及的時候
