
[00:00:00.000 --> 00:00:02.000]  今天和大家
[00:00:02.000 --> 00:00:04.500]  看我們
[00:00:04.500 --> 00:00:06.260]  繼續有的《下士堂傳》
[00:00:06.260 --> 00:00:08.260]  今天來到第十四章
[00:00:08.260 --> 00:00:13.760]  這個題目叫什麼?一起讀校碼
[00:00:13.760 --> 00:00:15.760]  《峰迴路傳》
[00:00:15.760 --> 00:00:18.500]  《主導猶陽》
[00:00:18.500 --> 00:00:22.680]  當我們要讀《章聖經》
[00:00:22.680 --> 00:00:25.680]  一至二十八節記載的時候
[00:00:25.680 --> 00:00:29.880]  我們思想當中的內容和訊息的時候
[00:00:29.880 --> 00:00:31.880]  這兩句話
[00:00:31.880 --> 00:00:34.820]  就出現在我的腦海當中
[00:00:34.820 --> 00:00:39.480]  在這個記載裡,我們真的看見《峰迴路傳》
[00:00:39.480 --> 00:00:41.480]  但是《主導猶陽》
[00:00:41.480 --> 00:00:45.100]  什麼叫做《峰迴路傳》?
[00:00:45.100 --> 00:00:52.780]  《峰迴路傳》就是指在山頂峰的地方
[00:00:52.780 --> 00:00:54.780]  我們知道如果我們走過山頂
[00:00:54.780 --> 00:00:56.780]  有很多人喜歡走山頂
[00:00:56.780 --> 00:00:58.780]  真是彎彎曲曲
[00:00:58.780 --> 00:01:00.780]  迂迴曲折
[00:01:00.780 --> 00:01:03.960]  但是這句說話是正面還是負面的?
[00:01:03.960 --> 00:01:06.920]  正面的
[00:01:06.920 --> 00:01:08.920]  為什麼?因為《峰迴路傳》就代表
[00:01:08.920 --> 00:01:10.920]  雖然有彎彎曲曲
[00:01:10.920 --> 00:01:13.920]  但是有生機
[00:01:13.920 --> 00:01:15.920]  有新的機會
[00:01:15.920 --> 00:01:17.920]  所以很多時候我們說
[00:01:17.920 --> 00:01:19.920]  真是迂迴曲折
[00:01:19.920 --> 00:01:21.920]  但是《峰迴路傳》就代表著
[00:01:21.920 --> 00:01:23.920]  雖然有曲折
[00:01:23.920 --> 00:01:27.920]  但是卻能夠有轉機
[00:01:28.920 --> 00:01:30.920]  但是最重要的就是
[00:01:30.920 --> 00:01:32.920]  在我們人生當中
[00:01:32.920 --> 00:01:34.920]  能夠讓《主導猶陽》
[00:01:34.920 --> 00:01:36.920]  傳得更遠
[00:01:36.920 --> 00:01:38.920]  所以《猶陽》
[00:01:38.920 --> 00:01:40.920]  通常形容音樂
[00:01:40.920 --> 00:01:42.920]  就像我們所唱的歌一樣
[00:01:42.920 --> 00:01:44.920]  就是高低起伏
[00:01:44.920 --> 00:01:46.920]  不過是月以和諧
