
[00:00:00.000 --> 00:00:02.340]  弟兄姊妹主你們平安
[00:00:02.340 --> 00:00:04.180]  今天是母親節
[00:00:04.180 --> 00:00:09.100]  在此向每一位母親致敬
[00:00:09.100 --> 00:00:10.780]  感謝你們的付出
[00:00:10.780 --> 00:00:13.380]  毫無保留地付出
[00:00:13.380 --> 00:00:18.120]  細心營造照顧一個溫暖的家
[00:00:18.120 --> 00:00:19.400]  在過去的歲月
[00:00:19.400 --> 00:00:21.800]  因為有母親的陪伴
[00:00:21.800 --> 00:00:25.620]  我們有很多溫馨的故事和回憶
[00:00:25.620 --> 00:00:27.240]  你們未來的日子
[00:00:27.240 --> 00:00:29.540]  因為有我們的祝福
[00:00:29.540 --> 00:00:33.420]  母親將綻放幸福的笑臉
[00:00:33.420 --> 00:00:35.940]  願聖善的神
[00:00:35.940 --> 00:00:38.520]  親自在各樣的善事上
[00:00:38.520 --> 00:00:42.720]  報答各位母親的懦夫
[00:00:42.720 --> 00:00:43.740]  在講道之前
[00:00:43.740 --> 00:00:46.880]  我們同心來祈禱
[00:00:46.880 --> 00:00:48.400]  神的獨生兒子耶穌基督
[00:00:48.400 --> 00:00:50.960]  求祢施恩可憐這個罪人
[00:00:50.960 --> 00:00:52.600]  讓主耶穌基督的補血
[00:00:52.600 --> 00:00:56.240]  再一次來潔淨這個不配人的罪
[00:00:56.240 --> 00:01:00.240]  讓主來高沒這個孩子的口
[00:01:00.240 --> 00:01:03.640]  這個口舌笨拙的人
[00:01:03.640 --> 00:01:06.520]  願主來施恩
[00:01:06.520 --> 00:01:11.240]  來透過這個卑微的器具
[00:01:11.240 --> 00:01:14.160]  能夠成為神祢話語的出口
[00:01:14.160 --> 00:01:17.420]  將主的恩賢來解明
[00:01:17.420 --> 00:01:20.560]  願祢聖靈開啟我們的心窍
[00:01:20.560 --> 00:01:23.080]  讓我們能夠進入真理
[00:01:23.080 --> 00:01:25.840]  我們祈禱、仰望、交託、祈求
[00:01:25.840 --> 00:01:28.200]  是奉教教主的耶穌聖名
[00:01:28.200 --> 00:01:29.200]  阿們
[00:01:56.760 --> 00:02:00.000]  講道外邦的使徒保羅
[00:02:00.000 --> 00:02:05.240]  在外邦人中傳揚福音
[00:02:05.240 --> 00:02:07.080]  幾次宣教旅程
[00:02:07.080 --> 00:02:11.760]  最後將福音帶到當時的地極羅馬
[00:02:11.760 --> 00:02:14.440]  不過假如我們細心觀察的話
[00:02:14.440 --> 00:02:15.640]  從經文可以看到
[00:02:15.640 --> 00:02:19.200]  真正的主角其實應該是聖名
[00:02:19.200 --> 00:02:29.040]  因為使徒就在聖靈的催逼、引導、勉勵去完成
[00:02:29.040 --> 00:02:32.680]  他們不太想完成的工作
[00:02:32.680 --> 00:02:35.120]  在《使徒行傳》第九章
[00:02:35.120 --> 00:02:39.120]  保羅在大馬骰來到被光照之後
[00:02:39.120 --> 00:02:43.560]  三日三夜見不到、吃不到東西
[00:02:43.560 --> 00:02:44.920]  不吃不喝
[00:02:44.920 --> 00:02:49.080]  神差院當時的門徒亞勒利亞叫保羅
[00:02:49.080 --> 00:02:51.680]  當時的掃羅來到他看見
[00:02:51.680 --> 00:02:55.560]  但起初亞勒利亞是不情願的
[00:02:55.560 --> 00:03:00.040]  後來在勉強之下來完成使命
[00:03:00.040 --> 00:03:02.600]  第十章來說
[00:03:02.600 --> 00:03:07.760]  保羅彼得怎樣在神的引導下
[00:03:07.760 --> 00:03:13.200]  很不情願地去到哥利柳
[00:03:13.200 --> 00:03:18.240]  意大利營的伯夫長家裡來傳福音
[00:03:18.240 --> 00:03:22.160]  假如今天有人打來尖沙咀浸信會
[00:03:22.160 --> 00:03:23.400]  「我想聽福音」
[00:03:23.400 --> 00:03:25.680]  我們馬上回應「你來吧」
[00:03:25.680 --> 00:03:29.560]  如果你的朋友跟你說「我很想聽福音」
[00:03:29.560 --> 00:03:31.920]  你的反應是怎樣的?
[00:03:31.920 --> 00:03:32.840]  當然是「好」
[00:03:32.840 --> 00:03:34.360]  他們說「何時有報道會」
[00:03:34.360 --> 00:03:36.280]  或者「我們打來教會」
[00:03:36.280 --> 00:03:38.120]  或者「我跟你說」
[00:03:38.120 --> 00:03:44.040]  但彼得就暫時第二天才出發
[00:03:44.040 --> 00:03:48.160]  我們看到其實他們都不是很想來做這件事
[00:03:48.160 --> 00:03:51.120]  去到十五章耶路撒冷的會議
[00:03:51.120 --> 00:03:52.800]  爭論了很久
[00:03:52.800 --> 00:03:56.040]  終於有個定案
[00:03:56.040 --> 00:04:00.440]  外邦人憑著信心接受基督就可以得救
[00:04:00.440 --> 00:04:03.480]  不需要成為猶太人
[00:04:03.480 --> 00:04:04.320]  去到第二十章
[00:04:04.320 --> 00:04:05.840]  保羅在聖靈催迫之下
[00:04:05.840 --> 00:04:09.000]  明知有試煉和困所等待
[00:04:09.000 --> 00:04:14.400]  去定言、定義來趕赴迎唱耶路撒冷
[00:04:14.400 --> 00:04:18.360]  所以有學者認為路加醫生是想透過行傳
[00:04:18.360 --> 00:04:21.480]  從歷史來解釋
[00:04:21.480 --> 00:04:26.760]  外邦人怎樣成為神家庭的成員
[00:04:26.760 --> 00:04:31.640]  福音怎樣傳到當時的地極羅馬
[00:04:31.640 --> 00:04:35.720]  這個行傳最後的註腳是
[00:04:35.720 --> 00:04:40.240]  沒有人可以攔阻福音的傳播
[00:04:40.240 --> 00:04:44.280]  來解釋教會怎樣成為教會
[00:04:44.280 --> 00:04:46.880]  重新來反思
[00:04:46.880 --> 00:04:48.280]  甚麼是教會
[00:04:48.280 --> 00:04:53.320]  教會存在的目的和意義
[00:04:53.320 --> 00:04:57.000]  今日的講題是神子民的重塑
[00:04:57.000 --> 00:04:59.200]  從死裡活埋的耶穌
[00:04:59.200 --> 00:05:03.640]  怎樣來到差遣門徒建立教會
[00:05:03.640 --> 00:05:05.680]  我們反思教會
[00:05:05.680 --> 00:05:09.640]  教會在今日怎樣回應時代的需要
[00:05:09.640 --> 00:05:13.280]  在這個混亂失去秩序的年代
[00:05:13.280 --> 00:05:17.720]  帶來盼望、溫暖和光明
[00:05:44.120 --> 00:05:45.600]  傳遞
[00:05:45.600 --> 00:05:48.880]  這是新的以色列文
[00:06:13.280 --> 00:06:16.520]  頒佈律法和誡命
[00:06:16.520 --> 00:06:19.200]  因此今日的講題是
[00:06:19.200 --> 00:06:21.480]  神子民的重塑
[00:06:21.480 --> 00:06:24.240]  而這個重塑是從內而外
[00:06:24.240 --> 00:06:27.000]  先在心態上調整
[00:06:27.000 --> 00:06:29.800]  承認自己的不良
[00:06:29.800 --> 00:06:32.920]  轉而去信靠神的大能
[00:06:32.920 --> 00:06:35.600]  然後用行動來回應
[00:06:35.600 --> 00:06:39.840]  突破種族和地域的界限
[00:06:39.840 --> 00:06:43.280]  最後成為神的見證
[00:06:43.280 --> 00:06:46.960]  活出盼望
[00:06:46.960 --> 00:06:48.920]  承認自己的不良
[00:06:48.920 --> 00:06:51.880]  來信靠神的大能
[00:06:51.880 --> 00:06:53.600]  今日分享的經文
[00:06:53.600 --> 00:06:57.840]  《書行傳》一章一到十一節可以分為兩個部分
[00:06:57.840 --> 00:07:00.800]  上半部分是一至五節
[00:07:00.800 --> 00:07:03.960]  是講到主的顯現
[00:07:03.960 --> 00:07:08.160]  耶穌用很多的憑據顯示自己是活著的
[00:07:08.160 --> 00:07:10.160]  在這個憑據裡面
[00:07:10.160 --> 00:07:13.160]  不是去說自己有多偉大
[00:07:13.160 --> 00:07:15.160]  是跨越自己的能力
[00:07:15.160 --> 00:07:18.800]  而是解釋神覺的事
[00:07:18.800 --> 00:07:22.240]  主和門徒相處四十天多久
[00:07:22.240 --> 00:07:25.360]  吩咐他們不要離開耶路撒冷
[00:07:25.360 --> 00:07:28.240]  要等候父所應許的
[00:07:28.240 --> 00:07:30.280]  受聖靈的針
[00:07:30.280 --> 00:07:33.880]  而下半部分是六至十一節
[00:07:33.880 --> 00:07:36.280]  是講到耶穌升天前的
[00:07:36.280 --> 00:07:39.840]  婚婦和門徒的反應
[00:07:39.840 --> 00:07:44.160]  等候這個主題在這段經文的主旨
[00:07:44.160 --> 00:07:48.320]  耶穌祝福門徒不要離開耶路撒冷
[00:07:48.320 --> 00:07:51.520]  要等候父所應許
[00:07:51.520 --> 00:07:53.720]  耶穌對門徒說
[00:07:53.720 --> 00:07:58.880]  「苦憑著自己的權並所定的日期、時候
[00:07:58.880 --> 00:08:02.880]  不是你們可以知道的」
