
[00:00:00.000 --> 00:00:05.000]  四年一度的世界盃早幾天就結束了
[00:00:05.000 --> 00:00:09.000]  四年一度的世界盃前幾天已經結束了
[00:00:09.000 --> 00:00:12.000]  不知道對大家來講你們有沒有受到影響
[00:00:12.000 --> 00:00:14.000]  不知道對大家有什麼影響
[00:00:14.000 --> 00:00:18.000]  我相信這一次的世界盃可能真的有人歡喜有人愁
[00:00:18.000 --> 00:00:22.000]  我相信這一次的世界盃是有人歡喜有人愁
[00:00:22.000 --> 00:00:24.000]  贏球的那些開心到不得了
[00:00:24.000 --> 00:00:27.000]  贏球的就很高興
[00:00:27.000 --> 00:00:29.000]  輸球的那些就極其失望
[00:00:29.000 --> 00:00:31.000]  輸了的就很失望
[00:00:31.000 --> 00:00:36.000]  我聽說甚至有人因為慶祝或者是賭輸波而甚至連命都沒了
[00:00:36.000 --> 00:00:41.000]  我聽說有些人因為賭輸了或者是贏了連命都沒有
[00:00:41.000 --> 00:00:44.000]  很難想像一個圓圓的足球
[00:00:44.000 --> 00:00:47.000]  很難想像一個圓圓的足球
[00:00:47.000 --> 00:00:48.000]  可以對人有這麼大的影響
[00:00:48.000 --> 00:00:50.000]  可以對人有這麼大的影響
[00:00:50.000 --> 00:00:53.000]  讓我們今天通過一個圓圓的足球
[00:00:53.000 --> 00:00:56.000]  讓我們今天來通過這個圓圓的足球
[00:00:56.000 --> 00:00:57.000]  看看我們的人生
[00:00:57.000 --> 00:00:59.000]  看看我們的人生
[00:00:59.000 --> 00:01:00.000]  開始之前我們要祈禱
[00:01:00.000 --> 00:01:03.000]  開始之前我們要祈禱
[00:01:03.000 --> 00:01:05.000]  主耶穌基督我們感謝您
[00:01:05.000 --> 00:01:07.000]  主耶穌基督我們感謝您
[00:01:07.000 --> 00:01:09.000]  因為您讓我們知道什麼叫愛
[00:01:09.000 --> 00:01:12.000]  因為您讓我們知道什麼叫愛
[00:01:12.000 --> 00:01:15.000]  在愛裡面我們並不懼怕人生
[00:01:15.000 --> 00:01:17.000]  在愛裡面我們並不懼怕人生
[00:01:17.000 --> 00:01:19.000]  雖然好像詩歌所唱
[00:01:19.000 --> 00:01:21.000]  雖然像詩歌所唱
[00:01:21.000 --> 00:01:25.000]  將我們看回頭我們的人生有喜樂也有眼淚
[00:01:25.000 --> 00:01:29.000]  將我們看回頭我們的人生有喜樂也有眼淚
[00:01:29.000 --> 00:01:32.000]  但是我們知道一切的世事都掌管在您的手中
[00:01:32.000 --> 00:01:36.000]  但是我們知道一切世上的事都掌握在您的手中
[00:01:36.000 --> 00:01:38.000]  讓我們憑著信心
[00:01:38.000 --> 00:01:39.000]  讓我們憑著信心
[00:01:39.000 --> 00:01:41.000]  進入您的愛裡面
[00:01:41.000 --> 00:01:43.000]  進入您的愛裡面
[00:01:43.000 --> 00:01:46.000]  來經歷您一切給我們的恩典
[00:01:46.000 --> 00:01:49.000]  來經歷您一切給我們的恩典
[00:01:49.000 --> 00:01:50.000]  聽我們祈禱奉主名求
[00:01:50.000 --> 00:01:53.000]  聽我們祈禱奉主名求
[00:01:53.000 --> 00:01:56.000]  世界盃那段時間
[00:01:56.000 --> 00:01:59.000]  世界盃那段時間
[00:01:59.000 --> 00:02:01.000]  網絡上有一個這樣的說話
[00:02:01.000 --> 00:02:03.000]  網絡上有一句說
[00:02:03.000 --> 00:02:06.000]  阿根廷取了我的車
[00:02:06.000 --> 00:02:08.000]  阿根廷取了我的車
[00:02:08.000 --> 00:02:11.000]  德國取了我的房子
[00:02:11.000 --> 00:02:14.000]  德國取了我的房子
[00:02:14.000 --> 00:02:16.000]  巴西差點取了我的命
[00:02:16.000 --> 00:02:19.000]  巴西差點取了我的命
[00:02:19.000 --> 00:02:20.000]  不知道大家聽不聽得懂
[00:02:20.000 --> 00:02:21.000]  不知道大家聽不聽得懂
[00:02:21.000 --> 00:02:23.000]  大家能聽得明白嗎
[00:02:23.000 --> 00:02:26.000]  因為這三個強國都是世界盃的大熱門
[00:02:26.000 --> 00:02:29.000]  因為這三個國家都是世界盃的大熱門
[00:02:29.000 --> 00:02:31.000]  但是沒有一個進入四強
[00:02:31.000 --> 00:02:33.000]  但是沒有一個進入四強
[00:02:33.000 --> 00:02:35.000]  令很多球迷
[00:02:35.000 --> 00:02:36.000]  令很多球迷
[00:02:36.000 --> 00:02:37.000]  大跌眼鏡
[00:02:37.000 --> 00:02:38.000]  大跌眼鏡
[00:02:38.000 --> 00:02:40.000]  連專家都不知道為什麼
[00:02:40.000 --> 00:02:43.000]  連專家也不知道為什麼
[00:02:43.000 --> 00:02:46.000]  一場賽事是巴西打比利時
[00:02:46.000 --> 00:02:50.000]  一場比賽是巴西對比利時
[00:02:50.000 --> 00:02:51.000]  如果大家有看的話
[00:02:51.000 --> 00:02:52.000]  不知道有沒有印象
[00:02:52.000 --> 00:02:53.000]  還記不記得
[00:02:53.000 --> 00:02:54.000]  大家有看的
[00:02:54.000 --> 00:02:55.000]  不知道還有沒有印象
[00:02:55.000 --> 00:02:56.000]  還記得嗎
[00:02:56.000 --> 00:02:57.000]  很多人就說
[00:02:57.000 --> 00:02:59.000]  比利時今年打得挺好的
[00:02:59.000 --> 00:03:02.000]  很多人都說比利時今年打得不錯
[00:03:02.000 --> 00:03:05.000]  但是去對著巴西的時候
[00:03:05.000 --> 00:03:08.000]  但是他們對著巴西的時候
[00:03:08.000 --> 00:03:11.000]  大家都覺得巴西是比較強的一隊
[00:03:11.000 --> 00:03:14.000]  很多人都覺得巴西是比較強的那一隊
[00:03:14.000 --> 00:03:15.000]  在比賽的時候
[00:03:15.000 --> 00:03:18.000]  比利時要踢出一球角球
[00:03:18.000 --> 00:03:20.000]  在比賽的時候
[00:03:20.000 --> 00:03:22.000]  比利時正在踢角球
[00:03:22.000 --> 00:03:24.000]  球員一腳踢出
[00:03:24.000 --> 00:03:26.000]  球員一腳踢出
[00:03:26.000 --> 00:03:29.000]  球就落在龍門前
[00:03:29.000 --> 00:03:33.000]  球就落在龍門前
[00:03:33.000 --> 00:03:36.000]  剛剛那個位置有兩個巴西隊員
[00:03:36.000 --> 00:03:38.000]  剛好那個位置有兩個巴西隊員
[00:03:38.000 --> 00:03:40.000]  兩個巴西隊員馬上跳過
[00:03:40.000 --> 00:03:42.000]  想把球頂出龍門
[00:03:42.000 --> 00:03:44.000]  兩個巴西隊員馬上就跳起來
[00:03:44.000 --> 00:03:46.000]  想把球頂出去
[00:03:46.000 --> 00:03:49.000]  想把球頂出去
[00:03:49.000 --> 00:03:52.000]  誰知道那球並不落在他們的頭上
[00:03:52.000 --> 00:03:54.000]  誰知道那球並不落在他們的頭上
[00:03:54.000 --> 00:03:56.000]  卻落在他們的手掌上
[00:03:56.000 --> 00:03:59.000]  卻落在他們的手掌上
[00:03:59.000 --> 00:04:02.000]  就這樣那球就硬生落網
[00:04:02.000 --> 00:04:03.000]  就這樣那球就硬生落網
[00:04:03.000 --> 00:04:05.000]  我們就說這是烏龍球
[00:04:05.000 --> 00:04:08.000]  我們就說這是糊塗球
[00:04:08.000 --> 00:04:10.000]  我們就說這是糊塗球
[00:04:10.000 --> 00:04:12.000]  有人就說巴西這麼有經驗
[00:04:12.000 --> 00:04:13.000]  有人就說巴西這麼有經驗
[00:04:13.000 --> 00:04:15.000]  有人就說巴西這麼有經驗
[00:04:15.000 --> 00:04:17.000]  這樣也可以進入網球?
[00:04:17.000 --> 00:04:18.000]  這樣也可以進入網球?
[00:04:18.000 --> 00:04:20.000]  這樣的球都能進入網球?
[00:04:20.000 --> 00:04:21.000]  這樣的球都能進入網球?
[00:04:21.000 --> 00:04:23.000]  誰說不可以?
[00:04:23.000 --> 00:04:24.000]  誰說不可以?
[00:04:24.000 --> 00:04:26.000]  這個球是圓的
