
[00:00:00.000 --> 00:00:02.000]  好 讓我們低頭禱告
[00:00:02.000 --> 00:00:06.920]  天父主耶穌基督保佑我們感謝讚美祢
[00:00:06.920 --> 00:00:11.700]  我們的心是要在祢的面前 服服下來 感恩敬拜
[00:00:11.700 --> 00:00:14.200]  主啊 謝謝祢今天與我們同在
[00:00:14.200 --> 00:00:19.200]  謝謝祢帶著我們中國弟兄姊妹的火 回到我們的中間
[00:00:19.200 --> 00:00:22.320]  主啊 我們的心也要被燃燒起來
[00:00:22.320 --> 00:00:26.360]  主啊 真是求祢紀念我們在那裡的弟兄姊妹
[00:00:26.360 --> 00:00:30.600]  保護保守他們 將他們藏在祢的翅膀底下
[00:00:30.600 --> 00:00:33.400]  將他們放在祢的眼中如同人
[00:00:33.400 --> 00:00:39.160]  主啊 因為那興旺 真是這裡那裡全世界
[00:00:39.160 --> 00:00:43.700]  我們都要準備迎接我們主再來的日子
[00:00:43.700 --> 00:00:46.760]  謝謝祢 主的書 求主祢垂聽我們禱告
[00:00:46.760 --> 00:00:51.000]  打開我們心中的耳朵 奉耶穌的名 阿們
[00:00:51.000 --> 00:00:57.440]  感謝主 今年教會每一個月的第二個禮拜的講臺
[00:00:57.440 --> 00:01:00.560]  都是在圍繞著家庭的關係
[00:01:00.560 --> 00:01:04.600]  父母 兒女 夫妻之間 人與人之間的問題
[00:01:04.600 --> 00:01:09.040]  那我們常常討論這些問題
[00:01:09.040 --> 00:01:12.400]  而且討論這些問題的時候
[00:01:12.400 --> 00:01:15.640]  你就會想到我們成長的環境
[00:01:15.640 --> 00:01:18.280]  在我們成長環境中跟我們的生活中
[00:01:18.280 --> 00:01:21.160]  都會有很多困難 很多的摩擦
[00:01:21.160 --> 00:01:23.600]  就會產生很多的情緒
[00:01:23.600 --> 00:01:25.720]  然後這些情緒呢
[00:01:25.720 --> 00:01:31.040]  我們從 其實這些東西我們從過去的幾個月裡面
[00:01:31.040 --> 00:01:36.120]  我們都會從不同的角度裡面去探討一些人際關係
[00:01:36.120 --> 00:01:40.920]  那 但是基本上
[00:01:40.920 --> 00:01:44.640]  我們人為什麼會焦慮
[00:01:44.640 --> 00:01:46.640]  為什麼會很容易生氣
[00:01:46.640 --> 00:01:49.760]  然後一生氣就把自己關起來 封閉
[00:01:49.760 --> 00:01:54.000]  然後緊張 不安 甚至有壓力
[00:01:54.000 --> 00:01:58.040]  那這些情緒的產生 其實都是很自然的
[00:01:58.040 --> 00:02:02.880]  都是從生活裡面的各樣的不同的挑戰就出來了
[00:02:02.880 --> 00:02:04.120]  那重點是什麼
[00:02:04.120 --> 00:02:08.360]  重點不是說叫你拼命的壓 不要有情緒
[00:02:08.360 --> 00:02:13.160]  而是你要知道如何的來處理這些情緒
[00:02:13.160 --> 00:02:21.640]  那有時候人為什麼會那麼的焦慮
