
[00:00:00.000 --> 00:00:01.800]  看來才會平安
[00:00:01.800 --> 00:00:07.880]  在這裏,我們為大家分享這部劇的題目
[00:00:07.880 --> 00:00:12.680]  就是《敬禮尚主,紅塵飲酒》
[00:00:12.680 --> 00:00:18.080]  在這部《敬禮尚主,紅塵飲酒》的講道之中
[00:00:18.080 --> 00:00:22.460]  我們安排了很多原傳的題目
[00:00:22.460 --> 00:00:24.940]  我們曾經學習過的
[00:00:25.040 --> 00:00:34.480]  我們聽過的有智慧的開竅、心靈全員、門神護守、特務典崇
[00:00:34.480 --> 00:00:40.800]  今天早上,我們有探訪這篇二十五篇、八子十五篇
[00:00:40.800 --> 00:00:44.080]  和大家、和其他人去思考
[00:00:44.080 --> 00:00:48.040]  門神引導,這是一份功課
[00:00:48.040 --> 00:00:53.320]  至此,二十五篇是這篇第二尚自保詩
[00:00:53.600 --> 00:00:56.960]  我仍然有印象,當我讀書時
[00:00:56.960 --> 00:01:01.360]  亦有提到自和詩是怎樣的
[00:01:01.360 --> 00:01:05.400]  這一篇、這二十五篇的詩
[00:01:05.400 --> 00:01:11.360]  是詩人沉默地去表達他對神的恆求
[00:01:11.360 --> 00:01:17.160]  我深深地表達出他對信仰的成變和悔改
[00:01:17.160 --> 00:01:23.360]  亦充分地表達出他對神的愛意情
[00:01:24.280 --> 00:01:30.960]  這篇詩完全是想引導和教誨的消逼
[00:01:30.960 --> 00:01:36.520]  所以,這篇二十五篇這首詩是一首祈禱的詩
[00:01:36.520 --> 00:01:42.360]  日本的學者都認為這篇詩的作者是大衛
[00:01:42.360 --> 00:01:47.400]  但我們今天從詩人所表達的情感中
[00:01:47.520 --> 00:01:53.840]  可以學習越來越多的自求神的引導和帶領
[00:01:53.840 --> 00:01:59.880]  在一至第七節,在這個上文中
[00:01:59.880 --> 00:02:05.400]  詩人求神幫助、引導和寬恕他
[00:02:05.400 --> 00:02:10.440]  這一篇是一篇唐物,是一份唐寶
[00:02:10.440 --> 00:02:13.600]  所以,在這篇一至第七節中
[00:02:13.960 --> 00:02:20.280]  詩人可以用這個方向去向神討伐
[00:02:20.280 --> 00:02:24.640]  所以,詩人在上文中說
[00:02:24.640 --> 00:02:30.920]  他把你的道指示給我,把你的路教訓給我
[00:02:30.920 --> 00:02:37.120]  詩人在高地求神,指示他走人生的道路
[00:02:37.120 --> 00:02:41.960]  同樣,在上文的第七節中
[00:02:42.520 --> 00:02:47.440]  詩人亦說到,他把其後順地祈禱他
[00:02:47.440 --> 00:02:53.440]  英文中說「祈禱我,優雅的聚焉,和的歌譚」
[00:02:53.440 --> 00:02:59.120]  又說「求祈禱你,因為我們的慈愛,祈禱我」
[00:02:59.120 --> 00:03:02.720]  詩人可以用「祈禱」這個詞
[00:03:02.720 --> 00:03:05.240]  其實「祈禱」是什麼意思呢?
[00:03:05.240 --> 00:03:10.120]  「祈禱」遠一點,是在於神對人的憐憫
[00:03:10.440 --> 00:03:15.200]  詩人所說的「祈禱」,並非因為他做了某些事
