
[00:00:00.000 --> 00:00:03.000]  今天是九月二十二日
[00:00:03.000 --> 00:00:06.000]  可以說是一個挺特別的日子
[00:00:06.000 --> 00:00:13.000]  因為大家都在等超級颶風的來臨
[00:00:13.000 --> 00:00:20.000]  很多人打算明天可以不上班
[00:00:20.000 --> 00:00:25.000]  但這兩天的氣溫很特別
[00:00:25.000 --> 00:00:27.000]  好像停在這裡
[00:00:27.000 --> 00:00:31.000]  特別是昨天早上這兩天都是三十四度
[00:00:31.000 --> 00:00:33.000]  下午的時候很溫熱
[00:00:33.000 --> 00:00:38.000]  有一種透不過氣很沉悶的感覺
[00:00:38.000 --> 00:00:41.000]  在我們剛才所讀的經文裏面
[00:00:41.000 --> 00:00:44.000]  這個經文告訴我們
[00:00:44.000 --> 00:00:46.000]  預熱節以前
[00:00:46.000 --> 00:00:51.000]  耶穌知道自己離世歸父的時候到了
[00:00:51.000 --> 00:00:55.000]  祂既然愛世間屬自己的人
[00:00:55.000 --> 00:00:57.000]  就愛他們到底
[00:00:57.000 --> 00:00:59.000]  剛才所發生的事情
[00:00:59.000 --> 00:01:00.000]  經文所記載
[00:01:00.000 --> 00:01:02.000]  耶穌和門徒洗腳
[00:01:02.000 --> 00:01:06.000]  就是在耶穌離世之前
[00:01:06.000 --> 00:01:08.000]  耶穌離世之前
[00:01:08.000 --> 00:01:14.000]  當時的環境和氣氛是怎樣的呢
[00:01:14.000 --> 00:01:16.000]  如果你看前後文就知道
[00:01:16.000 --> 00:01:21.000]  那班門徒在爭誰是大
[00:01:21.000 --> 00:01:23.000]  誰是頭
[00:01:23.000 --> 00:01:27.000]  每個人都爭著做頭
[00:01:27.000 --> 00:01:33.000]  另外耶穌三番四次告訴門徒
[00:01:33.000 --> 00:01:36.000]  祂就快要離開他們了
[00:01:36.000 --> 00:01:39.000]  祂要面對十字架了
[00:01:39.000 --> 00:01:43.000]  祂要上耶路撒冷去受死
[00:01:43.000 --> 00:01:46.000]  當時的門徒都不是很明白
[00:01:46.000 --> 00:01:49.000]  但都是在拗頭
[00:01:49.000 --> 00:01:53.000]  耶穌說了這番話
[00:01:53.000 --> 00:01:55.000]  其實聖經告訴我們
[00:01:55.000 --> 00:02:01.000]  耶穌的心裡面是很憂愁的
[00:02:01.000 --> 00:02:03.000]  第十四章就看到了
[00:02:03.000 --> 00:02:05.000]  耶穌說你們心裡不必憂愁
[00:02:05.000 --> 00:02:07.000]  門徒憂愁
[00:02:07.000 --> 00:02:10.000]  其實耶穌自己也憂愁
[00:02:10.000 --> 00:02:18.000]  就是一個好像在暴風雨來臨的前夕
[00:02:18.000 --> 00:02:20.000]  大家又憂愁又懼怕
[00:02:20.000 --> 00:02:23.000]  不知道怎麼辦的時候
[00:02:23.000 --> 00:02:25.000]  這裡讓我們看到
[00:02:25.000 --> 00:02:29.000]  耶穌做了一件很特別的事情
[00:02:29.000 --> 00:02:33.000]  就是為門徒洗腳
[00:02:33.000 --> 00:02:35.000]  根據猶太人的習慣
[00:02:35.000 --> 00:02:40.000]  他們出了街回家之後
[00:02:40.000 --> 00:02:44.000]  因為他們都是穿草鞋、涼鞋
[00:02:44.000 --> 00:02:48.000]  當時的泥路不是石絲馬路
[00:02:48.000 --> 00:02:51.000]  所以回家的腳都很骯髒
[00:02:51.000 --> 00:02:57.000]  通常洗一下腳就可以舒舒服服了
[00:02:57.000 --> 00:03:02.000]  一般來說是自己洗自己的腳
[00:03:02.000 --> 00:03:08.000]  同時只有那些最卑微、最低的老僕
[00:03:08.000 --> 00:03:11.000]  才會和別人洗腳
[00:03:11.000 --> 00:03:14.000]  當時的聖經都是自己洗自己的腳
[00:03:14.000 --> 00:03:16.000]  但是聖經也會給我們看
[00:03:16.000 --> 00:03:21.000]  聖經怎麼說呢
[00:03:21.000 --> 00:03:23.000]  第四節
[00:03:23.000 --> 00:03:26.000]  就離席脫了衣服
