
[00:00:00.000 --> 00:00:03.700]  很高興今天在大家當中可以分享新的華語
[00:00:03.700 --> 00:00:10.500]  特別我亦都注意到有些大英姊妹是在家裡或者其他地方看的
[00:00:10.500 --> 00:00:11.800]  不過就
[00:00:11.800 --> 00:00:16.100]  我上個禮拜才發現原來我的鏡頭在那邊
[00:00:16.100 --> 00:00:18.100]  所以打個招呼
[00:00:18.100 --> 00:00:22.100]  我不懂怎樣去望鏡
[00:00:22.100 --> 00:00:23.700]  所以不過你知道我
[00:00:23.700 --> 00:00:26.300]  在港獨的時候都會想到
[00:00:26.300 --> 00:00:28.400]  不在我們當中的大英姊妹
[00:00:29.000 --> 00:00:33.300]  亦都多謝剛才帶領試歌的姊妹
[00:00:33.300 --> 00:00:37.200]  她們很小心的配合我今天所說的主題
[00:00:37.200 --> 00:00:38.700]  去選一些歌
[00:00:38.700 --> 00:00:42.200]  希望我們整個崇拜
[00:00:42.200 --> 00:00:44.000]  我們都能夠記得這個主題
[00:00:44.000 --> 00:00:47.200]  亦都知道主是在我們當中
[00:00:47.200 --> 00:00:49.200]  接受我們的敬拜
[00:00:49.200 --> 00:00:53.800]  有一種運動就是
[00:00:53.800 --> 00:00:56.200]  那些職業後援
[00:00:56.200 --> 00:00:58.600]  主要都是在美國
[00:00:59.600 --> 00:01:04.000]  在世界其他地方你差不多沒有見到的
[00:01:04.000 --> 00:01:05.800]  是什麼運動呢
[00:01:05.800 --> 00:01:11.000]  美式足球或者橄欖球
[00:01:11.000 --> 00:01:17.000]  這個運動就在其他地方比較少見
[00:01:17.000 --> 00:01:19.500]  職業球隊差不多沒有的
[00:01:19.500 --> 00:01:20.300]  為什麼呢
[00:01:20.300 --> 00:01:21.800]  有個原因是
[00:01:21.800 --> 00:01:25.000]  因為做一個職業球隊是不容易的
[00:01:25.000 --> 00:01:25.800]  很貴的
[00:01:27.600 --> 00:01:31.100]  雖然每一次在場上是11個人打球
[00:01:31.100 --> 00:01:35.100]  但是基本上職業球隊有53個人
[00:01:35.100 --> 00:01:38.600]  我不算是球迷
[00:01:38.600 --> 00:01:40.600]  不過知道大概的規矩
[00:01:40.600 --> 00:01:42.600]  11個人進攻的
[00:01:42.600 --> 00:01:45.100]  11個人防守的
[00:01:45.100 --> 00:01:47.100]  那你已經22個人了
[00:01:47.100 --> 00:01:50.100]  還有特別踢球的人
[00:01:50.100 --> 00:01:52.000]  那裡有3、4個人
[00:01:52.000 --> 00:01:55.400]  除了正選上場的球員
[00:01:55.400 --> 00:01:56.400]  還有後備
[00:01:57.000 --> 00:02:01.600]  後備又不是隨便哪個可以補哪個位置
[00:02:01.600 --> 00:02:04.900]  特別是那個位置你才可以補
[00:02:04.900 --> 00:02:06.600]  所以就不一樣
[00:02:06.600 --> 00:02:08.200]  那這些球員就
[00:02:08.200 --> 00:02:12.200]  不是說每個人都可以踢球
[00:02:12.200 --> 00:02:13.400]  雖然我是叫足球
[00:02:13.400 --> 00:02:15.600]  其實大部分時間就是用手扔
[00:02:15.600 --> 00:02:18.200]  也都不是每個人都可以扔球
[00:02:18.200 --> 00:02:19.800]  不是每個人都可以接球的
[00:02:19.800 --> 00:02:22.600]  就是他有很多規矩
[00:02:22.600 --> 00:02:24.200]  我都不懂得全部
[00:02:24.200 --> 00:02:26.500]  身形也都不一樣
[00:02:28.000 --> 00:02:29.500]  有些走得快
[00:02:29.500 --> 00:02:30.500]  一百多磅
[00:02:30.500 --> 00:02:32.500]  有些就三百多磅
[00:02:32.500 --> 00:02:34.000]  不用走的
[00:02:34.000 --> 00:02:37.200]  在前線那裡擋住人就可以了
[00:02:37.200 --> 00:02:39.000]  不過我最欣賞的
[00:02:39.000 --> 00:02:41.600]  就是在這個比賽的時候
[00:02:41.600 --> 00:02:45.200]  其實都是在每一個比賽之前要想辦法
[00:02:45.200 --> 00:02:47.700]  隊長說明的
[00:02:47.700 --> 00:02:49.300]  就是你怎麼走
[00:02:49.300 --> 00:02:50.200]  這個去哪裡
[00:02:50.200 --> 00:02:53.000]  他們當然練習的時候有那些暗號
[00:02:53.000 --> 00:02:54.400]  到時候就說
[00:02:54.400 --> 00:02:55.400]  怎樣
[00:02:55.700 --> 00:02:57.800]  然後就誰負責接球
[00:02:57.800 --> 00:02:58.800]  走走走
[00:02:58.800 --> 00:03:01.200]  去到那裡就鄉有尊
[00:03:01.200 --> 00:03:03.400]  我真的很佩服他們
[00:03:03.400 --> 00:03:05.200]  合計練得這麼熟
[00:03:05.200 --> 00:03:07.800]  有時候扔那個球扔到那裡
[00:03:07.800 --> 00:03:11.000]  那個人去到就接到了
[00:03:11.000 --> 00:03:14.500]  甚至不用轉身看
[00:03:14.500 --> 00:03:17.100]  那個球就下來了
[00:03:17.100 --> 00:03:22.800]  很有練習的果效
[00:03:22.800 --> 00:03:25.700]  也都很有政策
[00:03:25.700 --> 00:03:28.200]  或者什麼可以接到球
[00:03:28.200 --> 00:03:32.200]  其實這筆所書所描述的
[00:03:32.200 --> 00:03:34.200]  一個健康成熟的教會
[00:03:34.200 --> 00:03:35.900]  就好像一個球隊一樣
[00:03:35.900 --> 00:03:38.400]  每一個人都重要的
[00:03:38.400 --> 00:03:40.000]  不能夠少
[00:03:40.000 --> 00:03:43.900]  千萬不要以為你自己少我不少
[00:03:43.900 --> 00:03:46.000]  吃東西就可以
[00:03:46.000 --> 00:03:47.200]  送花是不可以的
[00:03:47.200 --> 00:03:50.000]  少一個就少了
[00:03:50.000 --> 00:03:52.000]  侍奉也都一樣
[00:03:53.300 --> 00:03:55.400]  你是這個團體的一分子
[00:03:55.400 --> 00:03:57.600]  我是這個團體的一分子
[00:03:57.600 --> 00:04:00.100]  我們在一起的時候分工合作
[00:04:00.100 --> 00:04:02.800]  才能夠達到那個目標
[00:04:02.800 --> 00:04:04.200]  所以這筆所書
[00:04:04.200 --> 00:04:05.800]  這一段聖經主要是提到
[00:04:05.800 --> 00:04:07.600]  做領導的人
[00:04:07.600 --> 00:04:09.800]  怎樣去裝備信徒
[00:04:09.800 --> 00:04:11.900]  教導牧羊信徒
[00:04:11.900 --> 00:04:14.200]  幫助大家來發揮潛力
[00:04:14.200 --> 00:04:18.100]  所有人都需要配合接受教導
[00:04:18.100 --> 00:04:20.900]  所以我們在一起的時候
[00:04:21.600 --> 00:04:24.000]  就不是要追求「或一」
[00:04:24.000 --> 00:04:26.000]  而是追求「合一」
[00:04:26.000 --> 00:04:27.400]  在這個圖的左邊
[00:04:27.400 --> 00:04:29.600]  「或一」就好像階磚一樣
[00:04:29.600 --> 00:04:31.600]  發散也是一樣的
[00:04:31.600 --> 00:04:35.400]  我們不是要求教會每個人都一樣
[00:04:35.400 --> 00:04:37.800]  每個人都要做這些
[00:04:37.800 --> 00:04:39.600]  每個人都要做這些聖經
[00:04:39.600 --> 00:04:42.000]  而是說「合一」
[00:04:42.000 --> 00:04:44.800]  我們是很不一樣的
[00:04:44.800 --> 00:04:46.400]  但是配合
[00:04:46.400 --> 00:04:47.900]  如果好的時候
[00:04:47.900 --> 00:04:51.000]  我們能夠看到一幅美麗的圖畫
[00:04:51.200 --> 00:04:52.500]  好像拼圖一樣
[00:04:52.500 --> 00:04:54.800]  那個「合一」是我們應該追求的
