
[00:00:00.000 --> 00:00:02.000]  今年的品格長日日營
[00:00:02.000 --> 00:00:04.000]  我們在年初的時候
[00:00:04.000 --> 00:00:06.000]  我已經定了一個題目叫「活得快樂」
[00:00:06.000 --> 00:00:08.000]  為什麼我會選擇這個題目呢
[00:00:08.000 --> 00:00:10.000]  是因為去年如果有印象
[00:00:10.000 --> 00:00:12.000]  其實在開學之後那幾個月
[00:00:12.000 --> 00:00:14.000]  是香港很多很多很差的消息
[00:00:14.000 --> 00:00:16.000]  就是不同的小朋友
[00:00:16.000 --> 00:00:18.000]  他們都在那個厭世裏面
[00:00:18.000 --> 00:00:20.000]  也都有不少
[00:00:20.000 --> 00:00:22.000]  學童在自殺的當中
[00:00:22.000 --> 00:00:24.000]  那究竟怎樣可以
[00:00:24.000 --> 00:00:26.000]  令我們的小朋友開心一點呢
[00:00:26.000 --> 00:00:28.000]  怎樣去幫助他們呢
[00:00:28.000 --> 00:00:30.000]  這幾年在想的東西
[00:00:30.000 --> 00:00:32.000]  所以今次的品格我們教了三個品格
[00:00:32.000 --> 00:00:34.000]  第一個是勇敢
[00:00:34.000 --> 00:00:36.000]  第二個是開放
[00:00:36.000 --> 00:00:38.000]  第三個是變通
[00:00:38.000 --> 00:00:40.000]  其實這三個品格
[00:00:40.000 --> 00:00:42.000]  我覺得我們大人
[00:00:42.000 --> 00:00:44.000]  其實都需要去學習
[00:00:44.000 --> 00:00:46.000]  因為香港我覺得
[00:00:46.000 --> 00:00:48.000]  連大人都不是經常都可以這麼開心
[00:00:48.000 --> 00:00:50.000]  我們在教的是什麼呢
[00:00:50.000 --> 00:00:52.000]  就是當我們希望弟兄姊妹
[00:00:52.000 --> 00:00:54.000]  希望我們小朋友能夠活得開心的時候
[00:00:54.000 --> 00:00:56.000]  有一樣東西需要的就是勇氣
[00:00:56.000 --> 00:00:58.000]  因為人生總有
[00:00:58.000 --> 00:01:00.000]  面對困難的時間
[00:01:00.000 --> 00:01:02.000]  我們教導小朋友要勇敢的去面對
[00:01:02.000 --> 00:01:04.000]  這些困難和挑戰
[00:01:04.000 --> 00:01:06.000]  特別很多的訓練裏面
[00:01:06.000 --> 00:01:08.000]  是教導他們學習去表達自己
[00:01:08.000 --> 00:01:10.000]  香港生得太少了
[00:01:10.000 --> 00:01:12.000]  大部分都會在大人的世界
[00:01:12.000 --> 00:01:14.000]  其實小朋友是很難去表達他們自己的
[00:01:14.000 --> 00:01:16.000]  這個是在營會當中
[00:01:16.000 --> 00:01:18.000]  我們可以幫助小朋友的
[00:01:18.000 --> 00:01:20.000]  第二個品格是開放
[00:01:20.000 --> 00:01:22.000]  是鼓勵他們去接受一些新的事物
[00:01:22.000 --> 00:01:24.000]  特別去接受一些
[00:01:24.000 --> 00:01:26.000]  不同的人的不同
[00:01:26.000 --> 00:01:28.000]  不同的人可以有不同的意見
[00:01:28.000 --> 00:01:30.000]  還有勇敢的去接受不同的人
[00:01:30.000 --> 00:01:32.000]  都有不同的感受
[00:01:32.000 --> 00:01:34.000]  而變通這種能力
[00:01:34.000 --> 00:01:36.000]  也是現在的小朋友很少有的
[00:01:36.000 --> 00:01:38.000]  他經常都不開心
[00:01:38.000 --> 00:01:40.000]  他要那樣東西就要那樣東西
[00:01:40.000 --> 00:01:42.000]  沒有了那樣東西
[00:01:42.000 --> 00:01:44.000]  他就發覺天都要塌了
[00:01:44.000 --> 00:01:46.000]  所以我們告訴他
[00:01:46.000 --> 00:01:48.000]  希望他知道自己有更多的選擇
[00:01:48.000 --> 00:01:50.000]  也鼓勵他們有更多的創意
[00:01:50.000 --> 00:01:52.000]  聽完之後是不是覺得自己也應該上這些課程呢
[00:01:52.000 --> 00:01:54.000]  事實上我們當中有些東西挺有趣的
[00:01:54.000 --> 00:01:56.000]  想跟大家分享一下
[00:01:56.000 --> 00:01:58.000]  讓你了解一下現在的小朋友
[00:01:58.000 --> 00:02:00.000]  我們問過小朋友怎樣才快樂呢
[00:02:00.000 --> 00:02:02.000]  你知道原來有玩具而快樂的
[00:02:02.000 --> 00:02:04.000]  只有多少個百分比嗎
[00:02:04.000 --> 00:02:06.000]  三成
[00:02:06.000 --> 00:02:08.000]  所以我們當中應該有很多年輕的家長
[00:02:08.000 --> 00:02:10.000]  你應該考慮一下
[00:02:10.000 --> 00:02:12.000]  原來你死做爛做
[00:02:12.000 --> 00:02:14.000]  打算買一些玩具給他
[00:02:14.000 --> 00:02:16.000]  發聲的也好名牌的也好
[00:02:16.000 --> 00:02:18.000]  原來有玩具只有三成的小朋友會覺得開心
[00:02:18.000 --> 00:02:20.000]  但是有超過半數的小朋友
[00:02:20.000 --> 00:02:22.000]  他說有人跟他玩
[00:02:22.000 --> 00:02:24.000]  反而開心一點
[00:02:24.000 --> 00:02:26.000]  哪怕是一張爛報紙
[00:02:26.000 --> 00:02:28.000]  一隻杯
[00:02:28.000 --> 00:02:30.000]  一支叉
[00:02:30.000 --> 00:02:32.000]  總之有人跟他一起玩
[00:02:32.000 --> 00:02:34.000]  他是覺得很開心的
[00:02:34.000 --> 00:02:36.000]  但是很有趣的
[00:02:36.000 --> 00:02:38.000]  香港的小朋友物質這麼豐富
[00:02:38.000 --> 00:02:40.000]  大部份的小朋友看到有東西吃
[00:02:40.000 --> 00:02:42.000]  他就開心了
[00:02:42.000 --> 00:02:44.000]  差不多70%小朋友有東西吃
[00:02:44.000 --> 00:02:46.000]  他就開心了
[00:02:46.000 --> 00:02:48.000]  有錢就開心的呢
[00:02:48.000 --> 00:02:50.000]  但是你們
[00:02:50.000 --> 00:02:52.000]  不敢舉手
[00:02:52.000 --> 00:02:54.000]  你猜不到
[00:02:54.000 --> 00:02:56.000]  這班是升小六
[00:02:56.000 --> 00:02:58.000]  小五或以下
[00:02:58.000 --> 00:03:00.000]  九成的小朋友
