
[00:00:00.000 --> 00:00:05.000]  參樂主,我們感謝祢,感謝祢我們還有生命氣息
[00:00:05.000 --> 00:00:10.000]  在末世的時候,我們坐在祢的殿堂裡面的時候,我們敬拜祢
[00:00:10.000 --> 00:00:15.000]  主,我們感謝祢,因為祢好的思覺敬拜,將我們帶入靈的敬拜裡面
[00:00:15.000 --> 00:00:19.000]  讓我們可以看到天上開了有寶座座著
[00:00:19.000 --> 00:00:24.000]  大君的君王,就是萬王之王,萬主之主的那一位
[00:00:24.000 --> 00:00:28.000]  神是容許在這個時間,我們敬拜祢
[00:00:28.000 --> 00:00:31.000]  我們不單單在當中,我們用思覺敬拜祢
[00:00:31.000 --> 00:00:38.000]  求祢在當中的時候,我們用心口合一,我們用聽到的時候,我們敬拜祢
[00:00:38.000 --> 00:00:45.000]  叫我們能夠帶入祢的說話裡面,將祢的說話顯明出來的時候
[00:00:45.000 --> 00:00:47.000]  見到是祢自己
[00:00:47.000 --> 00:00:52.000]  主啊,求祢在當中的時候,用祢的說話去興起祢的世代
[00:00:52.000 --> 00:00:56.000]  聽我們的禱告,奉耶穌基督的名求,阿們
[00:00:56.000 --> 00:01:00.000]  近日在國際裡面,無論在國與國之間
[00:01:00.000 --> 00:01:08.000]  陣營和陣營之間的尖銳對立,其實是直接和間接都有
[00:01:08.000 --> 00:01:12.000]  使得世界的經濟其實是急劇惡化的
[00:01:12.000 --> 00:01:17.000]  普世的通脹正在膨脹
[00:01:17.000 --> 00:01:21.000]  各國的貨幣正在貶值
[00:01:21.000 --> 00:01:27.000]  再加上新冠疫情,可能這也不是新的新聞
[00:01:27.000 --> 00:01:29.000]  又有新的變種
[00:01:29.000 --> 00:01:31.000]  開始已經忘記祂的號碼了
[00:01:31.000 --> 00:01:36.000]  先前的時候,那些號碼我都記得,因為有時候講到要用
[00:01:36.000 --> 00:01:40.000]  接著去到BA17145那些,已經不知道要說什麼
[00:01:40.000 --> 00:01:43.000]  對我沒什麼意思,那時候的號碼
[00:01:43.000 --> 00:01:45.000]  所以真的很難記
[00:01:45.000 --> 00:01:50.000]  但是,在當中裡面,祂是會有捲土重來之世
[00:01:50.000 --> 00:01:55.000]  有人跟我說,他是一位中醫師
[00:01:55.000 --> 00:02:00.000]  聽我說吧,冬天的時候會再回來的
[00:02:00.000 --> 00:02:03.000]  接著其實他最想說的就是號碼那句
[00:02:03.000 --> 00:02:07.000]  但是不要緊,因為我們有中醫中藥嘛
[00:02:07.000 --> 00:02:10.000]  我都知道他想說這件事
[00:02:10.000 --> 00:02:15.000]  其實在種種情況發生的時候,我們好像有一個印象
[00:02:15.000 --> 00:02:20.000]  那個印象就是這個世界裡面,越來越走向混亂
[00:02:20.000 --> 00:02:23.000]  我們有時候可能會不禁問
[00:02:23.000 --> 00:02:29.000]  咦?那究竟是不是末世所形容的亂象呢?
[00:02:29.000 --> 00:02:34.000]  所以因為這個原因,所以今天想和你分享這個主題
[00:02:34.000 --> 00:02:37.000]  就是有關四匹馬的描述
[00:02:37.000 --> 00:02:40.000]  為什麼呢?因為四匹馬差不多是供應
[00:02:40.000 --> 00:02:45.000]  是神審判末日的開始
[00:02:45.000 --> 00:02:52.000]  也是世界越來越走向混亂的開始
[00:02:52.000 --> 00:02:56.000]  所以究竟這個世界上會發生什麼事情呢?
[00:02:56.000 --> 00:02:58.000]  究竟四匹馬已經來了沒有?
