
[00:00:00.000 --> 00:00:06.000]  好,第一次賠償,我們在聆聽主導議先,我們一起同心低頭,禱告仰望安全衛生
[00:00:06.000 --> 00:00:28.000]  父神多謝你,在這個寒冬的時間,大雪紛飛的時日,讓我們仍然可以在你的看顧保守的當中,安全回到離家會,或者在網絡的上面一同的敬拜,仰望在主你面前,我們再次獻上感謝
[00:00:29.000 --> 00:00:53.000]  求你的靈與我們同在,讓我們有悟性,明白當中上主你的啟示,特別你藉著門和馬太所記載下來的一切關於主耶穌基督的經歷經驗與對談,從當中讓我們去明白到如何面對我們屬靈上面的挑戰
[00:00:54.000 --> 00:01:05.000]  我們再次為此獻上禱告,求你的靈光照我們,同心的禱告,奉教主耶穌基督德性的名字而求,阿們
[00:01:07.000 --> 00:01:34.000]  很多人當他認識我是一個牧師之後,往往他們很快就會問一條問題,他就說,黃牧師,你搞的有什麼活動,有什麼團契,或者有什麼其他的聯誼活動呢
[00:01:35.000 --> 00:01:51.000]  首先我要澄清一點,就是問這條問題是沒有什麼犯罪的問題,如果你認識我是某間教會的牧者,你問這條問題也是一個自然不過的問題
[00:01:52.000 --> 00:02:12.000]  不過這條問題很多時候就正正反映出一個情況,就是一般的人認為教會都是由一些活動去組成的,宗教團體就是要為了搞宗教活動而存在
[00:02:13.000 --> 00:02:25.000]  這種傳統甚至可以說很牢固的思想是長期留在很多人的心上
[00:02:25.000 --> 00:02:40.000]  還有一件事就是,今天絕多數的人都認為教會甚至宗教團體都是為了慈善活動而存在
[00:02:41.000 --> 00:02:55.000]  因為這班都是好人,所以這班好人存在在教會當中,就能夠讓他們一起去做多一些好事
[00:02:55.000 --> 00:03:06.000]  好事對於一般的人來看,就是究竟他們在這個世界上能夠做多少慈慰的工作
[00:03:07.000 --> 00:03:17.000]  而不少的信徒教會也都以這一種成為他們以為是奉神的一個基礎
[00:03:17.000 --> 00:03:33.000]  但是當我們回到耶穌在聖經當中對於教會的啟示的時候,耶穌所指出的就不是做些什麼事,或者做些什麼事工
[00:03:34.000 --> 00:03:46.000]  當我們明白到耶穌的啟示,或者耶穌的工作與我們今天所信,或者對教會的看法,或者對宗教的看法原來有這麼大的分別的時候
[00:03:46.000 --> 00:03:59.000]  我們就可以再仔細去問一下,究竟我們的信是建基於什麼?我們去參加教會是為了什麼目的?
