
[00:00:00.000 --> 00:00:07.400]  今天的題目應該是「學習牧養弱勢的群體」
[00:00:07.400 --> 00:00:13.600]  或者叫「學校基督牧養教會的弱勢群體」
[00:00:13.600 --> 00:00:21.400]  請在座當中哪一位是弱者、弱勢群體的
[00:00:21.400 --> 00:00:22.400]  請舉手
[00:00:22.400 --> 00:00:25.200]  有人舉手,這個不是
[00:00:25.200 --> 00:00:27.200]  有人舉手,沒有人舉手
[00:00:27.200 --> 00:00:28.600]  我看到有人舉手,不是
[00:00:30.000 --> 00:00:31.000]  沒有吧?
[00:00:31.000 --> 00:00:33.800]  強勢群體,請舉手
[00:00:33.800 --> 00:00:37.800]  強者,即是不強不弱
[00:00:37.800 --> 00:00:41.800]  要中中低,比上不足比下很遠
[00:00:41.800 --> 00:00:47.800]  弱勢群體是沒有中間的
[00:00:47.800 --> 00:00:51.600]  要麼強,要麼弱
[00:00:51.600 --> 00:00:55.800]  沒有弱弱低,不能全弱,就不是弱了
[00:00:55.800 --> 00:00:59.800]  強強低,弱強得全,就是弱了
[00:01:00.400 --> 00:01:05.800]  好,教會中的弱者
[00:01:05.800 --> 00:01:12.200]  第三節說要尊敬
[00:01:12.200 --> 00:01:14.600]  為甚麼要尊敬弱者?
[00:01:14.600 --> 00:01:16.000]  敬老嘛,對不對?
[00:01:16.000 --> 00:01:21.200]  教會弱者我們要關顧
[00:01:21.200 --> 00:01:25.200]  還要負能,今天有三個要點
[00:01:25.200 --> 00:01:28.600]  好,教會中的弱者
[00:01:28.600 --> 00:01:30.600]  為甚麼要尊敬呢?
[00:01:30.600 --> 00:01:32.400]  再讀一讀
[00:01:32.400 --> 00:01:36.000]  要尊敬真正守寡的婦人
[00:01:36.000 --> 00:01:40.200]  寡婦若有兒女或有孫兒女
[00:01:40.200 --> 00:01:45.800]  要讓兒孫先在自己家中學習行孝
[00:01:45.800 --> 00:01:47.400]  報答親恩
[00:01:47.400 --> 00:01:52.000]  因為這在上帝面前是可無越立的
[00:01:52.000 --> 00:01:55.000]  獨居無靠的真寡婦
[00:01:56.200 --> 00:02:01.000]  子養乃臣,晝夜不住地,祈求祈禱
[00:02:01.000 --> 00:02:06.800]  這裡說真正守寡的婦人有些假守寡的嗎?
[00:02:06.800 --> 00:02:10.400]  有些真寡婦,有些假寡婦的嗎?
[00:02:10.400 --> 00:02:12.400]  首先我們看看
[00:02:12.400 --> 00:02:17.800]  為甚麼我們要尊敬寡婦呢?
[00:02:17.800 --> 00:02:20.400]  因為寡婦
[00:02:23.000 --> 00:02:27.200]  你可以用很多的定義去定義甚麼是弱勢群體
[00:02:27.200 --> 00:02:29.200]  社會學有很多的定義
[00:02:29.200 --> 00:02:34.800]  每一個政治正確的政府都有自己說
[00:02:34.800 --> 00:02:39.000]  我們要怎樣去關心弱勢群體
[00:02:39.000 --> 00:02:41.800]  但大家的定義都是有些不同的
[00:02:41.800 --> 00:02:43.600]  看看聖經如何定義
[00:02:43.600 --> 00:02:45.600]  聖經沒有用弱勢群體
[00:02:45.600 --> 00:02:47.600]  因為當時沒有社會學的名詞
[00:02:47.600 --> 00:02:49.400]  所以它用寡婦來代表
[00:02:49.400 --> 00:02:52.600]  寡婦是弱者的代表
[00:02:53.000 --> 00:02:55.800]  寡婦的名字是弱者
