
[00:00:00.000 --> 00:00:05.000]  他後來成為一個很頂尖的會計師
[00:00:05.000 --> 00:00:07.000]  收入很豐厚
[00:00:07.000 --> 00:00:11.000]  後來他見到阿哥服侍很好
[00:00:11.000 --> 00:00:13.000]  他自己又去侍奉
[00:00:13.000 --> 00:00:17.000]  他在一間小堂會裏面去服侍
[00:00:17.000 --> 00:00:22.000]  他發覺他阿哥一早去了中國侍奉
[00:00:22.000 --> 00:00:23.000]  很出名
[00:00:23.000 --> 00:00:24.000]  很多人知道
[00:00:24.000 --> 00:00:25.000]  很多人敬重
[00:00:25.000 --> 00:00:28.000]  他自己放下高薪厚職
[00:00:28.000 --> 00:00:30.000]  他在一間小堂會裏侍奉
[00:00:30.000 --> 00:00:32.000]  無名無姓
[00:00:32.000 --> 00:00:35.000]  他常常覺得自己為主犧牲了很多
[00:00:35.000 --> 00:00:39.000]  但主沒有甚麼回報給他
[00:00:39.000 --> 00:00:45.000]  他自己好像很多犧牲又沒有甚麼得著
[00:00:45.000 --> 00:00:49.000]  當然這是一個相傳的故事
[00:00:49.000 --> 00:00:51.000]  如果你問戴繼宗牧師
[00:00:51.000 --> 00:00:53.000]  他的祖父的祖父有沒有這個弟弟
[00:00:53.000 --> 00:00:55.000]  他回答不了你
[00:00:55.000 --> 00:00:58.000]  你不需要考究
[00:00:58.000 --> 00:01:02.000]  但我叫這個戴犧牲的故事
[00:01:02.000 --> 00:01:04.000]  這個想法
[00:01:04.000 --> 00:01:06.000]  我叫戴犧牲的精神
[00:01:06.000 --> 00:01:09.000]  原來很多侍奉主的人
[00:01:09.000 --> 00:01:13.000]  或多或少都有這種戴犧牲的精神
[00:01:13.000 --> 00:01:16.000]  我為主付出很多
[00:01:16.000 --> 00:01:19.000]  但為甚麼我的得著會這麼少
[00:01:19.000 --> 00:01:24.000]  戴犧牲的精神可能很多人都有
[00:01:24.000 --> 00:01:26.000]  你這個傳道人
[00:01:26.000 --> 00:01:29.000]  他可能在職場裏面高薪厚職
[00:01:29.000 --> 00:01:32.000]  被主蒙召讀神學
