
[00:00:00.000 --> 00:00:03.580]  感謝天父帶領孩子來到大家當中去服事
[00:00:03.580 --> 00:00:07.280]  去求主去使用孩子
[00:00:07.280 --> 00:00:13.840]  這段經文令我想起一個高中生
[00:00:13.840 --> 00:00:17.600]  這個高中生是一直都品學兼優的
[00:00:17.600 --> 00:00:21.280]  但是會考過了之後他就缺志信主
[00:00:21.280 --> 00:00:23.360]  還回教會做會
[00:00:23.360 --> 00:00:26.280]  是不是挺好啊 挺好啊 是不是
[00:00:26.280 --> 00:00:28.400]  但是他越來越多困擾
[00:00:28.400 --> 00:00:31.000]  因爲回教會 要教會聚會
[00:00:31.000 --> 00:00:32.540]  當然有團契的
[00:00:32.540 --> 00:00:35.560]  回到團契的時候就經常很困擾
[00:00:35.560 --> 00:00:37.400]  到底分享什麼好呢
[00:00:37.400 --> 00:00:40.600]  很不習慣見人 很不習慣和人分享東西
[00:00:40.600 --> 00:00:42.120]  難道不回什麼 但是不行的
[00:00:42.120 --> 00:00:45.960]  基督徒要回教會 聚會 回團契
[00:00:45.960 --> 00:00:48.200]  還要在學校
[00:00:48.200 --> 00:00:50.160]  因爲他一直成績挺好的
[00:00:50.160 --> 00:00:54.040]  每一次成績好的時候 老師讚的時候
[00:00:54.040 --> 00:00:57.280]  將他的功課貼堂 考試貼堂的時候
[00:00:57.280 --> 00:01:01.920]  他就會覺得很威 尖尖自喜
[00:01:01.920 --> 00:01:05.160]  覺得很厲害 一點都不謙虛
[00:01:05.160 --> 00:01:06.600]  還要在學校裏面
[00:01:06.600 --> 00:01:09.560]  其實有很多競爭對手和你鬥成績 是不是
[00:01:09.560 --> 00:01:10.840]  經常都很想贏
[00:01:10.840 --> 00:01:13.800]  還要不單止不幫其他同學
[00:01:13.800 --> 00:01:16.920]  不幫這些同學
[00:01:16.920 --> 00:01:19.440]  然後還要想想怎麼煽他
[00:01:19.440 --> 00:01:22.320]  或者給他一些錯誤的東西 陰霾他
[00:01:22.320 --> 00:01:27.800]  還要他成績不好的時候 恆災樂禍 很開心
[00:01:27.800 --> 00:01:29.960]  他還留意到自己
[00:01:29.960 --> 00:01:31.480]  還有一樣東西就是
[00:01:31.480 --> 00:01:35.520]  經常都想起團契裏面的那個女孩
[00:01:35.520 --> 00:01:36.680]  很想每次回到團契裏
[00:01:36.680 --> 00:01:38.560]  都想着怎麼可以借耳朵
[00:01:38.560 --> 00:01:42.440]  和她多見面 多聊天
[00:01:42.440 --> 00:01:44.800]  他很困擾
[00:01:44.800 --> 00:01:47.440]  你還說自己是基督徒 是不是
[00:01:47.440 --> 00:01:49.720]  怎麼可以這樣
[00:01:49.720 --> 00:01:51.760]  他覺得很難受
[00:01:51.760 --> 00:01:54.680]  又怎麼跟別人說這些東西 是不是
[00:01:54.680 --> 00:01:58.240]  表面上他還是一個品學兼優的人
[00:01:58.240 --> 00:01:59.440]  但沒有人知道他
[00:01:59.440 --> 00:02:01.600]  其實裏面有很多壞的東西
[00:02:01.600 --> 00:02:05.800]  但同一時間其實他又很自責
[00:02:05.800 --> 00:02:08.600]  唉 怎麼算好呢
[00:02:08.600 --> 00:02:12.640]  或者很多人都好像有類似的心態 是不是
[00:02:12.640 --> 00:02:14.240]  覺得宗教是什麼
[00:02:14.240 --> 00:02:16.960]  宗教無非是做好自己
[00:02:16.960 --> 00:02:20.160]  或者守着很多的規條
[00:02:20.160 --> 00:02:22.360]  但當你守不了的時候
[00:02:22.360 --> 00:02:24.880]  你又心很不舒服
[00:02:24.880 --> 00:02:26.640]  扎着扎着這樣
[00:02:26.640 --> 00:02:29.520]  慢慢成爲一些枷鎖
