
[00:00:00.000 --> 00:00:05.000]  讓我們先一齊同心祈禱
[00:00:05.000 --> 00:00:07.000]  因主我們感謝祢
[00:00:07.000 --> 00:00:10.000]  祢從千萬人中召選我們
[00:00:10.000 --> 00:00:13.000]  能夠成為祢的兒女
[00:00:13.000 --> 00:00:17.000]  又揀選我們在祢面前來服侍祢
[00:00:17.000 --> 00:00:19.000]  這是何等大的恩典
[00:00:19.000 --> 00:00:21.000]  讓我們不要忘記
[00:00:21.000 --> 00:00:26.000]  我們是主所用重價所買贖回來的
[00:00:26.000 --> 00:00:31.000]  讓我們能夠繼續在我們前頭的日子
[00:00:31.000 --> 00:00:34.000]  我們繼續努力的來服侍祢
[00:00:34.000 --> 00:00:38.000]  能夠同心合意聽往神的教
[00:00:38.000 --> 00:00:41.000]  主啊 又求祢的補血遮蓋我們
[00:00:41.000 --> 00:00:43.000]  祢的靈今早敲冠我們
[00:00:43.000 --> 00:00:45.000]  讓我們每一位弟兄姊妹
[00:00:45.000 --> 00:00:48.000]  都能夠將祢的話語
[00:00:48.000 --> 00:00:50.000]  深藏在我們的內心
[00:00:50.000 --> 00:00:52.000]  又能夠實行出來
[00:00:52.000 --> 00:00:56.000]  又求祢使用無用的僕人
[00:00:56.000 --> 00:01:00.000]  祢的恩典在軟弱的人身上顯得完全
[00:01:00.000 --> 00:01:03.000]  求祢撫聽我們的祈禱
[00:01:03.000 --> 00:01:07.000]  靠賴耶穌基督的聖名求
[00:01:07.000 --> 00:01:13.000]  好 先問大家一個問題
[00:01:13.000 --> 00:01:18.000]  想擁有福氣的請舉手
[00:01:18.000 --> 00:01:22.000]  這次真的乖 全部都舉手
[00:01:22.000 --> 00:01:25.000]  不過我看不到五樓和地下
[00:01:25.000 --> 00:01:27.000]  如果有一天我們有一個互動
[00:01:27.000 --> 00:01:32.000]  可以看到 叫上來我也聽不到
[00:01:32.000 --> 00:01:37.000]  福氣其實每個人都想擁有
[00:01:37.000 --> 00:01:41.000]  不過基督信仰所說的福氣
[00:01:41.000 --> 00:01:44.000]  絕對不是世間所說的
[00:01:44.000 --> 00:01:47.000]  世間所說的是什麼呢
[00:01:47.000 --> 00:01:54.000]  我們趨吉避凶 一帆風順 步步高升
[00:01:54.000 --> 00:01:56.000]  但是為我們基督信仰
[00:01:56.000 --> 00:01:58.000]  我們不是說這件事
[00:01:58.000 --> 00:02:00.000]  當然那些我們都想追求
[00:02:00.000 --> 00:02:03.000]  但是我們最大的福氣是什麼呢
[00:02:03.000 --> 00:02:06.000]  是因為我們認識到這位愛我們的主
[00:02:06.000 --> 00:02:09.000]  我們的一生都在祂的手裡
[00:02:09.000 --> 00:02:12.000]  無論經歷風雨水火
[00:02:12.000 --> 00:02:15.000]  祂都和我們一起
[00:02:15.000 --> 00:02:19.000]  五月最後的星期三晚的祈禱會
[00:02:19.000 --> 00:02:23.000]  是一個感恩見證的祈禱會
[00:02:23.000 --> 00:02:25.000]  那晚我負責
[00:02:25.000 --> 00:02:27.000]  其中我們有一位姊妹
[00:02:27.000 --> 00:02:30.000]  她的分享都很觸動我
[00:02:30.000 --> 00:02:35.000]  那個姊妹有一種患病 是癌症
[00:02:35.000 --> 00:02:38.000]  那個朋友好像時時都不走
[00:02:38.000 --> 00:02:41.000]  那個癌症的朋友
[00:02:41.000 --> 00:02:45.000]  其中在她的見證裡 她那天說到一點
[00:02:45.000 --> 00:02:48.000]  我是很深深被觸動
[00:02:48.000 --> 00:02:49.000]  她說什麼呢
[00:02:49.000 --> 00:02:52.000]  她說我現在在這種困難的裡面
[00:02:52.000 --> 00:02:54.000]  但是我仍然知道
[00:02:54.000 --> 00:02:57.000]  上帝好像牽著我的手
[00:02:57.000 --> 00:03:02.000]  一起走這條前面不知道是怎樣的道路
[00:03:02.000 --> 00:03:04.000]  弟兄姊妹
[00:03:04.000 --> 00:03:06.000]  我們不知道前面的道路是怎樣
[00:03:06.000 --> 00:03:11.000]  但是我們知道主是牽著我們的手一起走
[00:03:11.000 --> 00:03:13.000]  其實弟兄姊妹有什麼好害怕呢
[00:03:13.000 --> 00:03:15.000]  如果愛我們的主走在我們前頭
[00:03:15.000 --> 00:03:17.000]  好像我們剛才的啟應經文
[00:03:17.000 --> 00:03:20.000]  祂是好目人
