
[00:00:00.000 --> 00:00:05.680]  各位電影姊妹,我們今天一起分享一段經文
[00:00:05.680 --> 00:00:08.280]  剛才Crystal已經幫我們讀了
[00:00:08.280 --> 00:00:14.760]  就是哥倫多前書第一章十八至三十一節
[00:00:14.760 --> 00:00:17.720]  大家看到這個畫面
[00:00:17.720 --> 00:00:19.200]  有個十字架
[00:00:19.200 --> 00:00:21.800]  然後有個,其實是一個問題
[00:00:21.800 --> 00:00:23.240]  Foolish
[00:00:23.240 --> 00:00:26.080]  然後有個問號
[00:00:26.080 --> 00:00:31.400]  十字架是一個愚蠢
[00:00:31.400 --> 00:00:36.800]  一個不智的記號,是不是呢?
[00:00:36.800 --> 00:00:41.720]  今天我就要和大家分享一下這個題目叫大智若愚
[00:00:41.720 --> 00:00:47.120]  究竟是有智慧還是愚蠢的呢?
[00:00:47.120 --> 00:00:52.560]  大家有沒有試過去超級市場或者街市買水果?
[00:00:52.560 --> 00:00:54.080]  應該有吧?
[00:00:54.080 --> 00:00:57.160]  就算你不去買菜,不去街市買菜
[00:00:57.160 --> 00:00:58.680]  你經過超級市場
[00:00:58.680 --> 00:01:02.120]  譬如下面這個現在叫EON,超級市場
[00:01:02.120 --> 00:01:05.960]  一進去的門口就是賣水果的地方
[00:01:05.960 --> 00:01:09.160]  好了,如果你選擇水果的時候
[00:01:09.160 --> 00:01:13.600]  你發現,譬如可能是蘋果或者是橙
[00:01:13.600 --> 00:01:18.800]  有些洞被蟲鑄造了,有些痕跡
[00:01:18.800 --> 00:01:21.080]  你買不買?
[00:01:21.080 --> 00:01:22.920]  當然不買了,是不是?
[00:01:22.920 --> 00:01:28.720]  如果你選擇上手皮光肉滑,很漂亮的顏色
[00:01:28.720 --> 00:01:30.640]  你買不買?
[00:01:30.640 --> 00:01:31.800]  買了,是不是?
[00:01:31.800 --> 00:01:33.160]  漂亮的,是不是?
[00:01:33.160 --> 00:01:37.440]  好了,但是有一個叫做叢林的法則
[00:01:37.440 --> 00:01:38.680]  是甚麼呢?
[00:01:38.680 --> 00:01:41.360]  如果你這麼不幸
[00:01:41.360 --> 00:01:43.880]  流落荒山野嶺
[00:01:43.880 --> 00:01:46.960]  到處都沒有人,暫時去救你
[00:01:46.960 --> 00:01:49.880]  你又肚餓,你去找東西吃
[00:01:49.880 --> 00:01:53.520]  見到樹上有些很漂亮的果子
[00:01:53.520 --> 00:01:57.000]  你會不會拿來吃呢?
[00:01:57.000 --> 00:01:58.720]  叢林的法則告訴我們
[00:01:58.720 --> 00:02:01.160]  越是漂亮,越是吸引人的
[00:02:01.160 --> 00:02:04.200]  可能越是有毒的,所以千萬不要吃
[00:02:04.200 --> 00:02:08.320]  那些反而被鳥叮過,或者有蟲鑄造的
[00:02:08.320 --> 00:02:09.480]  就不用怕了
[00:02:09.480 --> 00:02:12.120]  連它都吃的,應該不會吃死你
[00:02:12.120 --> 00:02:13.960]  你就可以拿來吃
[00:02:13.960 --> 00:02:18.360]  所以如果你去街市或者超市買水果
[00:02:18.360 --> 00:02:21.200]  你見到被蟲鑄造,當然你不要選那個
[00:02:21.200 --> 00:02:25.080]  但是那批可能是沒有下農藥的
[00:02:25.080 --> 00:02:27.600]  所以才有機會有蟲鑄造
[00:02:27.600 --> 00:02:29.960]  當然可能它處理得不好,保存得不好
[00:02:29.960 --> 00:02:31.920]  可能都會出現這個機會
[00:02:31.920 --> 00:02:33.800]  反而弄得很漂亮的
