
[00:00:00.000 --> 00:00:04.000]  講這個系列的時候,我便想到一個問題
[00:00:04.000 --> 00:00:07.500]  話說,當我們走出街的時候
[00:00:07.500 --> 00:00:15.000]  走出街的時候,你覺得別人會覺得我們像誰呢?
[00:00:15.000 --> 00:00:18.000]  有沒有想過這件事?
[00:00:18.000 --> 00:00:20.000]  沒有就想想吧
[00:00:20.000 --> 00:00:25.000]  我選擇了和大家分享《爾忽所書》五章一節又一節
[00:00:25.000 --> 00:00:29.000]  題目就是「活出天國子民的身份」
[00:00:29.000 --> 00:00:34.000]  是藉著使徒保羅他怎樣勸一班信徒
[00:00:34.000 --> 00:00:37.000]  他們是有天國子民的身份
[00:00:37.000 --> 00:00:41.000]  但怎樣可以在這個世界活得不再一樣
[00:00:41.000 --> 00:00:45.000]  和你旁邊的人說一句
[00:00:45.000 --> 00:00:48.000]  你應該有與別不同的
[00:00:48.000 --> 00:00:54.000]  說說背景吧
[00:00:54.000 --> 00:00:57.000]  我不知道大家有沒有看過《爾忽所書》
[00:00:57.000 --> 00:01:00.000]  說說背景吧
[00:01:00.000 --> 00:01:05.000]  其實保羅他曾經在第三次宣教旅程中
[00:01:05.000 --> 00:01:09.000]  去到爾忽所這個地方逗留了三年
[00:01:09.000 --> 00:01:12.000]  所以他對爾忽所有些熟悉
[00:01:12.000 --> 00:01:17.000]  《爾忽所書》也是保羅在羅馬被囚禁的時候
[00:01:17.000 --> 00:01:19.000]  寫的一封監獄書信
[00:01:19.000 --> 00:01:24.000]  很可能是寫給當地的教會
[00:01:24.000 --> 00:01:28.000]  當時他在關切他們面對的處境
[00:01:28.000 --> 00:01:34.000]  很想提醒他們在基督裡面是合一的新群體
[00:01:34.000 --> 00:01:37.000]  我們看《爾忽所書》第五章的時候
[00:01:37.000 --> 00:01:42.000]  就去看保羅怎樣去教信徒怎樣面向世界
[00:01:42.000 --> 00:01:45.000]  其實教他們有三個特質
[00:01:45.000 --> 00:01:47.000]  是什麼呢
[00:01:47.000 --> 00:01:49.000]  我們都應該有的
[00:01:49.000 --> 00:01:56.000]  就是基督徒應該最重要有什麼特質
[00:01:56.000 --> 00:01:57.000]  Bingo
[00:01:57.000 --> 00:01:59.000]  愛
[00:01:59.000 --> 00:02:02.000]  還有呢
[00:02:02.000 --> 00:02:05.000]  沒有了
[00:02:05.000 --> 00:02:07.000]  只是愛嗎
[00:02:07.000 --> 00:02:08.000]  信不住
[00:02:08.000 --> 00:02:12.000]  這個應該是首要的
[00:02:12.000 --> 00:02:14.000]  那我說吧
[00:02:14.000 --> 00:02:18.000]  其實保羅會在第五章提醒基督徒有三個特質
[00:02:18.000 --> 00:02:22.000]  就是有愛、光明和智慧
[00:02:22.000 --> 00:02:27.000]  你說這些特質好像有些人也有
[00:02:27.000 --> 00:02:31.000]  不同的是基督徒有這三個特質
[00:02:31.000 --> 00:02:35.000]  他們共通點是來自創造我們的上帝
[00:02:35.000 --> 00:02:38.000]  以及藉著耶穌基督去顯明
[00:02:38.000 --> 00:02:42.000]  在這個混亂的世代是很重要的
[00:02:42.000 --> 00:02:48.000]  我請大家一起讀《爾忽所書》第五章
[00:02:48.000 --> 00:02:52.000]  1至7節
[00:02:52.000 --> 00:02:54.000]  1、2、3
[00:02:54.000 --> 00:02:58.000]  所以你們該效法神
[00:02:58.000 --> 00:03:01.000]  好象蒙持愛的兒女一樣
[00:03:01.000 --> 00:03:04.000]  也要憑愛心行事
[00:03:04.000 --> 00:03:06.000]  正如基督愛我們
[00:03:06.000 --> 00:03:09.000]  為我們捨了自己
[00:03:09.000 --> 00:03:14.000]  當作輕香的供物和祭物獻與神
[00:03:14.000 --> 00:03:19.000]  至於淫亂或貪婪
[00:03:19.000 --> 00:03:23.000]  在你們中間連提都不可
[00:03:23.000 --> 00:03:25.000]  方合聖徒的體統
[00:03:25.000 --> 00:03:30.000]  吟詞妄語嬉笑的話都不相宜
[00:03:30.000 --> 00:03:33.000]  總要說感謝的話
[00:03:33.000 --> 00:03:34.000]  繼續
[00:03:34.000 --> 00:03:37.000]  因為你們確實地知道
[00:03:37.000 --> 00:03:39.000]  無論是淫亂的
