
[00:00:00.000 --> 00:00:08.000]  最近一段時間,我在國語堂跟弟兄姊妹分享的講道系列叫做「樓房上的講論」。
[00:00:08.000 --> 00:00:17.000]  最近一個系列就是跟國語堂分享樓房上的講道。
[00:00:17.000 --> 00:00:20.000]  有沒有誰聽到過這個題目「樓房上的講論」?
[00:00:20.000 --> 00:00:25.000]  誰聽到過可以舉一下手,我不會考你,你舉一下手就可以,有沒有?
[00:00:25.000 --> 00:00:28.000]  只有袁牧師,他下次會講。
[00:00:28.000 --> 00:00:33.000]  樓房上的講論是約翰福音當中,主耶穌在受難之前,
[00:00:33.000 --> 00:00:39.000]  在特定的一個封閉的環境之內,跟他門徒們特別的一個教導。
[00:00:39.000 --> 00:00:47.000]  樓房上的講論是講,主耶穌基督受難之前,
[00:00:47.000 --> 00:00:52.000]  是一個很封閉的地方,跟門徒的一個講論。
[00:00:52.000 --> 00:01:01.000]  相比「登山保訓」,很少有人知道樓房上的講論。
[00:01:01.000 --> 00:01:10.000]  相比「登山保訓」,樓房上的講論可能是比較少人知道的。
[00:01:10.000 --> 00:01:16.000]  不管怎麼樣,我不講這些話,因為我們剛才彭長老帶我們讀的經文,
[00:01:16.000 --> 00:01:20.000]  大家會讀下來一頭霧水,不知道在講什麼。
[00:01:20.000 --> 00:01:24.000]  如果牧師不解釋,可能跟剛剛我們讀的經文當中,
[00:01:24.000 --> 00:01:28.000]  我們可能不太理解,一頭霧水。
[00:01:28.000 --> 00:01:30.000]  不但我們這些人讀了是聽不懂,
[00:01:30.000 --> 00:01:34.000]  其實當時在場的十一位門徒也聽不懂。
[00:01:34.000 --> 00:01:39.000]  不單止是我們在座聽不明白剛才那段經文,
[00:01:39.000 --> 00:01:43.000]  當時的門徒,其實他們都是不明白的。
[00:01:43.000 --> 00:01:47.000]  但是大家不要擔心,我希望能夠把這段話,
[00:01:47.000 --> 00:01:50.000]  耶穌基督的話能夠解釋明白。
[00:01:50.000 --> 00:01:57.000]  但是我們不用擔心,因為牧師希望能夠解釋清楚給大家知道。
[00:01:57.000 --> 00:02:03.000]  今天的講題就叫「你們的憂愁要變為喜樂」。
[00:02:03.000 --> 00:02:07.000]  今天的講題就是「你們的憂愁會變為喜樂」。
[00:02:07.000 --> 00:02:12.000]  這是我們剛才讀到過的,是引用主耶穌基督的話,在十六章二十節。
[00:02:12.000 --> 00:02:17.000]  就是我們剛才讀到過這段經文,十六章十六節到二十四節。
[00:02:17.000 --> 00:02:22.000]  這句話是一句大白話,大家都聽得懂的話。
[00:02:22.000 --> 00:02:27.000]  其實這句話是很白的,很白話,我們大家都聽得懂的。
[00:02:27.000 --> 00:02:31.000]  因為耶穌基督知道當時門徒們的心思,
[00:02:31.000 --> 00:02:35.000]  也知道門徒們聽不懂祂之前的話。
[00:02:35.000 --> 00:02:40.000]  其實耶穌基督也知道門徒的心思,
[00:02:40.000 --> 00:02:43.000]  也知道他們聽不懂祂之前說的話。
[00:02:43.000 --> 00:02:48.000]  所以主耶穌要藉著這句話,打開門徒們的心結。
[00:02:48.000 --> 00:02:53.000]  所以耶穌基督祂用這句話打開門徒的心結,
[00:02:53.000 --> 00:03:00.000]  使他們能夠走出憂愁,進入到基督所應許的喜樂當中。
[00:03:00.000 --> 00:03:08.000]  將他們走出憂愁,帶他們進入喜樂、應許當中。
[00:03:08.000 --> 00:03:14.000]  剛才我們這裡幾位姐妹,尤其是帶領師哥的姐妹,
[00:03:14.000 --> 00:03:18.000]  唱師歌的時候很喜樂。
[00:03:18.000 --> 00:03:24.000]  牧師看到我們剛剛敬拜小組,唱師歌的時候很喜樂。
[00:03:24.000 --> 00:03:29.000]  但是我們日常生活當中難免都會有憂愁,對嗎?
[00:03:29.000 --> 00:03:33.000]  但是我們在生活當中,我們難免有很多憂愁。
[00:03:33.000 --> 00:03:37.000]  但是今天主耶穌講到的這句話,
[00:03:37.000 --> 00:03:42.000]  會給我們每一位在基督裡面的人一個好消息,一個應許。
[00:03:42.000 --> 00:03:46.000]  但是今天主耶穌基督給我們的這句話,
[00:03:46.000 --> 00:03:50.000]  是帶給我們一個好的消息。
[00:03:50.000 --> 00:03:54.000]  就是你們的憂愁要變為喜樂。
[00:03:54.000 --> 00:03:57.000]  就是說你們的憂愁會變為喜樂。
[00:03:57.000 --> 00:04:01.000]  為什麼主耶穌能夠有這麼一個應許呢?
[00:04:01.000 --> 00:04:07.000]  為什麼祂能應許說我們的憂愁會變成喜樂呢?
[00:04:07.000 --> 00:04:12.000]  為什麼主耶穌基督會給我們這個應許呢?
[00:04:12.000 --> 00:04:16.000]  我們又怎樣可以得到這份喜樂?
[00:04:16.000 --> 00:04:23.000]  我們怎樣去理解,更重要的是我們怎樣去得到主耶穌這一份寶貴的應許呢?
[00:04:23.000 --> 00:04:28.000]  我們怎樣去理解,我們怎樣可以得到這份應許?
[00:04:28.000 --> 00:04:33.000]  今天我跟大家分享幾個方面來分享主耶穌的這個應許。
