
[00:00:00.000 --> 00:00:08.000]  很多人都說我們今天這個年輕的一代是受過份保護的一代。
[00:00:08.000 --> 00:00:13.000]  很多人都說我們現在年輕的一代是受過份保護的一代。
[00:00:13.000 --> 00:00:19.000]  因為他們大部份的生活所需其實都由父母去為他們安排好。
[00:00:19.000 --> 00:00:23.000]  由於他們的生活所需大部份都由父母已經安排好。
[00:00:23.000 --> 00:00:34.000]  所以現在新一代很多時候的問題解決技巧,解決問題的分析能力都不是那麼強。
[00:00:34.000 --> 00:00:38.000]  所以他們解決問題的分析能力都不是很強。
[00:00:38.000 --> 00:00:42.000]  所以他們很多時候就是飯來張口。
[00:00:42.000 --> 00:00:44.000]  他們很多時候飯來張口。
[00:00:44.000 --> 00:00:49.000]  享受對於他們理解其實是一件很理所當然的事。
[00:00:49.000 --> 00:00:52.000]  享受對他們來說是一件很理所當然的事。
[00:00:52.000 --> 00:00:57.000]  但是他們卻忘記了其實在享受之前其實是需要付出很多的東西。
[00:00:57.000 --> 00:01:01.000]  所以他們忘記了一件事實就是在享受之前必須付出很多。
[00:01:01.000 --> 00:01:04.000]  不過今天我想和大家去看的就是,
[00:01:04.000 --> 00:01:09.000]  因為新的一代很多時候被父母的照料得太好。
[00:01:09.000 --> 00:01:12.000]  因為新的一代被父母的照顧太好。
[00:01:12.000 --> 00:01:15.000]  於是乎他們就缺乏了一種主動性。
[00:01:15.000 --> 00:01:17.000]  他們缺乏主動性。
[00:01:17.000 --> 00:01:21.000]  當他們缺乏了主動性的時候,他們覺得樣樣東西都會有人搞定的了。
[00:01:21.000 --> 00:01:24.000]  所有事情都有人想辦法處理好。
[00:01:24.000 --> 00:01:28.000]  譬如我有一次去到那些Service Canada,
[00:01:28.000 --> 00:01:31.000]  即是加拿大政府的服務中心。
[00:01:31.000 --> 00:01:33.000]  有一次我去到加拿大的服務中心。
[00:01:33.000 --> 00:01:36.000]  你知不知道真的有些人是這樣想的。
[00:01:36.000 --> 00:01:38.000]  有很多人是這麼想的。
[00:01:38.000 --> 00:01:40.000]  我沒事做,去到這些服務中心,
[00:01:40.000 --> 00:01:43.000]  可能政府就會有人幫我找到工作的了。
[00:01:43.000 --> 00:01:46.000]  譬如我找不到工作,我來到你這裏,
[00:01:46.000 --> 00:01:49.000]  你就應該很理所當然幫我去找一個人工作。
[00:01:49.000 --> 00:01:53.000]  真的有人想去到那個中心拿過籌之後呢?
[00:01:53.000 --> 00:01:58.000]  就是有人到了這個中心以後,拿到這個號碼之後,
[00:01:58.000 --> 00:02:02.000]  人家會有一個服務員出來幫你找一份工作給你,
[00:02:02.000 --> 00:02:03.000]  然後你去應徵就可以了。
[00:02:03.000 --> 00:02:08.000]  聽起來就是有人會說有份工作等著你去做。
[00:02:08.000 --> 00:02:10.000]  當那個服務員來到的時候,
[00:02:10.000 --> 00:02:11.000]  當服務員來到的時候,
[00:02:11.000 --> 00:02:13.000]  說我要找工作,
[00:02:13.000 --> 00:02:15.000]  他真的嚇一跳。
[00:02:15.000 --> 00:02:17.000]  那服務員嚇了一跳。
[00:02:17.000 --> 00:02:22.000]  然後那個服務員就把他帶到電腦面前,
[00:02:22.000 --> 00:02:25.000]  然後叫他自己去選擇那些工作。
[00:02:25.000 --> 00:02:31.000]  就要他自己去找在這個網站的工作。
[00:02:31.000 --> 00:02:35.000]  他的心想不是你們幫我找一份適合我的工作嗎?
[00:02:35.000 --> 00:02:37.000]  難道你不知道我應該找什麼工作嗎?
[00:02:37.000 --> 00:02:38.000]  你應該直接告訴我。
[00:02:38.000 --> 00:02:39.000]  要我自己去找的?
[00:02:39.000 --> 00:02:42.000]  難道還要我自己去找的?
[00:02:42.000 --> 00:02:46.000]  他們以為加拿大的制度好像每樣東西都自動化,
[00:02:46.000 --> 00:02:49.000]  電腦自動走過去就會自動服務我。
[00:02:49.000 --> 00:02:52.000]  包括什麼東西都已經人性化了,
[00:02:52.000 --> 00:02:57.000]  包括電腦走過去就會自動知道我想要什麼工作。
[00:02:57.000 --> 00:03:01.000]  其實也是因為這個現代科技中壞了我們這一代。
[00:03:01.000 --> 00:03:04.000]  其實就是現在科技重犯了我們這一代。
[00:03:04.000 --> 00:03:06.000]  不知道你有沒有去過那些商場?
[00:03:06.000 --> 00:03:08.000]  不知道你有沒有去過一些商場?
[00:03:08.000 --> 00:03:11.000]  最近有幾個很先進的商場,
[00:03:11.000 --> 00:03:13.000]  如果你去都會很開心。
[00:03:13.000 --> 00:03:15.000]  就是近來有一些很先進的商場,
[00:03:15.000 --> 00:03:17.000]  你去都會覺得很開心。
[00:03:17.000 --> 00:03:19.000]  其實香港也有很久的,亞洲也有很久的。
[00:03:19.000 --> 00:03:21.000]  其實亞洲也已經有很久了。
[00:03:21.000 --> 00:03:22.000]  你一進到商場的時候,
[00:03:22.000 --> 00:03:23.000]  你走到商場的時候,
[00:03:23.000 --> 00:03:26.000]  去到正門的時候,
