
[00:00:00.000 --> 00:00:04.320]  今日要同大家一齊去講一個訊息
[00:00:04.320 --> 00:00:10.360]  你睇唔睇得見神要做新嘅事呢
[00:00:10.360 --> 00:00:18.160]  因為我哋人生有好多時候會有一種好容易會出現嘅狀況或者現象
[00:00:18.160 --> 00:00:22.480]  就係我哋成日都會活喺我哋嘅從前
[00:00:22.480 --> 00:00:26.720]  咁有啲人就好懷念佢嘅過去
[00:00:26.720 --> 00:00:34.040]  就成日都會講想當年我就點樣成功點樣叻嘅
[00:00:34.040 --> 00:00:39.960]  想當年我就點樣威風點樣西利
[00:00:39.960 --> 00:00:49.000]  就有啲似維園阿伯公園阿伯咁就成日都講想當年佢點咁叻點咁西利
[00:00:49.000 --> 00:00:53.720]  咁但係亦都有啲人佢係困喺佢過去嘅失敗
[00:00:53.720 --> 00:01:00.720]  可能好多時佢都會遺憾就講如果當年我唔係咁樣就唔會搞成咁
[00:01:00.720 --> 00:01:05.720]  如果當日我唔係犯咗呢個錯個結局就唔會咁樣
[00:01:05.720 --> 00:01:09.040]  可能有多人就會困住喺過去嘅失敗
[00:01:09.040 --> 00:01:15.600]  而呢種嘅失敗可能帶嚟一生嘅遺憾同埋難過
[00:01:15.600 --> 00:01:21.160]  所以我哋見到嘅係過去係可以成為我哋嘅感恩
[00:01:21.160 --> 00:01:25.520]  亦都可以成為我哋人生嘅包袱
[00:01:25.520 --> 00:01:29.560]  今日我哋睇嘅呢段經文以賽亞書嘅43章
[00:01:29.560 --> 00:01:33.240]  以色列人正正都係咁嘅情況
[00:01:33.240 --> 00:01:41.680]  佢哋係曾經經歷過就係神帶領佢哋整個民族出埃及嘅呢一個嘅大神蹟
[00:01:41.680 --> 00:01:47.720]  喺佢哋嘅家庭當中喺佢哋嘅民族當中常常都去傳頌
[00:01:47.720 --> 00:01:50.080]  常常都去紀念呢件事
[00:01:50.080 --> 00:01:53.600]  但係喺以賽亞書嘅呢個處境嘅裏面
[00:01:53.600 --> 00:01:56.840]  佢哋如今佢係點呀面對住亡國
[00:01:56.840 --> 00:01:59.000]  佢哋被擄到去巴比倫
[00:01:59.000 --> 00:02:01.000]  佢哋冇咗家園
[00:02:01.000 --> 00:02:03.200]  唔能夠去到聖殿去敬拜
[00:02:03.200 --> 00:02:04.920]  佢哋失去自由
[00:02:04.920 --> 00:02:07.840]  佢哋都開始去懷疑一個問題嘅就係話
[00:02:07.840 --> 00:02:10.920]  神係咪會繼續工作嘅呢
[00:02:10.920 --> 00:02:15.880]  神係咪已經離開咗以色列人嘅呢
[00:02:15.880 --> 00:02:17.680]  而就喺佢哋最灰心嘅時候
[00:02:17.680 --> 00:02:20.520]  神就藉住先知以賽亞去宣告咗
[00:02:20.520 --> 00:02:22.520]  一個充滿住盼望嘅說話
[00:02:22.520 --> 00:02:25.240]  佢話看呀我要做一件新事
[00:02:25.240 --> 00:02:28.080]  如今要發現你哋豈不知道嗎
[00:02:28.080 --> 00:02:33.640]  弟兄姊妹當人喺困境困難嘅時候
[00:02:33.640 --> 00:02:37.040]  好需要呢個充滿盼望嘅訊息
[00:02:37.040 --> 00:02:42.760]  今日呢其實神同樣都向我哋發出新嘅挑戰
[00:02:42.760 --> 00:02:48.040]  弟弟姊妹你睇唔睇得見神要做新事呢
[00:02:48.040 --> 00:02:53.720]  你願唔願意成為神新工作嘅同行者同工呢
[00:02:53.720 --> 00:02:56.040]  既然神要做新事嘅話
[00:02:56.040 --> 00:02:58.760]  我哋願唔願意去跟隨主
