
[00:00:00.000 --> 00:00:02.000]  如果有人問大家
[00:00:02.000 --> 00:00:06.280]  我們怎樣才知道一個基督徒是真正從生得救
[00:00:06.280 --> 00:00:08.280]  大家會怎樣回答這個問題
[00:00:08.280 --> 00:00:13.280]  我真的嚴格來說
[00:00:13.280 --> 00:00:15.280]  我們不能夠回答這個問題
[00:00:15.280 --> 00:00:17.280]  雖然聖經告訴我們
[00:00:17.280 --> 00:00:19.280]  只要我們真心相信耶穌
[00:00:19.280 --> 00:00:21.280]  我們必得著永生
[00:00:21.280 --> 00:00:23.280]  但是
[00:00:23.280 --> 00:00:25.280]  除了永生的上帝
[00:00:25.280 --> 00:00:29.280]  我們凡人沒有一個人能夠看穿
[00:00:29.280 --> 00:00:31.280]  人的內心
[00:00:31.280 --> 00:00:33.280]  但是當然
[00:00:33.280 --> 00:00:35.280]  當有一個人告訴你
[00:00:35.280 --> 00:00:37.280]  我真心相信耶穌基督的時候
[00:00:37.280 --> 00:00:39.280]  我們都要相信這個人的心
[00:00:39.280 --> 00:00:41.280]  所以每一次我幫一些
[00:00:41.280 --> 00:00:43.280]  缺志
[00:00:43.280 --> 00:00:45.280]  信耶穌的人
[00:00:45.280 --> 00:00:47.280]  做缺志祈禱之後
[00:00:47.280 --> 00:00:49.280]  我都會恭喜那個人
[00:00:49.280 --> 00:00:51.280]  但是我們要明白
[00:00:51.280 --> 00:00:53.280]  只有神
[00:00:53.280 --> 00:00:55.280]  才能夠知道
[00:00:55.280 --> 00:00:57.280]  我們信祂的心是否真實
[00:00:57.280 --> 00:00:59.280]  不過雖然是這樣
[00:00:59.280 --> 00:01:01.280]  但是仍然有一些方法
[00:01:01.280 --> 00:01:03.280]  我們可以大概
[00:01:03.280 --> 00:01:05.280]  知道一個人是否真正
[00:01:05.280 --> 00:01:07.280]  得到救恩
[00:01:07.280 --> 00:01:09.280]  是甚麼方法呢
[00:01:09.280 --> 00:01:11.280]  聖經告訴我們
[00:01:11.280 --> 00:01:13.280]  只要我們真心相信耶穌的時候
[00:01:13.280 --> 00:01:15.280]  新的生命
[00:01:15.280 --> 00:01:17.280]  就會藉著聖靈
[00:01:17.280 --> 00:01:19.280]  來賜過給我們
[00:01:19.280 --> 00:01:21.280]  每一個真心悔過的
[00:01:21.280 --> 00:01:23.280]  罪人
[00:01:23.280 --> 00:01:25.280]  所以我們每一個真心信耶穌的人
[00:01:25.280 --> 00:01:27.280]  在神的裡面
[00:01:27.280 --> 00:01:29.280]  我們都要領受一個
[00:01:29.280 --> 00:01:31.280]  新的生命
[00:01:31.280 --> 00:01:33.280]  當我們說新的生命的時候
[00:01:33.280 --> 00:01:35.280]  既然是生命就必定有甚麼
[00:01:35.280 --> 00:01:37.280]  生命的跡象
[00:01:37.280 --> 00:01:39.280]  而其中一個生命的跡象
[00:01:39.280 --> 00:01:41.280]  在屬靈的生命來說
[00:01:41.280 --> 00:01:43.280]  每一個人在屬靈上
[00:01:43.280 --> 00:01:45.280]  都應該會有生命的成長
[00:01:45.280 --> 00:01:49.280]  而屬靈的生命成長
[00:01:49.280 --> 00:01:51.280]  是反映在甚麼地方
[00:01:51.280 --> 00:01:53.280]  當我們有屬靈生命的時候
[00:01:53.280 --> 00:01:55.280]  我們每一個人
[00:01:55.280 --> 00:01:57.280]  就會
[00:01:57.280 --> 00:01:59.280]  無論我們人生觀、價值觀
[00:01:59.280 --> 00:02:01.280]  或者我們言行
[00:02:01.280 --> 00:02:03.280]  我們都應該會有一個改變
[00:02:03.280 --> 00:02:05.280]  而每一個信徒
[00:02:05.280 --> 00:02:07.280]  生命的改變
[00:02:07.280 --> 00:02:09.280]  可以說是
[00:02:09.280 --> 00:02:11.280]  如果你要一個教會健康地成長的話
[00:02:11.280 --> 00:02:13.280]  這個生命改變
[00:02:13.280 --> 00:02:15.280]  是必然需要的
[00:02:15.280 --> 00:02:17.280]  為甚麼
[00:02:17.280 --> 00:02:19.280]  因為生命的改變
[00:02:19.280 --> 00:02:21.280]  代表聖靈已經進入人的內心
[00:02:21.280 --> 00:02:23.280]  改造更新人的生命
[00:02:23.280 --> 00:02:25.280]  同樣當信徒聚集在
[00:02:25.280 --> 00:02:27.280]  一間教會的時候
[00:02:27.280 --> 00:02:29.280]  只要有聖靈在這間教會裏面的時候
[00:02:29.280 --> 00:02:31.280]  這間教會就應該在
[00:02:31.280 --> 00:02:33.280]  他所處的社區裏面
[00:02:33.280 --> 00:02:35.280]  發揮屬靈
[00:02:35.280 --> 00:02:37.280]  應該有的影響力
[00:02:37.280 --> 00:02:39.280]  今天讓我們通過剛才所讀的經文
[00:02:39.280 --> 00:02:41.280]  一同看看究竟
[00:02:41.280 --> 00:02:43.280]  我們說要在神面前
