
[00:00:00.000 --> 00:00:02.000]  今天我們講到的經文是
[00:00:02.000 --> 00:00:04.000]  二筆鎖書二章一節十節
[00:00:04.000 --> 00:00:06.000]  今天我們講題是
[00:00:06.000 --> 00:00:08.000]  起死回生的呼召中
[00:00:08.000 --> 00:00:10.000]  其實這個已經是
[00:00:10.000 --> 00:00:12.000]  我們第二篇的講道
[00:00:12.000 --> 00:00:14.000]  我們會有三篇的講道
[00:00:14.000 --> 00:00:17.000]  本來我只是想說上和下
[00:00:17.000 --> 00:00:20.000]  但是我認真地想了一想
[00:00:20.000 --> 00:00:22.000]  我發現這個經文其實
[00:00:22.000 --> 00:00:24.000]  應該有三次的講道
[00:00:24.000 --> 00:00:26.000]  我們會將這個經文分為三篇
[00:00:26.000 --> 00:00:29.000]  一節三節四節七節和八節十節
[00:00:29.000 --> 00:00:31.000]  我們上次講的一節三節
[00:00:31.000 --> 00:00:33.000]  我們這次看的是四節七節
[00:00:33.000 --> 00:00:36.000]  開始之前我們一同低頭禱告
[00:00:36.000 --> 00:00:41.000]  阿父我們恩主我們感謝你
[00:00:41.000 --> 00:00:43.000]  因為你極大的憐憫
[00:00:43.000 --> 00:00:45.000]  極大的恩典
[00:00:45.000 --> 00:00:49.000]  使我們這些應該承受上帝憤怒的人
[00:00:49.000 --> 00:00:51.000]  從罪終得救
[00:00:51.000 --> 00:00:54.000]  得著了伯伯的救恩
[00:00:54.000 --> 00:00:55.000]  伯伯的拯救
[00:00:55.000 --> 00:00:57.000]  積著你復活的大能
[00:00:57.000 --> 00:00:59.000]  阿父我們今天來到你的根前
[00:00:59.000 --> 00:01:00.000]  我們感謝你
[00:01:00.000 --> 00:01:03.000]  因為你讓我們能夠有一個真正的實體崇拜
[00:01:03.000 --> 00:01:05.000]  父我們祈求
[00:01:05.000 --> 00:01:07.000]  我們能夠明白你的華語更深
[00:01:07.000 --> 00:01:09.000]  以致我們對你有更深的愛慕
[00:01:09.000 --> 00:01:12.000]  明白你的恩典的救恩
[00:01:12.000 --> 00:01:16.000]  和你向我們所施極大的慈愛
[00:01:16.000 --> 00:01:19.000]  幫助我們專心去明白你的華語
[00:01:19.000 --> 00:01:21.000]  幫助孩子今天的傳講
[00:01:21.000 --> 00:01:25.000]  使你的華語裏面的奧秘能夠清晰
[00:01:25.000 --> 00:01:29.000]  使我們更明白更認識你
[00:01:29.000 --> 00:01:30.000]  我們禱告交託
[00:01:30.000 --> 00:01:32.000]  傾向救主的宣明之祈求
[00:01:32.000 --> 00:01:36.000]  首先我想帶你回去看
[00:01:36.000 --> 00:01:39.000]  之前一至三節的幾段經文
[00:01:39.000 --> 00:01:41.000]  給了我們一個很重要的圖畫
[00:01:41.000 --> 00:01:44.000]  去理解一至十節整段的脈絡
[00:01:44.000 --> 00:01:46.000]  一節三節是這樣說
[00:01:46.000 --> 00:01:50.000]  他提到以弗所教會從前的情況是怎樣
[00:01:50.000 --> 00:01:54.000]  從前以弗所教會是在自己的罪惡過犯裏面
[00:01:54.000 --> 00:01:55.000]  死了
[00:01:55.000 --> 00:01:57.000]  第一件事就是他提到
[00:01:57.000 --> 00:01:59.000]  他們死了
[00:01:59.000 --> 00:02:01.000]  他們明明是活生生的
[00:02:01.000 --> 00:02:03.000]  但是他們卻是死亡
[00:02:03.000 --> 00:02:06.000]  他們處於一種屬靈的死亡狀態
[00:02:06.000 --> 00:02:08.000]  罪惡過犯
[00:02:08.000 --> 00:02:10.000]  過犯這個字其實有一個這樣的意思
[00:02:10.000 --> 00:02:12.000]  好像一條路一樣
[00:02:12.000 --> 00:02:14.000]  他們偏行了幾路
[00:02:14.000 --> 00:02:18.000]  他們在罪惡過犯之中行走
[00:02:18.000 --> 00:02:21.000]  而在這條偏行幾路的路上
[00:02:21.000 --> 00:02:23.000]  他們有不停不停的犯罪
[00:02:23.000 --> 00:02:27.000]  不停不停的過犯和不停不停的罪惡
[00:02:27.000 --> 00:02:30.000]  在這條罪惡過犯的路上是怎樣的呢
[00:02:30.000 --> 00:02:35.000]  是隨從、馴服和放縱今世的風俗
[00:02:35.000 --> 00:02:37.000]  空中的邪靈
[00:02:37.000 --> 00:02:39.000]  肉體的私慾
[00:02:39.000 --> 00:02:42.000]  你會發現這三樣東西就好像一個鐵三角一樣
[00:02:42.000 --> 00:02:45.000]  世界、撒旦和私慾的捆綁
[00:02:45.000 --> 00:02:48.000]  在這個人身上發生
[00:02:48.000 --> 00:02:51.000]  其實也在我們的身上發生
[00:02:51.000 --> 00:02:54.000]  隨從、放縱和馴服
[00:02:54.000 --> 00:02:58.000]  而這條路最後的結果是甚麼呢
[00:02:58.000 --> 00:03:02.000]  就是我們生來就是該受懲罰的人
[00:03:02.000 --> 00:03:04.000]  其實原文裏面有一個這樣的字眼
[00:03:04.000 --> 00:03:06.000]  是上帝的憤怒
[00:03:06.000 --> 00:03:10.000]  我們生來的本性就是要承受上帝憤怒的人
[00:03:10.000 --> 00:03:12.000]  這條罪惡過犯的道路
[00:03:12.000 --> 00:03:14.000]  這條犯罪的道路
