
[00:00:00.000 --> 00:00:02.500]  在澳洲有一個現象
[00:00:02.500 --> 00:00:04.500]  就是年輕的一代
[00:00:04.500 --> 00:00:07.500]  很多時會離鄉別井
[00:00:07.500 --> 00:00:09.500]  去到城市生活
[00:00:09.500 --> 00:00:14.500]  之後他們很少再回鄉
[00:00:14.500 --> 00:00:16.500]  去探望親人
[00:00:16.500 --> 00:00:18.500]  於是他們的親人
[00:00:18.500 --> 00:00:20.500]  特別是那些父母
[00:00:20.500 --> 00:00:22.500]  經常在家裡
[00:00:22.500 --> 00:00:24.500]  看兒子看女兒
[00:00:24.500 --> 00:00:26.500]  個個望穿秋水
[00:00:26.500 --> 00:00:29.500]  那些年輕人
[00:00:29.500 --> 00:00:32.500]  趁著假期去玩一下
[00:00:32.500 --> 00:00:34.500]  就不要回鄉了
[00:00:34.500 --> 00:00:36.500]  於是他們的心裡
[00:00:36.500 --> 00:00:39.500]  充滿很多的罪疚感
[00:00:39.500 --> 00:00:42.500]  於是在十年前
[00:00:42.500 --> 00:00:47.500]  澳洲維多利亞省的鐵路公司V-Line
[00:00:47.500 --> 00:00:49.500]  針對這個現象
[00:00:49.500 --> 00:00:51.500]  推出了一個名為
[00:00:51.500 --> 00:00:53.500]  「贖罪之旅」
[00:00:53.500 --> 00:00:56.500]  Guilt trip
[00:00:56.500 --> 00:01:01.500]  這個其實是一個預購火車票的網站
[00:01:01.500 --> 00:01:04.500]  它的賣點就是
[00:01:04.500 --> 00:01:07.500]  用家可以向特定的對象
[00:01:07.500 --> 00:01:11.500]  寄出電子車票
[00:01:11.500 --> 00:01:14.500]  同時也可以發出信息
[00:01:14.500 --> 00:01:16.500]  例如可以說
[00:01:16.500 --> 00:01:18.500]  聖誕節快來了
[00:01:18.500 --> 00:01:20.500]  快到聖誕節了
[00:01:20.500 --> 00:01:22.500]  我們等著你回來一起慶祝
[00:01:22.500 --> 00:01:26.500]  收信人看到之後
[00:01:26.500 --> 00:01:29.500]  就可以下載那些車票
[00:01:29.500 --> 00:01:31.500]  到時候就
[00:01:31.500 --> 00:01:34.500]  拿著那個電子車票
[00:01:34.500 --> 00:01:39.500]  就可以搭火車回鄉去探親
[00:01:39.500 --> 00:01:44.500]  這個網站還有一些短片
[00:01:44.500 --> 00:01:46.500]  那些短片就是教父母
[00:01:46.500 --> 00:01:50.500]  怎樣用一些婉轉的說話
[00:01:50.500 --> 00:01:53.500]  來向子女表達心聲
[00:01:53.500 --> 00:01:58.500]  加深他們不回鄉下那種罪疚感
[00:01:58.500 --> 00:02:00.500]  例如
[00:02:00.500 --> 00:02:03.500]  隔壁的Daisy Lai
[00:02:03.500 --> 00:02:07.500]  昨天她的兒子回來探望她
[00:02:07.500 --> 00:02:10.500]  她真的很好
[00:02:10.500 --> 00:02:13.500]  又或者
[00:02:13.500 --> 00:02:15.500]  你不用不開心
[00:02:15.500 --> 00:02:18.500]  我們會照影全家福的
[00:02:18.500 --> 00:02:22.500]  因為沒有了你
[00:02:22.500 --> 00:02:26.500]  通常父母寄車票來
[00:02:26.500 --> 00:02:28.500]  又說這些說話
[00:02:28.500 --> 00:02:32.500]  做子女的都很難抗拒
[00:02:32.500 --> 00:02:34.500]  這種營銷手法
[00:02:34.500 --> 00:02:38.500]  不單止為父母提供了
[00:02:38.500 --> 00:02:40.500]  和兒孫團聚的機會
[00:02:40.500 --> 00:02:45.500]  同時也讓那些有罪疚感的子女
