
[00:00:00.000 --> 00:00:03.400]  今天我們處在一個資訊爆炸的年代
[00:00:03.400 --> 00:00:06.760]  我們大概都會覺得資訊越發達
[00:00:06.760 --> 00:00:10.960]  人就越容易可以知道事情的真相
[00:00:10.960 --> 00:00:13.160]  不過諷刺的事實就是
[00:00:13.160 --> 00:00:16.400]  當每一件事發生的時候
[00:00:16.400 --> 00:00:18.760]  我們會發覺有很多不同的說法
[00:00:18.760 --> 00:00:23.320]  有些是對的 也有些是錯的
[00:00:23.320 --> 00:00:25.960]  有些可能是在說部份的事實
[00:00:25.960 --> 00:00:28.840]  也有些可能是陰謀論
[00:00:28.840 --> 00:00:33.760]  所以就算今天有影片 有圖片給我們看
[00:00:33.760 --> 00:00:35.720]  都可以是造假的
[00:00:35.720 --> 00:00:39.040]  所以就是說當科技越發達的時候
[00:00:39.040 --> 00:00:45.360]  未必可以讓人更加容易掌握到事實的真相
[00:00:45.360 --> 00:00:49.200]  這個情況令我想起一套
[00:00:49.200 --> 00:00:52.240]  我很久之前看的一套荷里活電影
[00:00:52.240 --> 00:00:56.040]  這個電影的片名叫做《A Few Good Men》
[00:00:56.040 --> 00:01:00.080]  是由湯姆·克魯斯和傑克·尼科森所主演的
[00:01:00.080 --> 00:01:04.360]  在電影裡面傑克被人問
[00:01:04.360 --> 00:01:08.240]  究竟這件事情發生的背後真相是什麼呢?
[00:01:08.240 --> 00:01:10.520]  傑克就反問那個人
[00:01:10.520 --> 00:01:13.200]  你真的想知道事情的真相?
[00:01:13.200 --> 00:01:14.960]  這個人就說 沒錯
[00:01:14.960 --> 00:01:17.680]  我想知道真相
[00:01:17.680 --> 00:01:19.880]  傑克就說
[00:01:19.880 --> 00:01:25.760]  你沒有辦法處理和應付到事情的真相
[00:01:25.760 --> 00:01:28.600]  You can't handle the truth
[00:01:28.600 --> 00:01:33.280]  當然這句話就成為了很出名的電影台詞
[00:01:33.280 --> 00:01:35.600]  也令到很多人 包括我
[00:01:35.600 --> 00:01:39.400]  去重新給一個深入認真的思想
[00:01:39.400 --> 00:01:43.120]  真相或者真理的意思
[00:01:43.120 --> 00:01:46.240]  人知道了事實的真相
[00:01:46.240 --> 00:01:51.360]  是不是一定帶來好處呢?
[00:01:51.360 --> 00:01:56.360]  在電影裡面傑克不想將事實說出來
[00:01:56.360 --> 00:01:58.120]  他給的原因就是說
[00:01:58.120 --> 00:02:03.360]  他要維護更加多人的好處
[00:02:03.360 --> 00:02:07.760]  以至其他人可以繼續自由地
[00:02:07.760 --> 00:02:10.520]  在這個國家繼續生活
[00:02:10.520 --> 00:02:13.920]  例如我想起耶穌的一句話
[00:02:13.920 --> 00:02:19.360]  這句話記載在約翰福音的8章31到32節
[00:02:19.360 --> 00:02:20.920]  耶穌在那裡這樣說
[00:02:20.920 --> 00:02:24.160]  你們若常遵守我的道
[00:02:24.160 --> 00:02:26.080]  就是我的門徒
[00:02:26.080 --> 00:02:28.920]  你們就必曉得真理
[00:02:28.920 --> 00:02:33.560]  真理必叫你們得自由
[00:02:33.560 --> 00:02:38.040]  真理能夠讓人得著自由
[00:02:38.040 --> 00:02:40.680]  這就是主耶穌所說的
[00:02:40.680 --> 00:02:43.560]  我們再比較一下傑克所說的
[00:02:43.560 --> 00:02:46.680]  究竟知道事情的真相
[00:02:46.680 --> 00:02:49.880]  是讓人更加多的負擔
[00:02:49.880 --> 00:02:52.760]  還是讓人得著真正的自由呢?
[00:02:52.760 --> 00:02:55.720]  今天讓我們通過我們剛才所讀的經文
[00:02:55.720 --> 00:02:57.400]  在經文裡面我可以觀察到
[00:02:57.400 --> 00:03:00.840]  有三種不同類型的自由
[00:03:00.840 --> 00:03:03.720]  讓我們今天逐一來看一看
[00:03:03.720 --> 00:03:07.520]  這三個在聖經裡面所說的是什麼的自由
[00:03:07.520 --> 00:03:08.880]  第一種的自由
[00:03:08.880 --> 00:03:11.760]  我叫它做不被定罪的自由
[00:03:11.760 --> 00:03:14.840]  經文是記載在這個8章1節
[00:03:14.840 --> 00:03:16.840]  保羅在這裡說
