
[00:00:00.000 --> 00:00:02.000]  你有沒有經歷過
[00:00:02.000 --> 00:00:06.000]  就是聖經裏面有些教訓和命令
[00:00:06.000 --> 00:00:08.000]  是不容易明白的
[00:00:08.000 --> 00:00:12.000]  就算明白了也不容易執行
[00:00:12.000 --> 00:00:16.000]  就算你可以明白又有能力執行的
[00:00:16.000 --> 00:00:18.000]  你也不是很想做
[00:00:18.000 --> 00:00:21.000]  因為你的看法和上帝不同
[00:00:21.000 --> 00:00:23.000]  你就不想聽他的話
[00:00:23.000 --> 00:00:26.000]  那就是不信服
[00:00:26.000 --> 00:00:32.000]  美國的一個幽默作家
[00:00:32.000 --> 00:00:35.000]  是馬克.托溫
[00:00:35.000 --> 00:00:39.000]  他說過一句話是關於聖經的
[00:00:39.000 --> 00:00:44.000]  他說有些人為聖經裏面不明白的地方來煩惱
[00:00:44.000 --> 00:00:46.000]  但是我煩惱的那些
[00:00:46.000 --> 00:00:49.000]  就是聖經裏面我可以明白的地方
[00:00:49.000 --> 00:00:54.000]  有些人為聖經裏面不明白的地方來煩惱
[00:00:54.000 --> 00:00:56.000]  但是我煩惱的那些
[00:00:56.000 --> 00:00:58.000]  就是聖經裏面我可以明白的地方
[00:00:58.000 --> 00:01:02.000]  這個就是你明白了上帝要你做
[00:01:02.000 --> 00:01:04.000]  但是你不想做,你不信服
[00:01:04.000 --> 00:01:06.000]  那怎麼辦呢?
[00:01:06.000 --> 00:01:09.000]  今天我們來看一個歷史故事
[00:01:09.000 --> 00:01:14.000]  這個故事就是幫助我們信服上帝
[00:01:14.000 --> 00:01:18.000]  也讓我們知道不信服帶來的嚴重後果
[00:01:18.000 --> 00:01:25.000]  我希望今天神的話語也幫助你去信靠信服神
[00:01:25.000 --> 00:01:28.000]  我們聽過信靠信服這個名字很多
[00:01:28.000 --> 00:01:30.000]  剛才我們唱了一首很好的詩
[00:01:30.000 --> 00:01:31.000]  信靠信服
[00:01:31.000 --> 00:01:35.000]  信靠和信服就好像一個銀幣的兩方面
[00:01:35.000 --> 00:01:39.000]  這個銀幣一邊就是信靠,一邊就是信服
[00:01:39.000 --> 00:01:41.000]  當你信靠上帝的時候
[00:01:41.000 --> 00:01:43.000]  就是你聽他的話,你信服他
