
[00:00:00.000 --> 00:00:02.720]  啟示錄第六章的第二節
[00:00:02.720 --> 00:00:05.480]  小小的重複
[00:00:05.480 --> 00:00:08.280]  就是我就觀看看見一匹白馬
[00:00:08.280 --> 00:00:10.280]  上一次都和大家講過
[00:00:10.280 --> 00:00:11.800]  看見白馬的時候
[00:00:11.800 --> 00:00:13.240]  白色通常是好東西來的
[00:00:13.240 --> 00:00:13.920]  對不對
[00:00:13.920 --> 00:00:14.960]  我都說了
[00:00:14.960 --> 00:00:16.560]  你乖 給你一個白兔子
[00:00:16.560 --> 00:00:18.080]  你頑皮 給你一隻黑豬
[00:00:18.080 --> 00:00:20.000]  所以黑色真的很淒涼
[00:00:20.000 --> 00:00:23.920]  其實黑色有時候都是代表骯髒的
[00:00:23.920 --> 00:00:26.760]  但是黑色未必一定是代表不好的
[00:00:26.760 --> 00:00:28.440]  但是一般理論
[00:00:28.440 --> 00:00:31.600]  白色總是覺得好
[00:00:31.600 --> 00:00:32.600]  乾淨
[00:00:32.600 --> 00:00:36.280]  新娘結婚那件婚紗都是白色的
[00:00:36.280 --> 00:00:39.280]  我聽人說如果她穿黃色或者其他顏色
[00:00:39.280 --> 00:00:41.600]  是有別的意思在的
[00:00:41.600 --> 00:00:43.200]  所以一般人一看
[00:00:43.200 --> 00:00:44.120]  有隻白馬出來了
[00:00:44.120 --> 00:00:45.560]  好啊 白馬
[00:00:45.560 --> 00:00:47.760]  我們中國人都說白馬王子
[00:00:47.760 --> 00:00:51.400]  難道弄一隻灰馬王子出來嗎
[00:00:51.400 --> 00:00:54.480]  然後騎在馬上就拿著弓
[00:00:54.480 --> 00:00:56.440]  弓就是用來射箭的弓
[00:00:56.440 --> 00:00:57.840]  上一次我都和大家講
[00:00:57.840 --> 00:00:59.400]  有人的解釋就是說
[00:00:59.400 --> 00:01:01.080]  他有弓沒有箭
[00:01:01.080 --> 00:01:03.480]  那就是不是用來打仗的
[00:01:03.480 --> 00:01:05.240]  因為拿著弓怎麼打仗
[00:01:05.240 --> 00:01:06.960]  打人的頭嗎
[00:01:06.960 --> 00:01:08.920]  但是如果大家記得
[00:01:08.920 --> 00:01:11.640]  或者你可以去參考上一次
[00:01:11.640 --> 00:01:14.360]  我給大家講道的筆記裡面
[00:01:14.360 --> 00:01:17.480]  我引用了很多聖經的經文
[00:01:17.480 --> 00:01:18.440]  就是什麼呢
[00:01:18.440 --> 00:01:20.200]  聖經很多時候講道
[00:01:20.200 --> 00:01:22.360]  真箭所用的去打仗
[00:01:22.360 --> 00:01:23.840]  是拿著弓的
[00:01:23.840 --> 00:01:26.680]  即使已經是代表有箭的了
[00:01:26.680 --> 00:01:29.400]  就好像你說有個賊進來打劫
[00:01:29.400 --> 00:01:31.040]  他拿著一把槍
[00:01:31.040 --> 00:01:32.000]  那你說
