
[00:00:00.000 --> 00:00:06.000]  今早我同大家繼續分享彼得後書的信息
[00:00:06.000 --> 00:00:08.000]  上一次我們講了第一章
[00:00:08.000 --> 00:00:11.000]  今次我們看第二章的上部分
[00:00:11.000 --> 00:00:13.000]  今早我靈修的時候
[00:00:13.000 --> 00:00:17.000]  讀到順序讀的經文
[00:00:17.000 --> 00:00:21.000]  剛好讀到提摩泰後書四章第一第二節
[00:00:21.000 --> 00:00:23.000]  讓我知道今天我要傳的信息
[00:00:23.000 --> 00:00:25.000]  真是神的心意
[00:00:25.000 --> 00:00:28.000]  因為提摩泰後書四章第一節第二節
[00:00:28.000 --> 00:00:30.000]  第二節這樣說
[00:00:30.000 --> 00:00:35.000]  聖靈明說在後來的日子或時候
[00:00:35.000 --> 00:00:37.000]  必有人離棄真道
[00:00:37.000 --> 00:00:42.000]  聽從那引誘人的邪靈和鬼魔的道理
[00:00:42.000 --> 00:00:50.000]  這就是那些沒有真理虛方的人的假冒
[00:00:50.000 --> 00:00:54.000]  剛剛這個是提摩泰後書
[00:00:54.000 --> 00:01:01.000]  保羅在離世之前提醒提摩泰當時面對一個時代
[00:01:01.000 --> 00:01:04.000]  保羅提醒他們聖靈明說
[00:01:04.000 --> 00:01:07.000]  這裡的意思是神很早
[00:01:07.000 --> 00:01:11.000]  也很清楚告訴我們我們末後的日子所面對的事
[00:01:11.000 --> 00:01:14.000]  我們知道彼得前後書提醒我們
[00:01:14.000 --> 00:01:16.000]  在末世的時候
[00:01:16.000 --> 00:01:17.000]  基督再來之前
[00:01:17.000 --> 00:01:20.000]  我們滿有榮耀的盼望
[00:01:20.000 --> 00:01:24.000]  我們是一群滿有盼望等候將來實現
[00:01:24.000 --> 00:01:28.000]  在天國實現的一群子民
[00:01:28.000 --> 00:01:30.000]  但同時間我們活在世上的時候
[00:01:30.000 --> 00:01:32.000]  繼續來到末世的時候
[00:01:32.000 --> 00:01:34.000]  做應該有的見證
[00:01:34.000 --> 00:01:38.000]  用我們各人的恩賜侍奉主
[00:01:38.000 --> 00:01:41.000]  但同時間在普通書信
[00:01:41.000 --> 00:01:43.000]  我們現在還在學習
[00:01:43.000 --> 00:01:46.000]  其實有很多篇幅裡
[00:01:46.000 --> 00:01:51.000]  提醒我們關乎假基督、假冒、假道理
[00:01:51.000 --> 00:01:55.000]  這些假的神
[00:01:55.000 --> 00:01:57.000]  等等這些
[00:01:57.000 --> 00:02:01.000]  在末世時候很明顯的一種徵兆
[00:02:01.000 --> 00:02:03.000]  事實上耶穌基督在
[00:02:03.000 --> 00:02:06.000]  瓦帝方第24章講到末世的時候
[00:02:06.000 --> 00:02:08.000]  各樣的預兆的時候
[00:02:08.000 --> 00:02:10.000]  祂也很清楚的講明
[00:02:10.000 --> 00:02:13.000]  祂說在末後的時候
[00:02:13.000 --> 00:02:17.000]  會有許多的假先知欺騙人
[00:02:17.000 --> 00:02:20.000]  所以我們面對今天末世的時候
[00:02:20.000 --> 00:02:22.000]  一方面我們要鞏固自己
[00:02:22.000 --> 00:02:24.000]  持守我們的信仰
[00:02:24.000 --> 00:02:26.000]  另一方面也要防備這些假冒
[00:02:26.000 --> 00:02:31.000]  正如在保羅提醒提摩泰末後的時候
[00:02:31.000 --> 00:02:34.000]  有很多人會離棄真理
[00:02:34.000 --> 00:02:38.000]  要聽從那些引誘人的邪靈和鬼魔的道理
[00:02:38.000 --> 00:02:43.000]  這些就是所謂說虛方人的假冒
[00:02:43.000 --> 00:02:46.000]  彼得同樣也用了不少的篇幅
[00:02:46.000 --> 00:02:49.000]  我們今天看了這一段落
[00:02:49.000 --> 00:02:50.000]  一至九節
[00:02:50.000 --> 00:02:52.000]  下一節他會繼續講
[00:02:52.000 --> 00:02:54.000]  因為時間關係我會分開兩次講
[00:02:54.000 --> 00:02:58.000]  所以我們今天看到彼得也提醒我們
[00:02:58.000 --> 00:03:02.000]  在末後的時候的確有許多假冒
[00:03:02.000 --> 00:03:05.000]  我們需要遠避
[00:03:05.000 --> 00:03:07.000]  遠避的意思是我們一方面提防
[00:03:07.000 --> 00:03:10.000]  不要中這些鬼計和陷阱
[00:03:10.000 --> 00:03:15.000]  遠避的意思是我們不要變成那些離棄真理
[00:03:15.000 --> 00:03:17.000]  然後落入虛方的人
[00:03:17.000 --> 00:03:20.000]  變成了反而離開了主的道
[00:03:20.000 --> 00:03:26.000]  所以這就是我們今天一起來思想的訊息
[00:03:26.000 --> 00:03:29.000]  也是聖經裡給我們的教導
[00:03:29.000 --> 00:03:30.000]  首先大家看看
[00:03:30.000 --> 00:03:32.000]  我相信可能你見過
[00:03:32.000 --> 00:03:38.000]  這是真的還是假的
[00:03:38.000 --> 00:03:39.000]  為什麼呢
[00:03:39.000 --> 00:03:44.000]  因為可能在家裡看電視或電影
[00:03:44.000 --> 00:03:45.000]  可以看得清楚一點
[00:03:45.000 --> 00:03:46.000]  遠看難看一點
[00:03:46.000 --> 00:03:48.000]  這裡圈著寫明
[00:03:48.000 --> 00:03:49.000]  底面也寫明
[00:03:49.000 --> 00:03:52.000]  For motion picture use of purposes
[00:03:52.000 --> 00:03:54.000]  即是在演戲時用的
[00:03:54.000 --> 00:03:56.000]  這是假文字
[00:03:56.000 --> 00:03:58.000]  講明了這是假的
[00:03:58.000 --> 00:04:00.000]  當然如果真是假文字
