
[00:00:00.000 --> 00:00:06.280]  今天我們就 如果你照我們的讀經的計劃
[00:00:06.280 --> 00:00:10.580]  就應該去到《初埃及記》第19、第20章
[00:00:10.580 --> 00:00:15.360]  這個是非常非常重要的兩章聖經
[00:00:15.360 --> 00:00:22.060]  我想用少少的一段時間去帶大家去思想
[00:00:22.060 --> 00:00:26.120]  我想都是很大圖畫式的去看
[00:00:26.120 --> 00:00:29.920]  因為是非常豐富的東西
[00:00:29.920 --> 00:00:33.000]  如果你去到《初埃及記》第19章的時候
[00:00:33.000 --> 00:00:36.980]  你會發現以色列人已經成功出了埃及
[00:00:36.980 --> 00:00:39.200]  但是這個成功出了埃及
[00:00:39.200 --> 00:00:41.840]  正是故事的開始
[00:00:41.840 --> 00:00:43.360]  很多時候我們自己
[00:00:43.360 --> 00:00:46.760]  譬如說我們想一下以色列人在埃及很辛苦
[00:00:46.760 --> 00:00:49.700]  出了埃及就完事 那不是的
[00:00:49.700 --> 00:00:52.120]  整個故事《初埃及記》是講
[00:00:52.120 --> 00:00:55.880]  上帝要呼召一幫人成為他的子民
[00:00:55.880 --> 00:01:02.960]  這個當然是在承受阿伯拉罕以撒亞國的認許
[00:01:02.960 --> 00:01:07.500]  我們讀一讀《初埃及記》第19章第4節
[00:01:07.500 --> 00:01:11.040]  我向埃及人所行的事 你們都看見了
[00:01:11.040 --> 00:01:16.900]  我如應將你們背在翅膀上 帶你們來歸我
[00:01:16.900 --> 00:01:18.600]  出埃及的原因
[00:01:18.600 --> 00:01:24.160]  不是單單只是以色列人的痛苦要幫他們解脫
[00:01:24.160 --> 00:01:27.480]  而是最重要的是出埃及
[00:01:27.480 --> 00:01:30.300]  以致他們可以成為上帝的子民
[00:01:30.300 --> 00:01:32.340]  於是上帝繼續
[00:01:32.340 --> 00:01:35.380]  如今你們若真的聽從我的話
[00:01:35.380 --> 00:01:36.740]  遵守我的約
[00:01:36.740 --> 00:01:41.020]  就要在萬民中作屬我的子民
[00:01:41.020 --> 00:01:45.820]  你們要歸我作祭司的國度
[00:01:45.820 --> 00:01:48.180]  為神聖的國民
[00:01:48.180 --> 00:01:50.240]  所以你看到最後的「歸上帝」
[00:01:50.240 --> 00:01:52.740]  是有一個角色 以色列人要扮演
[00:01:52.740 --> 00:01:56.260]  或者我們都可以將他引申到新約
[00:01:56.260 --> 00:01:58.480]  就是要成為祭司的國度
[00:01:58.480 --> 00:02:02.460]  神聖的國民 屬神的子民
[00:02:02.460 --> 00:02:05.140]  我們沒有時間去解釋這幾個term
[00:02:05.140 --> 00:02:07.440]  但是那個途徑是什麼呢?
[00:02:07.440 --> 00:02:10.780]  那個途徑就是要遵守我的約
[00:02:10.780 --> 00:02:14.380]  要真正的聽從我的話
[00:02:14.380 --> 00:02:17.280]  我不想你在這個時候
[00:02:17.280 --> 00:02:19.160]  就馬上想到一些好像
[00:02:19.160 --> 00:02:22.880]  原來所謂的恩典恩典講到最後
[00:02:22.880 --> 00:02:27.080]  都是要我憑行為得救的 不是這樣的意思
[00:02:27.080 --> 00:02:29.260]  其實上帝已經救了他們
[00:02:29.260 --> 00:02:32.500]  不過這個拯救其實還沒有完
[00:02:32.500 --> 00:02:35.640]  這個拯救繼續活在上帝的恩典裡面
[00:02:35.640 --> 00:02:38.500]  而上帝要塑造他們成為祂的子民
[00:02:38.500 --> 00:02:42.840]  就是通過遵守祂的約
[00:02:42.840 --> 00:02:44.840]  真的聽從上帝的話
[00:02:44.840 --> 00:02:47.080]  如果你說不真的聽從上帝的話
[00:02:47.080 --> 00:02:49.880]  那怎麼辦呢?那就叫做斷纜
[00:02:49.880 --> 00:02:52.880]  你就沒有成功出到埃及
[00:02:52.880 --> 00:02:54.660]  雖然你的人出到埃及
[00:02:54.660 --> 00:02:58.540]  其實你是沒有出到埃及的
[00:02:58.540 --> 00:03:00.960]  所以整個救恩你會看到
[00:03:00.960 --> 00:03:03.660]  這個很consistent 救約、新約都是一樣的
[00:03:03.660 --> 00:03:06.960]  是一個連貫來的 直到尾的
[00:03:06.960 --> 00:03:08.500]  我先給你一個謎底
[00:03:08.500 --> 00:03:12.460]  就是這段聖經最後會帶我們去到
[00:03:12.460 --> 00:03:15.040]  彼得前書第二章的
[00:03:15.040 --> 00:03:17.420]  因為你會發覺去到彼得前書第二章
[00:03:17.420 --> 00:03:21.740]  屬我的子民 祭司的國度 神聖的國民
[00:03:21.740 --> 00:03:23.920]  這些都會再出回來
[00:03:23.920 --> 00:03:26.140]  但是我們還沒有去之前 我們要想一下
[00:03:26.140 --> 00:03:29.760]  在這裡的時候 你若真正聽從我的話
[00:03:29.760 --> 00:03:31.400]  遵守我的約
