
[00:00:00.000 --> 00:00:02.000]  感謝教會的邀請
[00:00:02.000 --> 00:00:05.680]  今早能夠跟大家在這裏一起敬拜神
[00:00:05.680 --> 00:00:09.200]  一起來學習神自己的說話
[00:00:09.200 --> 00:00:11.000]  多謝姊妹剛才為我們讀出
[00:00:11.000 --> 00:00:13.800]  今天一切要看的經文
[00:00:13.800 --> 00:00:19.880]  有三段剛才大家都很清楚地讀出
[00:00:19.880 --> 00:00:22.320]  自從退休之後
[00:00:22.320 --> 00:00:25.680]  就多了一些時間來做運動
[00:00:25.680 --> 00:00:28.360]  而其中一個運動就是步行
[00:00:28.360 --> 00:00:33.280]  相信大家都知道步行會帶來身體很多的益處
[00:00:33.280 --> 00:00:37.000]  包括不單止身體會健壯些
[00:00:37.000 --> 00:00:39.240]  心臟會好些
[00:00:39.240 --> 00:00:42.760]  骨骼會來得強壯些
[00:00:42.760 --> 00:00:45.840]  甚至乎可以來得改善情緒
[00:00:45.840 --> 00:00:50.880]  降低一些慢性疾病的風險等等
[00:00:50.880 --> 00:00:54.840]  有一些研究說一天至少行一萬步
[00:00:54.840 --> 00:00:56.920]  不過近來又改了
[00:00:56.920 --> 00:00:59.440]  七千步都可以了
[00:00:59.440 --> 00:01:02.120]  如果一天沒有行七千步那麼多的話
[00:01:02.120 --> 00:01:06.720]  相信我們活動一下都是很好的
[00:01:06.720 --> 00:01:10.920]  現代人對步行的注重就越來越顯著
[00:01:10.920 --> 00:01:14.840]  手機裏面我們都會有一個程式
[00:01:14.840 --> 00:01:18.440]  這個程式會記錄我們一天會行了多少步
[00:01:18.440 --> 00:01:21.120]  一個月行了多少步
[00:01:21.120 --> 00:01:23.160]  行得夠不夠
[00:01:23.160 --> 00:01:27.920]  不知道大家手上的手機有沒有這個程式呢?
[00:01:27.920 --> 00:01:31.960]  我就有了這個程式幾年了
[00:01:31.960 --> 00:01:35.600]  來記錄自己究竟行得夠不夠
[00:01:35.600 --> 00:01:39.440]  不知道你一天會行多少步呢?
[00:01:39.440 --> 00:01:41.520]  足不足夠呢?
[00:01:41.520 --> 00:01:43.280]  要身體健康強壯
[00:01:43.280 --> 00:01:47.680]  步行似乎是我們不可以忽略的
