
[00:00:00.000 --> 00:00:02.000]  第一節會議,早安!
[00:00:02.000 --> 00:00:06.000]  今天講的題目是「論斷還是接納」
[00:00:06.000 --> 00:00:11.000]  我深信這個題目一點都不容易講
[00:00:11.000 --> 00:00:17.000]  因為論斷其實都是在人群當中時常都發生
[00:00:17.000 --> 00:00:22.000]  教會最容易發生的事情不是發生天壞等什麼大罪
[00:00:22.000 --> 00:00:27.000]  教會最容易發生的就是太多論斷的事情發生
[00:00:27.000 --> 00:00:32.000]  我相信大家都有很多經歷
[00:00:32.000 --> 00:00:34.000]  可能你有論斷別人的時候
[00:00:34.000 --> 00:00:37.000]  可能你有被論斷的時候
[00:00:37.000 --> 00:00:40.000]  對於我來說,我都不敢說我沒有論斷過別人
[00:00:40.000 --> 00:00:43.000]  可能我都有被論斷的時候
[00:00:43.000 --> 00:00:46.000]  這個課題都值得我們反思
[00:00:46.000 --> 00:00:48.000]  因為其實每一刻,每一詞
[00:00:48.000 --> 00:00:51.000]  每一刻都是提醒自己不要去論斷
[00:00:51.000 --> 00:00:54.000]  不要進入這個陷阱當中
[00:00:54.000 --> 00:00:57.000]  在這一年當中,其實我為什麼要講這些題目呢?
[00:00:57.000 --> 00:01:02.000]  其實我希望這一年都是在處理我們群體之間的關係
[00:01:02.000 --> 00:01:04.000]  我第一次講的時候是愛出發
[00:01:04.000 --> 00:01:07.000]  但這次我想講群體之間最容易破壞的
[00:01:07.000 --> 00:01:12.000]  不單是沒有愛,而是我們很容易彼此的論斷
[00:01:12.000 --> 00:01:15.000]  我們一起來祈禱吧
[00:01:15.000 --> 00:01:19.000]  師父我求祢來到當中與我們眾人同在
[00:01:19.000 --> 00:01:22.000]  聖靈求祢關照我們的內心
[00:01:22.000 --> 00:01:25.000]  讓我們能夠看見我們的生命
[00:01:25.000 --> 00:01:31.000]  經常有很多不滿或者很容易講出來的論斷
[00:01:31.000 --> 00:01:34.000]  去傷害了人,傷害主人
[00:01:34.000 --> 00:01:37.000]  主人祢幫助我們在這個議題當中
[00:01:37.000 --> 00:01:39.000]  讓我們能夠去反思
[00:01:39.000 --> 00:01:45.000]  知道我們如何在教會當中建立一個有愛有真理的教會
[00:01:45.000 --> 00:01:47.000]  求主來到當中幫助我們
[00:01:47.000 --> 00:01:49.000]  幫助孩子所講的,幫助姐妹所聽的
[00:01:49.000 --> 00:01:52.000]  去同樣的力量,我們感到很高興
[00:01:52.000 --> 00:01:54.000]  我們求主保佑,使我們能夠祈禱
[00:01:54.000 --> 00:01:58.000]  剛才主席用了很長的篇幅讀這段經文
[00:01:58.000 --> 00:02:00.000]  事實上都需要長一長
[00:02:00.000 --> 00:02:02.000]  讓我們知道在這段經文當中
[00:02:02.000 --> 00:02:07.000]  不是一個故事,而是一個教導在當中
[00:02:07.000 --> 00:02:13.000]  羅馬書的背景就是在羅馬時代
[00:02:13.000 --> 00:02:15.000]  即是在羅馬的教會當中
[00:02:15.000 --> 00:02:19.000]  其實羅馬城當中有很多猶太人
[00:02:19.000 --> 00:02:22.000]  猶太人當中彼此有些爭議
[00:02:22.000 --> 00:02:24.000]  有些信了耶穌的猶太人
[00:02:24.000 --> 00:02:26.000]  有些未信耶穌的猶太人
[00:02:26.000 --> 00:02:29.000]  彼此爭議究竟耶穌是誰
[00:02:29.000 --> 00:02:31.000]  引來很大的風波
[00:02:31.000 --> 00:02:34.000]  所以在歷史上當中
[00:02:34.000 --> 00:02:38.000]  羅馬皇帝格魯丁覺得太麻煩了
[00:02:38.000 --> 00:02:43.000]  這班猶太人乾脆將這些猶太人趕出羅馬城
[00:02:43.000 --> 00:02:46.000]  不要再在羅馬城搞來搞去
[00:02:46.000 --> 00:02:49.000]  所以不論你信了耶穌的猶太人
[00:02:49.000 --> 00:02:50.000]  或者未信的猶太人
[00:02:50.000 --> 00:02:51.000]  你都趕出去
[00:02:51.000 --> 00:02:54.000]  在主前49年的時候發生了
[00:02:54.000 --> 00:02:58.000]  所以當猶太人離開了羅馬城的時候
[00:02:58.000 --> 00:03:02.000]  你試想像羅馬城的教會剩下什麼人呢?
[00:03:02.000 --> 00:03:03.000]  沒有了猶太人
