
[00:00:00.000 --> 00:00:03.920]  我哋睇呢個嘅健康教會嘅題目
[00:00:03.920 --> 00:00:08.280]  咁今次喺呢個廣東堂裡面係第二次講㗎喇我記得
[00:00:08.280 --> 00:00:11.340]  咁我哋繼續睇呢個題目嘅時候,我哋睇一段嘅聖經
[00:00:11.340 --> 00:00:15.380]  係響光吟多前書
[00:00:15.380 --> 00:00:19.960]  第十二章,如果你有聖經嘅話可以先打開去呢個地方
[00:00:19.960 --> 00:00:21.640]  點解我哋睇呢個題目呢?
[00:00:21.640 --> 00:00:23.960]  因為好多時呢,有一個嘅問題呢
[00:00:23.960 --> 00:00:25.660]  就係我哋需要問自己
[00:00:25.660 --> 00:00:27.800]  你返咗教會咁耐
[00:00:27.800 --> 00:00:29.960]  你覺得係咪返教會耐嘅話
[00:00:29.960 --> 00:00:34.240]  就知道教會應該係點㗎?
[00:00:34.240 --> 00:00:40.100]  係咪返教會越耐,就越清楚教會應該係點㗎?
[00:00:40.100 --> 00:00:43.120]  唔一定㗎係咪,唔一定㗎
[00:00:43.120 --> 00:00:45.900]  你返咗教會幾耐,上咗幾耐?
[00:00:45.900 --> 00:00:49.920]  你唔一定好清楚教會應該係點㗎
[00:00:49.920 --> 00:00:54.120]  可能返得耐嘅更加唔清楚啲,啱吖?
[00:00:54.120 --> 00:00:56.780]  因為我哋自己對教會嘅概念
[00:00:56.780 --> 00:01:00.100]  或者我哋自己一啲嘅價值觀可能呢
[00:01:00.100 --> 00:01:03.040]  都會影響我哋點樣睇一個教會㗎
[00:01:03.040 --> 00:01:06.580]  所以呢,點樣都好,我哋都一定要返返去上帝嘅話語
[00:01:06.580 --> 00:01:11.140]  係上帝嘅話語,聖經點樣去教導教會,話畀教會聽
[00:01:11.140 --> 00:01:13.060]  教會應該點樣去生活
[00:01:13.060 --> 00:01:16.440]  教會點樣係一個健康嘅家庭
[00:01:16.440 --> 00:01:20.380]  係聖經講㗎,唔係你同我去諗㗎
[00:01:20.380 --> 00:01:24.700]  所以個權威始終都係喺上帝嘅話語上面
[00:01:24.700 --> 00:01:27.920]  唔係喺我哋,唔係我哋自己諗法
[00:01:27.920 --> 00:01:29.860]  亦都唔係我哋自己嘅傳統
[00:01:29.860 --> 00:01:33.460]  更加唔係我哋自己嘅意見
[00:01:33.460 --> 00:01:35.220]  最重要嘅就係返返去聖經裡面
