
[00:00:00.000 --> 00:00:04.520]  今天講的是《你是神精心的傑作》
[00:00:04.520 --> 00:00:06.300]  我們先看看旁邊的那個
[00:00:06.300 --> 00:00:08.800]  你覺得他精不精心
[00:00:08.800 --> 00:00:10.800]  精心
[00:00:10.800 --> 00:00:12.300]  有些很積極
[00:00:12.300 --> 00:00:14.300]  有些先看看
[00:00:14.300 --> 00:00:17.600]  在2021年4月26日
[00:00:17.600 --> 00:00:21.100]  在全世界有一個公開投票
[00:00:21.100 --> 00:00:28.100]  就是說全球新七大自然奇景
[00:00:28.100 --> 00:00:32.400]  結果驚人有成億人投票
[00:00:32.400 --> 00:00:34.700]  看看你覺得精不精心
[00:00:34.700 --> 00:00:37.200]  我看到十分美麗
[00:00:37.200 --> 00:00:40.000]  覺得神的創造是很奇妙
[00:00:40.000 --> 00:00:45.600]  第一是亞馬遜河的亞馬遜雨林
[00:00:45.600 --> 00:00:52.600]  第二位就是巴西亞根廷的伊瓜蘇瀑布
[00:00:52.600 --> 00:00:54.900]  接著是越南的夏侖灣
[00:00:54.900 --> 00:00:57.200]  濟州島,韓國的
[00:00:57.200 --> 00:01:01.100]  接著是菲律賓,普林賽隆港
[00:01:01.100 --> 00:01:03.000]  不知道我們的短宣隊有沒有去
[00:01:03.000 --> 00:01:03.900]  應該肯定沒有
[00:01:03.900 --> 00:01:05.400]  因為他們要服侍
[00:01:05.400 --> 00:01:08.900]  接著是印尼的國家公園
[00:01:08.900 --> 00:01:10.900]  還有南非的卓山
[00:01:10.900 --> 00:01:13.000]  我覺得很美
[00:01:13.000 --> 00:01:14.100]  你覺得美不美
[00:01:14.100 --> 00:01:15.600]  很美
[00:01:15.600 --> 00:01:17.700]  但是我要悔改
[00:01:17.700 --> 00:01:18.600]  我看完之後
[00:01:18.600 --> 00:01:21.600]  我竟然一個都沒有去過
[00:01:21.600 --> 00:01:24.100]  我去過的就沒有被人投票
[00:01:24.100 --> 00:01:25.600]  我不去就被人投票
[00:01:25.600 --> 00:01:27.700]  真是選擇
[00:01:27.700 --> 00:01:29.100]  那我就問一下大家
[00:01:29.100 --> 00:01:31.800]  有誰去過這七個
[00:01:31.800 --> 00:01:32.900]  其中一個最少
[00:01:32.900 --> 00:01:36.100]  他就說很厲害
[00:01:36.100 --> 00:01:37.000]  兩個呢
[00:01:37.000 --> 00:01:38.500]  有沒有去過兩個以上
[00:01:38.500 --> 00:01:40.600]  少一些,只有四五個
[00:01:40.600 --> 00:01:43.300]  三個以上是甚麼
[00:01:43.300 --> 00:01:45.200]  沒有,兩個而已
[00:01:45.200 --> 00:01:46.100]  一個都不錯
[00:01:46.100 --> 00:01:48.300]  大家通常去了哪裏
[00:01:48.300 --> 00:01:51.100]  對了,不錯
