
[00:00:00.000 --> 00:00:05.500]  圖一戰聖經,在提伯太后書第二章第一到第七節
[00:00:05.500 --> 00:00:10.800]  寶羅說:「我兒啊,你要在基督耶穌的恩典上剛強起來
[00:00:10.800 --> 00:00:14.000]  你在許多見證人面前聽見我所教訓的
[00:00:14.000 --> 00:00:17.600]  也要交託那忠心能教導別人的人
[00:00:17.600 --> 00:00:22.400]  你要知道,你要和我同受苦難,好像基督耶穌的精兵
[00:00:22.400 --> 00:00:28.400]  凡在軍中當兵的,不將事物纏身,好叫那糟蹋當兵的人喜悅
[00:00:28.400 --> 00:00:32.600]  人若在場上比武,非按規矩就不能得冠冕
[00:00:32.600 --> 00:00:36.000]  勞力的農夫,理當先得糧食
[00:00:36.000 --> 00:00:40.500]  我所說的話,你要思想,因為凡事主必給你聰明」
[00:00:40.500 --> 00:00:42.000]  我們就讀到這裡
[00:00:42.000 --> 00:00:44.000]  今天是今年第一個主日
[00:00:44.000 --> 00:00:48.400]  首先在這裡恭賀大家,新年非常非常快樂,Amen
[00:00:48.400 --> 00:00:53.600]  我不知道今天當你進入一個新的一年的時候
[00:00:53.600 --> 00:00:56.600]  你對新的一年會有什麼期待
[00:00:56.600 --> 00:00:59.700]  我相信我們都渴望在新的一年當中
[00:00:59.700 --> 00:01:03.600]  得到神新的恩典,新的祝福跟方向
[00:01:03.600 --> 00:01:07.600]  這為什麼中國人在慶祝新年都喜歡祝福別人說
[00:01:07.600 --> 00:01:10.400]  心想事成
[00:01:10.400 --> 00:01:14.000]  但作為一個基督徒,我們所應當看重的
[00:01:14.000 --> 00:01:16.800]  不只是應該是我們心在想什麼
[00:01:16.800 --> 00:01:19.600]  作為一個基督徒,我們更應該看重的是
[00:01:19.600 --> 00:01:22.800]  神對我們的心意是什麼,Amen
[00:01:22.800 --> 00:01:26.400]  更是神對教會的心意是什麼
[00:01:26.400 --> 00:01:31.200]  我還記得去年,我們在慶祝教會三十週年的時候
[00:01:31.200 --> 00:01:33.600]  我想我們都非常的興奮
[00:01:33.600 --> 00:01:37.400]  看見神在過去三十年在我們身上所成就的工作
[00:01:37.400 --> 00:01:40.800]  那真是遠遠超過我們所求所想
[00:01:40.800 --> 00:01:45.400]  在慶典之後,我們同工們一同聚集在神面前
[00:01:45.400 --> 00:01:48.200]  尋求神下一步的帶領
[00:01:48.200 --> 00:01:51.500]  我們在靈裡面都一致的看見
[00:01:51.500 --> 00:01:55.400]  神之所以在過去如此恩待我們
[00:01:55.400 --> 00:02:02.200]  其實就是要預備我們成為一支屬神極大的軍隊
[00:02:02.200 --> 00:02:04.600]  這就好像在以希節書裡面
[00:02:04.600 --> 00:02:06.400]  你看見三十七章中
[00:02:06.400 --> 00:02:09.800]  當神怎麼樣以希節看見這個意象
[00:02:09.800 --> 00:02:12.400]  神能夠使枯骨復生
[00:02:12.400 --> 00:02:17.000]  主要的目的就要成為一支極大的軍隊一樣
[00:02:17.000 --> 00:02:19.700]  所以這為什麼我們把今年的主題
[00:02:19.700 --> 00:02:24.500]  就定名為興起一支屬神的大軍
[00:02:24.500 --> 00:02:28.400]  因為我們看見神在我們生命和教會的心意
[00:02:28.400 --> 00:02:31.400]  不只是讓我們得到更多的恩典
[00:02:31.400 --> 00:02:35.600]  最重要的,乃是要讓我們進入這個世界
