
[00:00:00.000 --> 00:00:03.400]  我講這個系列
[00:00:03.400 --> 00:00:09.000]  我們講到耶穌基督是將門徒送入去世上
[00:00:09.000 --> 00:00:12.200]  就好像送羊入去狼群一樣
[00:00:12.200 --> 00:00:14.660]  其實我們基督徒都是一樣
[00:00:14.660 --> 00:00:16.660]  記不記得聖經告訴我們
[00:00:16.660 --> 00:00:18.960]  我們是在者世上
[00:00:18.960 --> 00:00:21.460]  但我們不屬於這個世上
[00:00:21.460 --> 00:00:23.060]  所以其實我們的身份
[00:00:23.060 --> 00:00:26.560]  都好像羊在狼群裏面
[00:00:26.560 --> 00:00:31.360]  我們說耶穌基督教我們要有門徒的標誌
[00:00:31.360 --> 00:00:33.960]  講了今天是第三個
[00:00:33.960 --> 00:00:36.960]  第一個是要像耶穌基督
[00:00:36.960 --> 00:00:44.260]  在馬太福音第十章第24至25節
[00:00:44.260 --> 00:00:47.560]  我們說門徒是要像先生
[00:00:47.560 --> 00:00:50.560]  我們說獨人是要像主人
[00:00:50.560 --> 00:00:52.760]  我們要像耶穌基督
[00:00:52.760 --> 00:00:55.460]  當我們越來越像耶穌基督的時候
[00:00:55.460 --> 00:00:58.660]  我們說有兩個極端的反應
[00:00:58.660 --> 00:01:02.760]  一個反應就是那些被神呼召的人
[00:01:02.760 --> 00:01:06.460]  他們會見到我們很吸引
[00:01:06.460 --> 00:01:10.260]  也都希望好像我們這樣成為基督徒
[00:01:10.260 --> 00:01:11.760]  但是另一方面
[00:01:11.760 --> 00:01:14.260]  當我們越來越像耶穌基督的時候
[00:01:14.260 --> 00:01:16.560]  不信的人對我們的逼迫
[00:01:16.560 --> 00:01:19.760]  對我們的仇視也都會越來越大
[00:01:19.760 --> 00:01:21.660]  這個是耶穌基督講的
[00:01:21.660 --> 00:01:25.060]  祂說獨人不能夠大過主人
[00:01:25.060 --> 00:01:27.960]  祂說做學生的不能夠大過先生
[00:01:27.960 --> 00:01:29.860]  如果他被人逼迫
[00:01:29.860 --> 00:01:33.060]  如果他被人叫做別西福的話
[00:01:33.060 --> 00:01:37.060]  何況我們做門徒的一樣都會被逼迫
[00:01:37.060 --> 00:01:40.360]  所以第二個標誌就是不要懼怕
[00:01:40.360 --> 00:01:43.360]  就算被人逼迫的話不要害怕
[00:01:43.360 --> 00:01:45.660]  這個就是上次講的標誌
[00:01:45.660 --> 00:01:49.160]  不要害怕那些只能夠傷害我們身體
[00:01:49.160 --> 00:01:52.360]  但是不能夠傷害我們靈魂的人
[00:01:52.360 --> 00:02:00.560]  我們要怕那位是能夠使到靈魂和身體都沉淪的神
[00:02:00.560 --> 00:02:03.260]  當我們真的敬畏這位神的時候
[00:02:03.260 --> 00:02:06.460]  我們就會在人的面前承認祂
[00:02:06.460 --> 00:02:09.660]  這個就是我們今天要講第三個標誌
[00:02:09.660 --> 00:02:12.360]  我叫祂做宗主不棄
