
[00:00:00.000 --> 00:00:04.360]  2015年7月14日
[00:00:04.360 --> 00:00:11.600]  美國太空總署耗資了720.8萬美元
[00:00:11.600 --> 00:00:17.160]  穿越太空9年的新視野號New Horizons
[00:00:17.160 --> 00:00:20.600]  終於到達了冥王星
[00:00:20.600 --> 00:00:23.240]  傳來高清的照片
[00:00:23.240 --> 00:00:26.400]  冥王星離太陽是最遠的
[00:00:26.400 --> 00:00:34.280]  它環繞太陽需要248年
[00:00:34.280 --> 00:00:40.200]  終於新視野號傳來高清的照片
[00:00:40.200 --> 00:00:45.280]  第一次人們看到冥王星的表面圖片
[00:00:45.280 --> 00:00:49.720]  當太空總署的人站在那裏歡呼的時候
[00:00:49.720 --> 00:00:52.320]  其實他們都知道
[00:00:52.320 --> 00:00:58.400]  新視野號也有一天報航海家一號
[00:00:58.400 --> 00:01:01.280]  Voyager 1st
[00:01:01.280 --> 00:01:05.080]  同一個命運消失在太空之中
[00:01:05.080 --> 00:01:06.480]  失去聯繫
[00:01:06.480 --> 00:01:08.200]  2013年9月13日
[00:01:08.200 --> 00:01:16.280]  NASA確認航海家一號已經飛出太陽系
[00:01:16.280 --> 00:01:18.120]  進入星際的空間
[00:01:18.120 --> 00:01:24.520]  36年之後失去聯絡
[00:01:24.520 --> 00:01:27.520]  沒辦法和他聯繫
[00:01:27.520 --> 00:01:29.960]  對昂貴的飛行物失聯
[00:01:29.960 --> 00:01:32.280]  我們感到可惜
[00:01:32.280 --> 00:01:37.880]  但如果失聯的是你所愛的人
[00:01:37.880 --> 00:01:39.680]  他在那裏
[00:01:39.680 --> 00:01:44.120]  但他迴轉和你聯繫
[00:01:44.120 --> 00:01:47.840]  你就會感到莫大的痛苦
[00:01:47.840 --> 00:01:52.200]  國內著名歌手刀郎一首歌
[00:01:52.200 --> 00:01:54.640]  《衝動的懲罰》
[00:01:54.640 --> 00:01:59.880]  是寫給他太太的母字名
[00:01:59.880 --> 00:02:01.560]  唱完之後
[00:02:01.560 --> 00:02:05.400]  他賣莊跟他前妻的感情
[00:02:05.400 --> 00:02:08.960]  22歲的刀郎跟前妻生了一個女兒
[00:02:08.960 --> 00:02:11.200]  剛剛40天
[00:02:11.200 --> 00:02:14.160]  太太就離他而去
[00:02:14.160 --> 00:02:15.560]  尋妻十年
[00:02:15.560 --> 00:02:17.640]  毫無音訊
[00:02:17.640 --> 00:02:20.440]  最後他寫下這首歌
[00:02:20.440 --> 00:02:23.840]  那夜我喝醉了
