
[00:00:00.000 --> 00:00:04.100]  在這裏再次問大家大英姐妹安
[00:00:04.100 --> 00:00:08.300]  來到一年最後一個的主日
[00:00:08.300 --> 00:00:11.900]  我覺得也是一個好的時間
[00:00:11.900 --> 00:00:15.400]  讓我們去回顧一下今年的零星
[00:00:15.400 --> 00:00:17.800]  或者我們所面對的挑戰
[00:00:17.800 --> 00:00:20.800]  其實就...
[00:00:20.800 --> 00:00:25.000]  我覺得今年過得很快
[00:00:25.000 --> 00:00:29.900]  我好像還記得昨天才是1月1日
[00:00:29.900 --> 00:00:30.800]  這樣的日子
[00:00:30.800 --> 00:00:33.200]  現在很快就已經有了一年完結
[00:00:33.200 --> 00:00:37.400]  但是這一年這麼快過了之後
[00:00:37.400 --> 00:00:42.900]  究竟我們的零星上面的追求認識
[00:00:42.900 --> 00:00:46.700]  是有些什麼地方的一些改進呢
[00:00:46.700 --> 00:00:47.700]  或者進步呢
[00:00:47.700 --> 00:00:51.000]  或者是需要我們更加花時間去努力呢
[00:00:51.000 --> 00:00:53.300]  我覺得在年終的時候
[00:00:53.300 --> 00:00:55.900]  是做一個很好的回顧
[00:00:55.900 --> 00:00:57.800]  是一個很好的時間
[00:00:57.800 --> 00:01:00.100]  在我們聆聽主導以前
[00:01:00.100 --> 00:01:03.900]  讓我們再次同心的低頭禱告仰望
[00:01:03.900 --> 00:01:09.800]  讓我們心思艷交在主神的手上
[00:01:09.800 --> 00:01:10.800]  天父我多謝祢
[00:01:10.800 --> 00:01:13.800]  多謝祢讓我們從歲首到年終的時間
[00:01:13.800 --> 00:01:17.600]  都能夠在祢的恩典當中活著
[00:01:17.600 --> 00:01:19.800]  還顧在過去一年的當中
[00:01:19.800 --> 00:01:22.300]  我們所面對的挑戰
[00:01:22.300 --> 00:01:25.800]  所面對過的一些人生的喜與樂
[00:01:25.800 --> 00:01:28.100]  甚至在零星上面有一些衝擊
[00:01:28.100 --> 00:01:32.500]  或者是一些令我們覺得興奮的事情
[00:01:32.500 --> 00:01:34.800]  因此無論是怎樣的經驗都好
[00:01:34.800 --> 00:01:37.000]  我們都獻上感恩
[00:01:37.000 --> 00:01:38.500]  因為祢曾經說過
[00:01:38.500 --> 00:01:40.600]  無論滑順或滑逆的
[00:01:40.600 --> 00:01:43.300]  祢都應許與我們同在
[00:01:43.300 --> 00:01:48.500]  但願我們抓緊我們這位創始承宗的神
[00:01:48.500 --> 00:01:50.700]  並且祢所差派的獨生兒子
[00:01:50.700 --> 00:01:52.500]  耶穌基督的救恩
[00:01:52.500 --> 00:01:54.300]  在聖靈的引導之下
[00:01:54.300 --> 00:01:57.800]  讓我們能夠在往後的日子
[00:01:57.800 --> 00:01:59.800]  有生之年的裏面
[00:01:59.800 --> 00:02:03.000]  都能夠更加的經驗
[00:02:03.000 --> 00:02:05.200]  處於祢怎樣與我們同在
[00:02:05.200 --> 00:02:08.000]  也都能夠進入到祂永恆的當中
[00:02:08.000 --> 00:02:10.500]  可以和祢永遠同活
[00:02:10.500 --> 00:02:12.100]  我再次獻上感恩
[00:02:12.100 --> 00:02:13.200]  我們同心的禱告
[00:02:13.200 --> 00:02:16.500]  奉靠主耶穌的德性的名字而靠
[00:02:16.500 --> 00:02:19.200]  阿們
[00:02:19.200 --> 00:02:24.600]  正如我所說,一年到年尾的日子
[00:02:24.600 --> 00:02:26.600]  最好有些回顧
[00:02:26.600 --> 00:02:31.100]  不過我的回顧比較遠了一點
[00:02:31.100 --> 00:02:37.900]  因為有時特別是在過去三年的疫情之後
[00:02:37.900 --> 00:02:42.900]  我經常都想機會回到香港
[00:02:42.900 --> 00:02:44.700]  探望我自己的家人
[00:02:44.700 --> 00:02:48.900]  但是無種種的原因都未能夠承行
[00:02:48.900 --> 00:02:52.800]  不過在心態上是有很多的預備
[00:02:52.800 --> 00:02:55.500]  其實其中一樣東西
[00:02:55.500 --> 00:02:57.700]  我覺得我自己最覺得虧欠的
[00:02:57.700 --> 00:03:01.800]  就是我爸爸已經很大年紀了
[00:03:01.800 --> 00:03:03.800]  但是都沒有什麼機會
[00:03:03.800 --> 00:03:08.400]  去和我爸爸中國人所說
[00:03:08.400 --> 00:03:12.200]  做過大壽這樣的機會
[00:03:12.200 --> 00:03:15.500]  因為我爸爸今年已經八十多歲了
[00:03:15.500 --> 00:03:18.800]  按照他的身份證
[00:03:18.800 --> 00:03:20.600]  你知道他們那時候的年代
[00:03:20.600 --> 00:03:23.600]  那些身份證的年份
[00:03:23.600 --> 00:03:27.300]  是差不多靠猜的差不多登記而已
[00:03:27.300 --> 00:03:32.100]  但是回顧我爸爸這麼多年的日子
[00:03:32.100 --> 00:03:34.400]  和我自己和他的交往
[00:03:34.400 --> 00:03:38.700]  其實相處機會不是很多的
[00:03:38.700 --> 00:03:40.100]  可以說我和爸爸
[00:03:40.100 --> 00:03:43.400]  因為我爸爸每天都很早起床
[00:03:43.400 --> 00:03:48.100]  為了去辦貨、做生意
[00:03:48.100 --> 00:03:49.800]  當我睡覺的時候
[00:03:49.800 --> 00:03:53.200]  他就已經還沒回來
[00:03:53.200 --> 00:03:54.400]  所以這樣的日子
[00:03:54.400 --> 00:03:56.600]  其實相處不是很多
[00:03:56.600 --> 00:03:57.900]  但是我發現每次
[00:03:57.900 --> 00:04:00.600]  當我能夠單獨和我爸爸相處的時候
[00:04:00.600 --> 00:04:04.200]  都可以在他身上有一些見聞
[00:04:04.200 --> 00:04:06.200]  或者一些學習
[00:04:06.200 --> 00:04:07.200]  其中一樣東西
[00:04:07.200 --> 00:04:09.800]  我就想起主日崇拜
[00:04:09.800 --> 00:04:12.200]  我就想起以前我究竟主日
[00:04:12.200 --> 00:04:14.200]  或者星期日是怎麼過的
[00:04:14.200 --> 00:04:16.500]  其實以前我的星期日
[00:04:16.500 --> 00:04:18.100]  就沒回教會了
[00:04:18.100 --> 00:04:20.500]  很年輕的時候
[00:04:20.500 --> 00:04:23.400]  多數的活動
[00:04:23.400 --> 00:04:25.600]  或者見我爸爸就真的是星期日了
[00:04:25.600 --> 00:04:28.300]  星期日他就會和我們去喝茶
[00:04:28.300 --> 00:04:29.000]  早上
[00:04:29.000 --> 00:04:31.600]  我爸爸其實早上都會去喝茶
[00:04:31.600 --> 00:04:33.700]  因為他們的生意人
[00:04:33.700 --> 00:04:36.100]  全部都在茶樓談回來的
[00:04:36.100 --> 00:04:37.300]  但是星期日
[00:04:37.300 --> 00:04:39.900]  他就會和我們一家大小去喝茶
[00:04:39.900 --> 00:04:42.900]  多數就是我們兩兄弟
[00:04:42.900 --> 00:04:45.700]  說不如我們先去找位子
[00:04:45.700 --> 00:04:47.400]  後來爸爸來了
[00:04:47.400 --> 00:04:50.400]  但是其實多數都是我爸爸先去了找位子
[00:04:50.400 --> 00:04:51.100]  為什麼呢?
[00:04:51.100 --> 00:04:51.900]  因為他早起床了
[00:04:51.900 --> 00:04:53.000]  習慣了
[00:04:53.000 --> 00:04:55.000]  和他喝完茶之後
[00:04:55.000 --> 00:04:57.300]  通常我們就
[00:04:57.300 --> 00:04:58.800]  以前沒什麼事情做了
[00:04:58.800 --> 00:05:00.700]  回家玩玩
[00:05:00.700 --> 00:05:04.100]  也是無所謂地過了一天
[00:05:04.100 --> 00:05:06.100]  或者有時候走走百貨公司
[00:05:06.100 --> 00:05:07.400]  走走公園
[00:05:07.400 --> 00:05:08.700]  但是我記得
[00:05:08.700 --> 00:05:10.000]  我年輕的時候
[00:05:10.000 --> 00:05:12.000]  我爸爸曾經
[00:05:12.000 --> 00:05:15.400]  有一次在我媽媽的
[00:05:15.400 --> 00:05:16.800]  提議
[00:05:16.800 --> 00:05:19.500]  就說不如你帶個兒子去
[00:05:19.500 --> 00:05:21.000]  跟一下你今天吧
[00:05:21.000 --> 00:05:21.800]  我就覺得
[00:05:21.800 --> 00:05:22.700]  好了
[00:05:22.700 --> 00:05:25.400]  我爸爸和我出街
[00:05:25.400 --> 00:05:28.100]  其實原來我爸爸每一個星期日
[00:05:28.100 --> 00:05:29.900]  你以為他是下班了
[00:05:29.900 --> 00:05:31.700]  他其實不是去下班的
[00:05:31.700 --> 00:05:33.600]  因為他們做生意的
[00:05:33.600 --> 00:05:36.800]  通常由星期一做到星期六之後
