
[00:00:00.000 --> 00:00:03.280]  各位螢幕前的弟兄姊妹平安
[00:00:03.280 --> 00:00:06.480]  我很感謝李牧師邀請我
[00:00:06.480 --> 00:00:10.360]  來到太古城堂裏面跟大家分享
[00:00:10.360 --> 00:00:13.560]  我首先要介紹一下我自己
[00:00:13.560 --> 00:00:16.760]  我名字叫做譚永亨
[00:00:16.760 --> 00:00:21.760]  如果大家平時去太古城喝茶吃飯
[00:00:21.760 --> 00:00:24.640]  見到我可以跟我打招呼
[00:00:24.640 --> 00:00:26.160]  我也有時去那裏的
[00:00:26.160 --> 00:00:28.240]  你可以叫我亨
[00:00:28.240 --> 00:00:31.120]  可能你會很好奇
[00:00:31.120 --> 00:00:34.840]  為甚麼今天我會去到大家當中
[00:00:34.840 --> 00:00:36.920]  跟大家分享呢
[00:00:36.920 --> 00:00:38.800]  是這樣的
[00:00:38.800 --> 00:00:41.880]  因為我有兩個很獨特的身份
[00:00:41.880 --> 00:00:44.720]  讓李牧師一見到我
[00:00:44.720 --> 00:00:48.720]  就立即邀請我來到這裏
[00:00:48.720 --> 00:00:50.160]  會一會大家
[00:00:50.160 --> 00:00:55.200]  首先你會見到我在講壇上面
[00:00:55.200 --> 00:00:57.640]  你知道我是一個傳道人
[00:00:57.640 --> 00:01:03.800]  是的 我現在在中文大學崇基神學院讀書
[00:01:03.800 --> 00:01:07.560]  我也可以說我是一個傳道人
[00:01:07.560 --> 00:01:11.680]  另一方面可能這個鏡頭比較窄
[00:01:11.680 --> 00:01:15.960]  你不容易看到我是坐在輪椅上面
[00:01:15.960 --> 00:01:19.920]  即是說我是一個雙層人士
[00:01:19.920 --> 00:01:23.960]  我一出世就不可以走路
[00:01:23.960 --> 00:01:27.160]  我一出世就有人照顧
[00:01:27.160 --> 00:01:30.920]  成長裏面有很多很多的困難
[00:01:30.920 --> 00:01:36.560]  甚至有些人曾經很感嘆地跟我說
[00:01:36.560 --> 00:01:42.240]  究竟一個雙層人士有甚麼價值呢
[00:01:42.240 --> 00:01:45.840]  有甚麼在社會中的價值
[00:01:45.840 --> 00:01:50.440]  可以被一個雙層人士擁有呢
[00:01:50.440 --> 00:01:54.520]  是的 在人的心目中
[00:01:54.520 --> 00:01:56.880]  我的確遇到很多困難
[00:01:56.880 --> 00:01:59.680]  我的確有很多限制
[00:01:59.680 --> 00:02:03.040]  好像人生沒有甚麼意義
[00:02:03.040 --> 00:02:05.600]  但我可以肯定地跟大家說
[00:02:05.600 --> 00:02:08.320]  我的生命是有意義的
[00:02:08.320 --> 00:02:12.880]  我而且經歷著很精彩
[00:02:12.880 --> 00:02:16.600]  很傳奇的人生
[00:02:16.600 --> 00:02:19.640]  這個不是因為我有多特別
