
[00:00:00.000 --> 00:00:02.000]  我們先有個禱告
[00:00:02.000 --> 00:00:04.000]  親愛的聖靈我們禱告你
[00:00:04.000 --> 00:00:06.000]  我們願意將我們的心靈都交在你的面前
[00:00:06.000 --> 00:00:09.000]  願意上帝你為我們打開我們的心靈
[00:00:09.000 --> 00:00:13.000]  將你隱藏天國的奧秘為我們而打開
[00:00:13.000 --> 00:00:14.000]  讓我們能夠明白
[00:00:14.000 --> 00:00:16.000]  求主你讓我們去到耶穌的面前
[00:00:16.000 --> 00:00:19.000]  去學習扶這個鴨
[00:00:19.000 --> 00:00:21.000]  讓我們能夠有個輕散的膽子
[00:00:21.000 --> 00:00:24.000]  讓我們能夠明白福音的奧秘
[00:00:24.000 --> 00:00:27.000]  讓我們能夠知道上帝你的心意
[00:00:27.000 --> 00:00:29.000]  聖靈我求你不單讓我們能夠知道
[00:00:29.000 --> 00:00:31.000]  更一樣讓我們能夠走出來
[00:00:31.000 --> 00:00:32.000]  願你使用你的僕人
[00:00:32.000 --> 00:00:34.000]  今日孩子所預備的信息
[00:00:34.000 --> 00:00:35.000]  成為神你
[00:00:35.000 --> 00:00:38.000]  轉化我們生命的時候
[00:00:38.000 --> 00:00:40.000]  願上帝你的靈與我們同在
[00:00:40.000 --> 00:00:41.000]  奉耶穌基督的名求
[00:00:41.000 --> 00:00:43.000]  阿門
[00:00:43.000 --> 00:00:47.000]  我們今年有個年題
[00:00:47.000 --> 00:00:48.000]  有個月題
[00:00:48.000 --> 00:00:51.000]  所以將我們年題和月題連結起來
[00:00:51.000 --> 00:00:54.000]  所以我們看回我們的年題是甚麼
[00:00:54.000 --> 00:00:55.000]  作主門徒
[00:00:55.000 --> 00:00:56.000]  我們月題是甚麼
[00:00:56.000 --> 00:00:58.000]  安息中得力
[00:00:58.000 --> 00:01:00.000]  所以我選了一個題目叫做
[00:01:00.000 --> 00:01:02.000]  得安息作門徒
[00:01:02.000 --> 00:01:05.000]  是不是選了兩樣東西連在一起
[00:01:05.000 --> 00:01:08.000]  甚麼安息和門徒有甚麼關係呢
[00:01:08.000 --> 00:01:10.000]  我們看看瑪利福音第十一章
[00:01:10.000 --> 00:01:12.000]  可否給我們一些啟示
[00:01:12.000 --> 00:01:13.000]  特別我們很熟悉的
[00:01:13.000 --> 00:01:15.000]  瑪利福音第二十八章
[00:01:15.000 --> 00:01:16.000]  十八至二十字
[00:01:16.000 --> 00:01:18.000]  相信不需要再讀和背了
[00:01:18.000 --> 00:01:19.000]  應該大家都很熟悉
