
[00:00:00.000 --> 00:00:03.700]  今天跟大家分享的題目叫做「那夜星光閃耀」
[00:00:03.700 --> 00:00:08.160]  那個晚上曾經顯現的星星
[00:00:08.160 --> 00:00:12.080]  令這一群不時在夜露撒冷居住
[00:00:12.080 --> 00:00:16.880]  在很多學者說可能是波斯的地方的一些星象學家
[00:00:16.880 --> 00:00:21.640]  他們從遠方望見有一顆很特別的亮星
[00:00:21.640 --> 00:00:25.800]  而這個星也引導他們去研究思考
[00:00:25.800 --> 00:00:28.200]  原來在他們一些很微薄的知識
[00:00:28.200 --> 00:00:29.840]  一點點的啟示裏面
[00:00:30.200 --> 00:00:32.920]  他們覺得他們要向著這個方向走
[00:00:32.920 --> 00:00:36.040]  向著去尋索星給他們的啟示
[00:00:36.040 --> 00:00:39.440]  而這個星正正正引導他們的心
[00:00:39.440 --> 00:00:43.560]  他們說我要來去拜這位新生的王
[00:00:43.560 --> 00:00:47.680]  那一夜星光指引他們
[00:00:47.680 --> 00:00:50.000]  後來他們來到夜露撒冷
[00:00:50.000 --> 00:00:52.120]  他們朝見這個希律和
[00:00:52.120 --> 00:00:55.040]  得到的啟示是去到伯利恆
[00:00:55.040 --> 00:00:58.760]  那個星再次出現去啟示他們
[00:00:59.680 --> 00:01:02.960]  丁姐妹今天我們就從這段經文裏面
[00:01:02.960 --> 00:01:05.000]  去認識和明白
[00:01:05.000 --> 00:01:09.360]  今天上帝留下這段經文給我們的啟示是甚麼
[00:01:09.360 --> 00:01:11.800]  我們先去看這段經文
[00:01:11.800 --> 00:01:14.400]  《馬太方》二章一至十二節
[00:01:14.400 --> 00:01:17.320]  請丁姐妹先聽我讀出
[00:01:17.320 --> 00:01:22.280]  當時是希律王的時候
[00:01:22.280 --> 00:01:24.120]  是希律王的管治
[00:01:24.120 --> 00:01:27.200]  耶穌送在猶太的伯利恆
[00:01:28.040 --> 00:01:30.040]  正如我們剛才所說有幾位博士
[00:01:30.040 --> 00:01:32.560]  從遠方看見這個星的啟示
[00:01:32.560 --> 00:01:35.600]  他從東方來到夜露撒冷
[00:01:35.600 --> 00:01:37.840]  究竟走了多少段路不知道
[00:01:37.840 --> 00:01:40.240]  不過他們從來沒有放棄
[00:01:40.240 --> 00:01:42.360]  來到之後他們朝拜
[00:01:42.360 --> 00:01:46.120]  向這個大希律王去發問一個問題
[00:01:46.120 --> 00:01:50.040]  他說那生下來作猶太人之王的在哪裏
[00:01:50.040 --> 00:01:52.560]  我們在東方看見他的星
[00:01:52.560 --> 00:01:54.040]  得來拜他
[00:01:54.040 --> 00:01:57.280]  希律王聽見之後
[00:01:57.880 --> 00:02:01.280]  這個希律王的反應遠遠不及
[00:02:01.280 --> 00:02:02.200]  或者這樣說
