
[00:00:00.000 --> 00:00:01.920]  好,今天的講道題目
[00:00:01.920 --> 00:00:04.800]  是頭影片上所講的
[00:00:04.800 --> 00:00:06.520]  約翰福音神蹟
[00:00:06.520 --> 00:00:08.020]  「括弧六」
[00:00:08.020 --> 00:00:11.320]  「括弧六」就有一個意思
[00:00:11.320 --> 00:00:12.920]  就是「六」
[00:00:12.920 --> 00:00:15.700]  就是前面有1、2、3、4、5
[00:00:15.700 --> 00:00:19.980]  大家如果忘記了或者忘記了
[00:00:19.980 --> 00:00:22.400]  有心的也可以
[00:00:22.400 --> 00:00:28.160]  回到之前的錄音那裡去聽
[00:00:28.600 --> 00:00:30.900]  今天講「六」
[00:00:30.900 --> 00:00:32.560]  有很多神蹟的
[00:00:32.560 --> 00:00:36.000]  我們之前已經講了1、2、3、4、5
[00:00:36.000 --> 00:00:37.920]  這次是講第六個神蹟
[00:00:37.920 --> 00:00:41.960]  上一次講第五個神蹟的時候
[00:00:41.960 --> 00:00:43.780]  我也特別有提過
[00:00:43.780 --> 00:00:47.700]  在神蹟的結構和數目上
[00:00:47.700 --> 00:00:49.040]  有一個意思的
[00:00:49.040 --> 00:00:52.360]  按表面的數目來看
[00:00:52.360 --> 00:00:54.200]  現在已經到了第六個神蹟
[00:00:54.200 --> 00:00:55.720]  過了一半了
[00:00:55.720 --> 00:00:57.020]  過了一半了
[00:00:57.020 --> 00:01:00.200]  有傳統上說約翰福音是七個神蹟
[00:01:00.200 --> 00:01:04.580]  上次我就說用八個神蹟來看
[00:01:04.580 --> 00:01:06.700]  所以八個神蹟裡面
[00:01:06.700 --> 00:01:09.440]  一半就是第四和第五了
[00:01:09.440 --> 00:01:11.600]  因此第四和第五
[00:01:11.600 --> 00:01:15.160]  在上次解釋了就好像混在一起
[00:01:15.160 --> 00:01:17.260]  第四個神蹟和第五個神蹟
[00:01:17.260 --> 00:01:20.300]  因為第四個神蹟是五餅二魚
[00:01:20.300 --> 00:01:22.860]  五餅二魚大家很記得了
[00:01:22.860 --> 00:01:24.320]  在五餅二魚
[00:01:24.320 --> 00:01:28.200]  我講這個神蹟的時候特別跟大家講的焦點
[00:01:28.200 --> 00:01:29.200]  你要注意
[00:01:29.200 --> 00:01:32.240]  不是說幾個餅、幾個魚變成食物
[00:01:32.240 --> 00:01:34.260]  這個這麼簡單
[00:01:34.260 --> 00:01:36.060]  這個當然不簡單
[00:01:36.060 --> 00:01:38.000]  但是不是這麼簡單
[00:01:38.000 --> 00:01:40.480]  而是最重要耶穌或者約翰
[00:01:40.480 --> 00:01:42.640]  藉著這個五餅二魚的神蹟
[00:01:42.640 --> 00:01:46.720]  想講出後面耶穌講的一大段話
[00:01:46.720 --> 00:01:47.740]  是什麼呢?
[00:01:47.740 --> 00:01:48.540]  就是說
[00:01:48.540 --> 00:01:51.080]  耶穌是生命的糧
[00:01:52.040 --> 00:01:54.340]  有耶穌作為生命的糧
[00:01:54.340 --> 00:01:59.000]  比起我們肉身上要得到糧食、得到飽足
[00:01:59.000 --> 00:02:00.540]  更加重要
[00:02:00.540 --> 00:02:02.080]  這是那個信息
[00:02:02.080 --> 00:02:04.740]  然後就走了一個很小的神蹟
[00:02:04.740 --> 00:02:05.780]  在海上行走
[00:02:05.780 --> 00:02:06.900]  上次我們解釋過了
[00:02:06.900 --> 00:02:08.280]  也是很重要的
[00:02:08.280 --> 00:02:11.180]  就是耶穌很想與人同在
[00:02:11.180 --> 00:02:15.780]  特別是當人遇到患難、遇到困苦的時候
[00:02:15.780 --> 00:02:19.180]  耶穌是主動飛過來要與我們同在
[00:02:19.720 --> 00:02:23.640]  今天有時候我們形容那些直昇機父母
[00:02:23.640 --> 00:02:25.640]  差不多了
[00:02:25.640 --> 00:02:27.720]  耶穌對我們人的愛勸
[00:02:27.720 --> 00:02:30.200]  就是當我們有困難、有困苦
[00:02:30.200 --> 00:02:31.460]  需要幫助的時候
[00:02:31.460 --> 00:02:32.860]  祂就會飛過來
[00:02:32.860 --> 00:02:34.980]  讓我們去明白
[00:02:34.980 --> 00:02:37.080]  有這個安全感
[00:02:37.080 --> 00:02:39.460]  知道我們如果有事的時候
[00:02:39.460 --> 00:02:41.600]  耶穌不會避開我們
[00:02:41.600 --> 00:02:43.540]  這次過了一半
[00:02:43.540 --> 00:02:45.000]  到了第六個神蹟
[00:02:45.000 --> 00:02:47.100]  通常事件過了一半
[00:02:47.100 --> 00:02:49.920]  是什麼意思呢?就是達到高峰
[00:02:49.920 --> 00:02:51.600]  例如你行山
[00:02:51.600 --> 00:02:54.160]  國人之妹撞開行山
[00:02:54.160 --> 00:02:56.680]  走到最高峰
[00:02:56.680 --> 00:02:58.120]  很開心
[00:02:58.120 --> 00:02:59.800]  看到美麗的風景
[00:02:59.800 --> 00:03:02.040]  然後走了一半就下山了
[00:03:02.040 --> 00:03:04.900]  一半是有這樣的意思
[00:03:04.900 --> 00:03:07.300]  這次過了一半
[00:03:07.300 --> 00:03:08.480]  我們再看下去
[00:03:08.480 --> 00:03:10.200]  大家就會看到
[00:03:10.200 --> 00:03:12.020]  過了一半的時候
[00:03:12.020 --> 00:03:13.300]  在這個時刻
[00:03:13.300 --> 00:03:16.180]  約翰在鋪排上就要廣播
[00:03:16.180 --> 00:03:18.880]  我們聽到一個很重要的訊息
[00:03:18.880 --> 00:03:21.180]  就是他這麼多個神蹟裡面
[00:03:21.180 --> 00:03:22.580]  包裝起來
