
[00:00:00.000 --> 00:00:02.000]  恩主我們獻上感恩
[00:00:02.000 --> 00:00:04.000]  是祢的愛
[00:00:04.000 --> 00:00:06.000]  讓我們可以被焦聚
[00:00:06.000 --> 00:00:08.000]  今天可以在這裡
[00:00:08.000 --> 00:00:10.000]  經歷祢的恩典和豐富
[00:00:10.000 --> 00:00:12.000]  願祢賜福
[00:00:12.000 --> 00:00:14.000]  願祢開我們的眼睛
[00:00:14.000 --> 00:00:16.000]  開我們的耳朵
[00:00:16.000 --> 00:00:18.000]  開我們的心去親近祢
[00:00:18.000 --> 00:00:20.000]  沾揚祢的榮光
[00:00:20.000 --> 00:00:22.000]  有緣僕人口中的言語
[00:00:22.000 --> 00:00:24.000]  弟兄姊妹之間的心思意念
[00:00:24.000 --> 00:00:26.000]  蒙聖靈的啟迪
[00:00:26.000 --> 00:00:28.000]  蒙主的月立
[00:00:28.000 --> 00:00:30.000]  弟兄姊妹剛才聽到
[00:00:30.000 --> 00:00:32.000]  這段聖經希伯來書
[00:00:32.000 --> 00:00:34.000]  十一章一到十六節
[00:00:34.000 --> 00:00:36.000]  我們可以打開手上的聖經
[00:00:36.000 --> 00:00:38.000]  或者投影相片
[00:00:38.000 --> 00:00:40.000]  這段聖經裡面不斷提到
[00:00:40.000 --> 00:00:42.000]  幾個字
[00:00:42.000 --> 00:00:44.000]  恩著信
[00:00:44.000 --> 00:00:46.000]  恩著信
[00:00:46.000 --> 00:00:48.000]  信這個字相信在我們
[00:00:48.000 --> 00:00:50.000]  信徒的群體裡面
[00:00:50.000 --> 00:00:52.000]  是很重要的
[00:00:52.000 --> 00:00:54.000]  如果我問大家
[00:00:54.000 --> 00:00:56.000]  你覺得自己的信
[00:00:56.000 --> 00:00:58.000]  是大還是小
[00:00:58.000 --> 00:01:00.000]  你會怎樣回答我
[00:01:00.000 --> 00:01:02.000]  誰覺得自己的信是大的
[00:01:02.000 --> 00:01:04.000]  好,有幾個
[00:01:04.000 --> 00:01:06.000]  誰覺得自己的信是小的
[00:01:06.000 --> 00:01:08.000]  小小的
[00:01:08.000 --> 00:01:10.000]  更多就沒有舉手
[00:01:10.000 --> 00:01:12.000]  可能還有牧師
[00:01:12.000 --> 00:01:14.000]  我不是大不是小,不過沒有什麼
[00:01:14.000 --> 00:01:16.000]  不敢說
[00:01:16.000 --> 00:01:18.000]  小到不敢出聲
[00:01:18.000 --> 00:01:20.000]  不知信這個字對你有什麼感受
[00:01:20.000 --> 00:01:22.000]  不過起碼最少每個禮拜
[00:01:22.000 --> 00:01:24.000]  回來崇拜
[00:01:24.000 --> 00:01:26.000]  唸士奴信經
[00:01:26.000 --> 00:01:28.000]  我信上帝,我信主耶穌
[00:01:28.000 --> 00:01:30.000]  我信聖靈,我信教會
