
[00:00:00.000 --> 00:00:03.000]  聽眾會平安,我們先一齊祈禱
[00:00:03.000 --> 00:00:08.000]  各位天父感謝您的恩典,讓我們在今天的清晨可以聚集正拜您
[00:00:08.000 --> 00:00:14.000]  今天我們要開始看《以西結書》的時候,求主您幫助我們
[00:00:14.000 --> 00:00:19.000]  都看得到《以西結書》先生看到的異象,就是上主的榮耀
[00:00:19.000 --> 00:00:25.000]  以後有時間都求主幫助帶領我們,奉耶穌基督的名祈禱,阿們
[00:00:28.000 --> 00:00:36.000]  兩個星期之前我跟大家講馬太福音的第一段,就是耶穌的家譜
[00:00:36.000 --> 00:00:44.000]  那個家譜其實有幾個特色,在它和聖經中的其他家譜是不同的
[00:00:44.000 --> 00:00:48.000]  我相信從那幾個特色我們可以看到
[00:00:53.000 --> 00:01:00.000]  馬太並不是單單想我們看到耶穌是有血有肉有家譜
[00:01:00.000 --> 00:01:04.000]  那個家譜同時是一個神樂的宣告
[00:01:04.000 --> 00:01:11.000]  一般猶太人的家譜都是人生人,誰生誰,A生B
[00:01:11.000 --> 00:01:16.000]  並且如果你留心看,都是男人生男人,不關女人事
[00:01:18.000 --> 00:01:23.000]  但是馬太的家譜其中一個特色,就是有一次的轉折點
[00:01:23.000 --> 00:01:26.000]  連人都不提了,就提歷史事件
[00:01:26.000 --> 00:01:31.000]  在馬太福音一週十一節那裡,他就提到
[00:01:31.000 --> 00:01:36.000]  就是百姓被擄到巴比倫的時候
[00:01:36.000 --> 00:01:41.000]  然後十二節又說,遷到巴比倫之後
[00:01:43.000 --> 00:01:51.000]  但是如果我們不是很熟悉猶太人被擄的歷史
[00:01:51.000 --> 00:01:56.000]  那我們以為這兩句話其實沒什麼分別
[00:01:56.000 --> 00:02:02.000]  但是今天我希望大家一定要學習了解
[00:02:02.000 --> 00:02:06.000]  猶太人這一段所謂被擄的歷史
[00:02:07.000 --> 00:02:16.000]  或者叫遷徙,被流放的歷史,其實一共是發生了三次
[00:02:16.000 --> 00:02:20.000]  前後差不多相隔了二十年
[00:02:20.000 --> 00:02:25.000]  所以一張十一節說被遷到巴比倫的時候是開始的
[00:02:25.000 --> 00:02:31.000]  十二節說到結尾,其實這兩節差了二十年了
