
[00:00:00.000 --> 00:00:03.400]  頂姊妹我們繼續以聆聽神的話語
[00:00:03.400 --> 00:00:05.600]  去敬拜上帝
[00:00:05.600 --> 00:00:08.200]  我想大家打開你們的程序表裏面
[00:00:08.200 --> 00:00:13.000]  今日的講題是最後晚餐與新的開始
[00:00:13.000 --> 00:00:16.600]  就著今天啟福堂第一次新的開始
[00:00:16.600 --> 00:00:19.200]  去第一次在這個地方敬拜
[00:00:19.200 --> 00:00:25.000]  屈福堂頂姊妹付出了很多人力物力
[00:00:25.000 --> 00:00:27.000]  幫我們開展了這個堂會
[00:00:27.000 --> 00:00:30.000]  新的開始讓我們一起讀
[00:00:30.000 --> 00:00:34.000]  約翰福音十二章二十四和二十五節
[00:00:34.000 --> 00:00:38.000]  約翰福音十二章二十四和二十五節
[00:00:38.000 --> 00:00:39.000]  找到我們一起讀出
[00:00:39.000 --> 00:00:41.000]  預備起
[00:00:41.000 --> 00:00:44.000]  我們慢慢口齊地再讀一次
[00:00:44.000 --> 00:00:47.000]  預備起
[00:00:47.000 --> 00:00:51.000]  我們再一次在神面前禱告
[00:00:51.000 --> 00:00:53.000]  慈悲仁愛天父
[00:00:53.000 --> 00:00:55.000]  我們感謝你因為是耶穌基督
[00:00:55.000 --> 00:00:58.000]  他展現了這個聖經的真理
[00:00:58.000 --> 00:00:59.000]  耶穌自己說
[00:00:59.000 --> 00:01:02.000]  一粒麥子若不落在地裏死了
[00:01:02.000 --> 00:01:05.000]  就不會結出更多的果子
[00:01:05.000 --> 00:01:08.000]  我們的生命好像種子一樣
[00:01:08.000 --> 00:01:11.000]  原來生命有一個重要的法則
[00:01:11.000 --> 00:01:14.000]  就是我們要好像一粒種子一樣
[00:01:14.000 --> 00:01:17.000]  完成了自己的使命
[00:01:17.000 --> 00:01:20.000]  就可以結出很多生命的果實
[00:01:20.000 --> 00:01:22.000]  求你指教我們
[00:01:22.000 --> 00:01:24.000]  讓你的生命榜樣
[00:01:24.000 --> 00:01:27.000]  成為我們今天面對人生各樣挑戰
[00:01:27.000 --> 00:01:30.000]  的功課和學習
[00:01:30.000 --> 00:01:34.000]  聽我們同心禱告奉耶穌基督的聖名
[00:01:34.000 --> 00:01:37.000]  好,我請panel幫我show
[00:01:37.000 --> 00:01:39.000]  我們啟福堂有個logo的
[00:01:39.000 --> 00:01:43.000]  第一幅是不是logo呀?
[00:01:43.000 --> 00:01:45.000]  未呀
[00:01:45.000 --> 00:01:48.000]  我們第一次配合的在這裏
[00:01:48.000 --> 00:01:52.000]  好近呀,我就這樣跟他說
[00:01:52.000 --> 00:01:56.000]  有沒有見到那個
[00:01:56.000 --> 00:02:00.000]  有一個檔案
[00:02:00.000 --> 00:02:04.000]  聽得到嗎?
[00:02:04.000 --> 00:02:06.000]  見到我們啟福的logo嗎?
[00:02:06.000 --> 00:02:08.000]  有沒有見到那個獅子山呀?
[00:02:08.000 --> 00:02:10.000]  見到呀
[00:02:10.000 --> 00:02:13.000]  我們說從獅子山下直到地極
[00:02:13.000 --> 00:02:14.000]  去為主作見證
[00:02:14.000 --> 00:02:16.000]  啟福堂的名字呢
[00:02:16.000 --> 00:02:18.000]  我們主要是
[00:02:18.000 --> 00:02:21.000]  對面有啟甚麼呀?
[00:02:21.000 --> 00:02:23.000]  對面有很多啟呀
[00:02:23.000 --> 00:02:25.000]  有啟澄呀
[00:02:25.000 --> 00:02:27.000]  有啟德呀
[00:02:27.000 --> 00:02:29.000]  有啟德一號呀
[00:02:29.000 --> 00:02:32.000]  還有甚麼呀?
[00:02:32.000 --> 00:02:34.000]  還有很多啟呀
[00:02:34.000 --> 00:02:35.000]  還有
[00:02:35.000 --> 00:02:36.000]  不是啟田呀
[00:02:36.000 --> 00:02:40.000]  啟田在藍田呀
[00:02:40.000 --> 00:02:44.000]  遲些對面又會有個啟德的港鐵站呀
[00:02:44.000 --> 00:02:46.000]  所以我們想了一輪
[00:02:46.000 --> 00:02:48.000]  就決定叫啟福堂
[00:02:48.000 --> 00:02:51.000]  我們選了一個聖經
[00:02:51.000 --> 00:02:54.000]  我們想定義做一個甚麼的教會呢?
[00:02:54.000 --> 00:02:57.000]  我們叫IDMCC
[00:02:57.000 --> 00:03:00.000]  你有沒有想過MCC即是蒙查查那些呢?
[00:03:00.000 --> 00:03:01.000]  IDMCC即是一個
[00:03:01.000 --> 00:03:03.000]  銳意培育門徒
[00:03:03.000 --> 00:03:05.000]  Intentional Disciple Making
[00:03:05.000 --> 00:03:07.000]  這個是主的命令呀
[00:03:07.000 --> 00:03:10.000]  是一個銳意培育門徒
[00:03:10.000 --> 00:03:14.000]  培育門徒的生命的社區教會
[00:03:14.000 --> 00:03:15.000]  所以我們叫
[00:03:15.000 --> 00:03:17.000]  Intentional Disciple Making
[00:03:17.000 --> 00:03:19.000]  Community Church
[00:03:19.000 --> 00:03:20.000]  好長呀
[00:03:20.000 --> 00:03:23.000]  但是無論你怎麼叫呢
[00:03:23.000 --> 00:03:26.000]  我們教會存在的目的就是按照聖經所講
[00:03:26.000 --> 00:03:28.000]  我們要去傳福音
[00:03:28.000 --> 00:03:30.000]  幫未信主的人
[00:03:30.000 --> 00:03:31.000]  信主
[00:03:31.000 --> 00:03:32.000]  信主的人
[00:03:32.000 --> 00:03:33.000]  去跟從主
[00:03:33.000 --> 00:03:35.000]  做主的門徒
[00:03:35.000 --> 00:03:37.000]  做主的門徒然後在
[00:03:37.000 --> 00:03:39.000]  我們坐落的地方
[00:03:39.000 --> 00:03:40.000]  我們生活的地區
[00:03:40.000 --> 00:03:42.000]  去服侍主
[00:03:42.000 --> 00:03:44.000]  將祝福帶給周圍所有的人
[00:03:44.000 --> 00:03:46.000]  所以我希望這件事是不會變的
[00:03:46.000 --> 00:03:48.000]  好像我們窩福堂舞會一樣
[00:03:48.000 --> 00:03:50.000]  是要建立
[00:03:50.000 --> 00:03:53.000]  有胸懷普世基督的門徒
[00:03:53.000 --> 00:03:56.000]  我們窩福堂也有好鄰舍計劃
[00:03:56.000 --> 00:03:58.000]  而真正
