
[00:00:00.000 --> 00:00:01.300]  各位領子們 早晨
[00:00:01.300 --> 00:00:07.000]  今天我們進入新的講道系列
[00:00:07.000 --> 00:00:10.200]  第二講 經得起考驗的喜樂
[00:00:10.200 --> 00:00:13.900]  我不知道此刻你怎樣形容你的生命
[00:00:13.900 --> 00:00:17.800]  你的人生是喜喜樂樂
[00:00:17.800 --> 00:00:20.100]  還是樂樂樂樂這樣呢
[00:00:20.100 --> 00:00:21.600]  最近有一個
[00:00:21.600 --> 00:00:25.000]  在馬來西亞有一個創作歌手
[00:00:25.000 --> 00:00:27.800]  作了這首歌 人生喜喜樂樂樂樂
[00:00:28.600 --> 00:00:31.000]  我不知道在你的生命裏頭
[00:00:31.000 --> 00:00:33.800]  你經歷喜多還是樂多呢
[00:00:33.800 --> 00:00:38.000]  當我們很多計劃都如願如常
[00:00:38.000 --> 00:00:40.800]  當然我們會覺得很好
[00:00:40.800 --> 00:00:43.000]  很快樂滿足
[00:00:43.000 --> 00:00:45.600]  但是當諸事不順的時候
[00:00:45.600 --> 00:00:47.800]  諸事不順的時候
[00:00:47.800 --> 00:00:50.000]  可能都會面對很多衝擊
[00:00:50.000 --> 00:00:51.400]  試煉臨到的時候
[00:00:51.400 --> 00:00:53.500]  我們怎樣能夠保持喜樂呢
[00:00:53.500 --> 00:00:57.100]  特別當我們說我們要俗世清泉
[00:00:57.800 --> 00:01:00.000]  其中有一個特質很重要
[00:01:00.000 --> 00:01:04.000]  縱使面對世界環境不斷的變遷
[00:01:04.000 --> 00:01:06.400]  可能很多負面的新聞的時候
[00:01:06.400 --> 00:01:09.600]  我們怎樣能夠仍然在神的裏面
[00:01:09.600 --> 00:01:12.200]  有著一份喜樂的心呢
[00:01:12.200 --> 00:01:15.800]  如果我們說要等到這些試煉都過去了
[00:01:15.800 --> 00:01:17.400]  才能夠喜樂的話
[00:01:17.400 --> 00:01:20.400]  我相信我們相信了這麼多年
[00:01:20.400 --> 00:01:22.800]  我們都明白是搞不定的
[00:01:22.800 --> 00:01:24.800]  過去了 不知道過多久
[00:01:24.800 --> 00:01:26.600]  可能到自己翻天覆地的時候
[00:01:26.600 --> 00:01:28.000]  才可能過去了
[00:01:28.000 --> 00:01:29.200]  不是這樣的
