
[00:00:00.000 --> 00:00:03.500]  我們來到與神同行的第二講
[00:00:03.500 --> 00:00:05.900]  上星期已經開始了今季的題目
[00:00:05.900 --> 00:00:07.300]  這個方向
[00:00:07.300 --> 00:00:10.000]  這個講道系列帶領我們一起
[00:00:10.000 --> 00:00:13.300]  用尼軒迷記去探索一下
[00:00:13.300 --> 00:00:16.800]  神對我們個人和教會有什麼的引領
[00:00:16.800 --> 00:00:18.400]  有些怎樣去辨識
[00:00:18.400 --> 00:00:21.300]  以致我們一同可以去回應
[00:00:21.300 --> 00:00:24.100]  我們在神裡面領受的引領
[00:00:24.100 --> 00:00:28.200]  以及神給教會給因傳家一個的異象
[00:00:28.200 --> 00:00:29.300]  特別在建堂
[00:00:29.300 --> 00:00:30.400]  我們現在的時候
[00:00:30.400 --> 00:00:33.900]  所以我們每一次的最後一個段落
[00:00:33.900 --> 00:00:36.800]  都有一點點的見證分享
[00:00:36.800 --> 00:00:38.200]  同證主因
[00:00:38.200 --> 00:00:40.100]  很期待的那個
[00:00:40.100 --> 00:00:42.800]  因為一定會看到一些故事
[00:00:42.800 --> 00:00:47.000]  再看看過去十年當中發生了什麼事
[00:00:47.000 --> 00:00:48.800]  神怎樣帶領
[00:00:48.800 --> 00:00:50.400]  今天我們要分享的就是
[00:00:50.400 --> 00:00:52.600]  尼軒迷記第二章一節八節
[00:00:52.600 --> 00:00:56.200]  是上一講緊貼神的視野的一個延續
[00:00:56.200 --> 00:00:58.400]  就是渴望神的引領
[00:00:58.400 --> 00:01:01.200]  讓我們一同用心去渴望神
[00:01:01.200 --> 00:01:02.700]  好嗎 一起祈禱
[00:01:02.700 --> 00:01:04.000]  所以天父我們感謝祢
[00:01:04.000 --> 00:01:07.200]  感謝祢自己的帶領
[00:01:07.200 --> 00:01:09.600]  求祢潔淨我們
[00:01:09.600 --> 00:01:12.200]  帶領我們去祢面前
[00:01:12.200 --> 00:01:14.300]  開啟我們耳朵
[00:01:14.300 --> 00:01:15.600]  開啟我們眼目
[00:01:15.600 --> 00:01:17.300]  開啟我們的心
[00:01:17.300 --> 00:01:19.500]  讓祢自己的話語進入
[00:01:19.500 --> 00:01:21.700]  讓祢自己的靈改變我們
[00:01:21.700 --> 00:01:24.300]  奉主耶穌基督聖名祈求
[00:01:24.300 --> 00:01:25.800]  Amen
[00:01:25.800 --> 00:01:29.400]  Dee Carson就是一個加拿大福音派的神學家
[00:01:29.400 --> 00:01:30.100]  他說
[00:01:30.100 --> 00:01:32.900]  禱告是平衡神的主權
[00:01:32.900 --> 00:01:35.800]  和行動需要之間的橋樑
[00:01:35.800 --> 00:01:37.100]  上帝的主權就是
[00:01:37.100 --> 00:01:39.900]  我們相信上帝掌管一切
[00:01:39.900 --> 00:01:44.400]  並對世界上所有的事物都掌握當中
[00:01:44.400 --> 00:01:45.800]  因為祂有最終的權威
[00:01:45.800 --> 00:01:47.000]  最終的力量
[00:01:47.000 --> 00:01:49.000]  所以如果未經祂同意
[00:01:49.000 --> 00:01:50.600]  就不會發生
[00:01:50.600 --> 00:01:51.900]  而我們有行動需要
[00:01:51.900 --> 00:01:54.100]  就是我們人類有責任
[00:01:54.100 --> 00:01:55.500]  要採取行動
[00:01:55.500 --> 00:01:57.100]  我們要在我們的生活
[00:01:57.100 --> 00:01:58.500]  大小事情裏面
[00:01:58.500 --> 00:01:59.700]  各方面裏面
[00:01:59.700 --> 00:02:01.100]  都有做決定
[00:02:01.100 --> 00:02:02.200]  就不是被動
[00:02:02.200 --> 00:02:04.900]  在那裏等事情發生
[00:02:04.900 --> 00:02:06.400]  守株待兔
[00:02:06.400 --> 00:02:09.800]  所以在尼軒米這個生命故事當中
[00:02:09.800 --> 00:02:10.900]  我們可以看到
[00:02:10.900 --> 00:02:14.500]  究竟尼軒米是怎樣去渴望上帝引領
[00:02:14.500 --> 00:02:16.100]  在祂的禱告那裏
[00:02:16.100 --> 00:02:18.700]  怎樣平衡上帝有主權
[00:02:18.700 --> 00:02:22.200]  但是祂也要作出有行動
[00:02:22.200 --> 00:02:26.100]  在當中怎樣尋求上帝自己的引領
[00:02:26.100 --> 00:02:27.900]  上回說到
[00:02:27.900 --> 00:02:31.400]  上回說到好像連續劇一樣
[00:02:31.400 --> 00:02:34.700]  那尼軒米的第一章就說到
[00:02:34.700 --> 00:02:37.700]  尼軒米得知耶路撒冷這個城牆
[00:02:37.700 --> 00:02:39.500]  就消滅了
[00:02:39.500 --> 00:02:42.500]  內心是非常之悲傷
[00:02:42.500 --> 00:02:44.300]  很想念那裏的人
[00:02:44.300 --> 00:02:47.200]  很想念那裏的事情
[00:02:47.200 --> 00:02:48.800]  那祂就向上帝禱告
[00:02:48.800 --> 00:02:49.900]  大家記不記得
[00:02:49.900 --> 00:02:51.600]  第一章那個禱告
[00:02:51.600 --> 00:02:53.700]  今天來到第二章
[00:02:53.700 --> 00:02:55.800]  祂一開始就說到
[00:02:55.800 --> 00:02:59.500]  這個是亞達舍西王二十年尼散月
[00:02:59.500 --> 00:03:01.600]  在第一章的開頭祂說什麼
[00:03:01.600 --> 00:03:05.300]  是亞達舍西王二十年的基斯流月
[00:03:05.300 --> 00:03:06.800]  不是飛機士的基斯
