
[00:00:00.000 --> 00:00:06.000]  那我今天分享的經文,應該大家都略有聽過
[00:00:06.000 --> 00:00:08.000]  有沒有人是第一次讀這個經文?
[00:00:08.000 --> 00:00:10.000]  都沒有
[00:00:10.000 --> 00:00:13.000]  有沒有人是第一次讀新譯本的經文?
[00:00:13.000 --> 00:00:15.000]  都沒有吧?
[00:00:15.000 --> 00:00:17.000]  有些人是吧?
[00:00:17.000 --> 00:00:21.000]  因為新譯本跟我們過去和合本讀的版本的翻譯上高
[00:00:21.000 --> 00:00:24.000]  其實有幾明顯的不一樣
[00:00:24.000 --> 00:00:26.000]  所以當我去準備的時候
[00:00:26.000 --> 00:00:28.000]  我都特別留意全印堂是用新譯本的聖經
[00:00:28.000 --> 00:00:32.000]  所以我在新譯本的聖經裏面多了少少的著墨
[00:00:32.000 --> 00:00:34.000]  關於翻譯上高
[00:00:34.000 --> 00:00:36.000]  那我今天的講題就是獻我一串光陰
[00:00:36.000 --> 00:00:37.000]  得著一串福音
[00:00:37.000 --> 00:00:42.000]  經過一馬太福音的二十五章十四節到三十節那裏
[00:00:42.000 --> 00:00:47.000]  我們先看看整個比喻講了些什麼人物
[00:00:47.000 --> 00:00:49.000]  首先就是有一位主人
[00:00:49.000 --> 00:00:52.000]  主人他要去到出院門
[00:00:52.000 --> 00:00:56.000]  然後他分別分了三萬個銀幣
[00:00:56.000 --> 00:00:57.000]  一萬二千個銀幣
[00:00:57.000 --> 00:01:00.000]  和六千個銀幣
[00:01:00.000 --> 00:01:02.000]  首先我問大家一個問題就是
[00:01:02.000 --> 00:01:05.000]  當大家去讀這個比喻的時候
[00:01:05.000 --> 00:01:08.000]  你覺得自己是哪個僕人?
[00:01:08.000 --> 00:01:11.000]  或者甚至你可能覺得自己是主人都可以
[00:01:11.000 --> 00:01:13.000]  但是當我們看一個比喻的時候
[00:01:13.000 --> 00:01:16.000]  我們通常需要代入某一些角色
[00:01:16.000 --> 00:01:19.000]  有沒有人覺得自己是主人?
[00:01:19.000 --> 00:01:21.000]  沒有人舉手
[00:01:21.000 --> 00:01:24.000]  領三萬個銀幣的呢?
[00:01:24.000 --> 00:01:26.000]  都沒有人舉手
[00:01:26.000 --> 00:01:31.000]  一萬二千個銀幣的呢?
[00:01:31.000 --> 00:01:34.000]  看到有些手了但是都好笑
[00:01:34.000 --> 00:01:37.000]  領六千個銀幣的呢?
[00:01:37.000 --> 00:01:38.000]  有些人舉
[00:01:38.000 --> 00:01:40.000]  我多一點點
[00:01:40.000 --> 00:01:44.000]  我太太已經和我去不同的地方
[00:01:44.000 --> 00:01:46.000]  都用過同樣的經文去問
[00:01:46.000 --> 00:01:50.000]  大部分的頂姐妹都是
[00:01:50.000 --> 00:01:54.000]  不會說自己是領三萬個銀幣的那個
[00:01:54.000 --> 00:01:58.000]  接著可能有少數是一萬二千
[00:01:58.000 --> 00:02:00.000]  有少數是六千
[00:02:00.000 --> 00:02:03.000]  大概情況都是這樣
[00:02:03.000 --> 00:02:05.000]  我們先看一下新譯本
[00:02:05.000 --> 00:02:07.000]  它給多了資訊
[00:02:07.000 --> 00:02:10.000]  我們以前經常會說是領五千
[00:02:10.000 --> 00:02:13.000]  和領二千和領一千
[00:02:13.000 --> 00:02:15.000]  我們以前如果讀過合本
[00:02:15.000 --> 00:02:17.000]  我們就會讀成這樣
[00:02:17.000 --> 00:02:19.000]  現在新譯本它給多了一些資訊給我們
[00:02:19.000 --> 00:02:21.000]  但是翻譯就很不同
[00:02:21.000 --> 00:02:23.000]  變成很翹嘴讀出來的時候
[00:02:23.000 --> 00:02:24.000]  大家看剛才
[00:02:24.000 --> 00:02:26.000]  以前讀慣了五千、二千、一千
[00:02:26.000 --> 00:02:30.000]  現在就變成三萬、一萬二千和六千
[00:02:30.000 --> 00:02:33.000]  究竟新譯本它這樣翻譯給我們
[00:02:33.000 --> 00:02:36.000]  其實帶多了什麼資訊給我們呢?
[00:02:36.000 --> 00:02:39.000]  本身所謂五千
[00:02:39.000 --> 00:02:42.000]  其實是五那個單位叫做他蓮德
[00:02:42.000 --> 00:02:44.000]  他蓮德是一個
[00:02:44.000 --> 00:02:51.000]  由政府去講一個定的重量的單位
[00:02:51.000 --> 00:02:54.000]  但是這個單位是一個浮動的單位
[00:02:54.000 --> 00:02:56.000]  即是譬如
[00:02:56.000 --> 00:02:59.000]  可能政府那屆的政府說
[00:02:59.000 --> 00:03:03.000]  一個他蓮德是代表四十五公斤的銀幣
[00:03:03.000 --> 00:03:06.000]  那個朝代就會是
[00:03:06.000 --> 00:03:09.000]  一個他蓮德等於四十五公斤
[00:03:09.000 --> 00:03:11.000]  但是可能下一個朝代
[00:03:11.000 --> 00:03:12.000]  那個政府會講
[00:03:12.000 --> 00:03:16.000]  一個他蓮德是等於五十公斤的錢幣
[00:03:16.000 --> 00:03:19.000]  所以那個他蓮德是由政府
