
[00:00:00.000 --> 00:00:05.000]  失明大哥別將恐懼放大
[00:00:05.000 --> 00:00:09.000]  是最近我看一個見證的節目裏面
[00:00:09.000 --> 00:00:11.000]  其中一個的見證
[00:00:11.000 --> 00:00:15.000]  內容是講一個失明的人士
[00:00:15.000 --> 00:00:17.000]  他的經歷
[00:00:17.000 --> 00:00:22.000]  他怎樣在主裏面經歷主的恩典
[00:00:22.000 --> 00:00:31.000]  以及他去推動一個新的技術去幫助盲人可以獨立生活
[00:00:31.000 --> 00:00:38.000]  我對這個推動新技術可以幫助失明人士獨立生活
[00:00:38.000 --> 00:00:40.000]  很有深刻的印象
[00:00:40.000 --> 00:00:42.000]  原因有兩個
[00:00:42.000 --> 00:00:48.000]  第一就是這個技術製作的人是他本人
[00:00:48.000 --> 00:00:52.000]  他本身就是商務失明
[00:00:52.000 --> 00:00:58.000]  所以程式的內容設計就是他自己親身的經歷
[00:00:58.000 --> 00:01:05.000]  第二就是雖然說他是推動這個新技術的人
[00:01:05.000 --> 00:01:09.000]  但是在故事內容當中
[00:01:09.000 --> 00:01:15.000]  似乎他視他視力上的殘障
[00:01:15.000 --> 00:01:19.000]  他並沒有視為是一個苦難
[00:01:19.000 --> 00:01:21.000]  相反
[00:01:21.000 --> 00:01:26.000]  他是講到基督徒很多時候遇到苦難
[00:01:26.000 --> 00:01:29.000]  會問為什麼會是我
[00:01:29.000 --> 00:01:32.000]  但是在他的身上
[00:01:32.000 --> 00:01:36.000]  他就是問為什麼不是我
[00:01:36.000 --> 00:01:40.000]  這個是城市裏面的一個小故事
[00:01:40.000 --> 00:01:48.000]  今天和大家看的經文是在約翰福音第九章一節至到四十一節
[00:01:48.000 --> 00:01:53.000]  剛才主席為我們讀出的是兩個片段
[00:01:53.000 --> 00:01:59.000]  我們一會兒會去看一看當中還有什麼事情去發生
[00:01:59.000 --> 00:02:04.000]  當中是記載了一個失明人士的故事
[00:02:04.000 --> 00:02:09.000]  耶穌在安息日醫治了一個身內黑眼的人
[00:02:09.000 --> 00:02:16.000]  然而當這個人獲得到從來都未曾有過的視力之後
[00:02:16.000 --> 00:02:22.000]  他卻遭到很多人一路連串的審問
[00:02:22.000 --> 00:02:25.000]  最後更加被驅趕出去
