
[00:00:00.000 --> 00:00:02.000]  今年的年提是什麼呢?
[00:00:02.000 --> 00:00:04.060]  有人醒目地看了一眼就發現
[00:00:04.060 --> 00:00:06.440]  不過舊的年提已經被我撕掉了
[00:00:06.440 --> 00:00:08.100]  那新的年提是什麼呢?
[00:00:08.100 --> 00:00:09.700]  很明顯啦
[00:00:09.700 --> 00:00:12.380]  新的年提就是現在這裏這個
[00:00:12.380 --> 00:00:14.020]  未曾擺上去的
[00:00:14.020 --> 00:00:16.020]  不過新的年提就是這個了
[00:00:16.020 --> 00:00:17.780]  那新的年提這個
[00:00:17.780 --> 00:00:23.100]  看上去清不清楚是什麼東西來的?
[00:00:23.100 --> 00:00:25.100]  都很清楚是吧?
[00:00:25.100 --> 00:00:27.660]  那就叫我們分辨爲正
[00:00:27.660 --> 00:00:29.660]  就叫我們要超越世界
[00:00:29.660 --> 00:00:31.420]  那什麼叫分辨爲正呢?
[00:00:31.420 --> 00:00:32.980]  什麼叫超越世界呢?
[00:00:32.980 --> 00:00:37.180]  可能大家相信主有一些人士都知知肥
[00:00:37.180 --> 00:00:40.980]  那我們今天就講多一點點而已
[00:00:40.980 --> 00:00:42.660]  分辨爲正
[00:00:42.660 --> 00:00:44.180]  超越世界
[00:00:44.180 --> 00:00:46.080]  主要我引述的經文
[00:00:46.080 --> 00:00:49.540]  是在《採嘆記》第十三章二節
[00:00:49.540 --> 00:00:51.540]  我們一起讀一次
[00:00:51.540 --> 00:00:54.620]  以色列中繁後生的
[00:00:54.620 --> 00:00:57.140]  無論是人是生畜
[00:00:57.140 --> 00:01:01.780]  都是我的要分辨爲正歸我
[00:01:01.780 --> 00:01:03.460]  這節經文很重要
[00:01:03.460 --> 00:01:05.300]  大家如果看聖經
[00:01:05.300 --> 00:01:07.300]  出了埃及沒有?
[00:01:07.300 --> 00:01:08.460]  出了
[00:01:08.460 --> 00:01:09.980]  看到《出埃及記》的時候
[00:01:09.980 --> 00:01:13.700]  裏面有很多很精彩的故事
[00:01:13.700 --> 00:01:16.100]  摩西如何有十個神蹟
[00:01:16.100 --> 00:01:18.100]  如何過鴻海
[00:01:18.100 --> 00:01:21.140]  當他帶他們去抗議的時候
[00:01:21.140 --> 00:01:22.620]  領受神的律法
[00:01:22.620 --> 00:01:26.140]  神跟摩西他們講了很多的要求
[00:01:26.140 --> 00:01:27.260]  很多的律法
[00:01:27.260 --> 00:01:30.500]  其中有一樣去到十三章二節
[00:01:30.500 --> 00:01:32.500]  有沒有記得這一節
[00:01:32.500 --> 00:01:34.500]  神話跟摩西講
[00:01:34.500 --> 00:01:36.740]  以色列中繁頭生的
[00:01:36.740 --> 00:01:38.340]  以前是畜牧的時代
[00:01:38.340 --> 00:01:41.380]  有很多牛和羊不斷繁殖
[00:01:41.380 --> 00:01:43.100]  繁頭生的
[00:01:43.100 --> 00:01:44.500]  無論是人
[00:01:44.500 --> 00:01:45.860]  就是家庭裏面
[00:01:45.860 --> 00:01:47.860]  夫婦生的孩子
[00:01:47.860 --> 00:01:48.980]  第一個
[00:01:48.980 --> 00:01:50.980]  那些牛羊
[00:01:50.980 --> 00:01:54.820]  那些母的牛和母羊
[00:01:54.820 --> 00:01:56.580]  生出來的第一隻
[00:01:56.580 --> 00:01:57.980]  那些叫頭生
[00:01:57.980 --> 00:01:59.980]  神話都是我的
[00:01:59.980 --> 00:02:04.020]  大家覺得有什麼感覺
[00:02:04.020 --> 00:02:06.220]  神話那些生出來的第一隻
[00:02:06.220 --> 00:02:07.660]  全部都是我的
[00:02:07.660 --> 00:02:10.300]  要分別爲性歸我
[00:02:10.300 --> 00:02:12.300]  哇 這麼霸道
[00:02:12.300 --> 00:02:13.340]  其實你想想
[00:02:13.340 --> 00:02:15.460]  所有都是神的
[00:02:15.460 --> 00:02:16.380]  不過
[00:02:16.380 --> 00:02:18.140]  這一隻頭生的神
[00:02:18.140 --> 00:02:19.540]  特別提出來說
[00:02:19.540 --> 00:02:20.860]  這一隻是我的
[00:02:20.860 --> 00:02:21.740]  要分別爲性
[00:02:21.740 --> 00:02:24.260]  那時候他們是憲制的
[00:02:24.260 --> 00:02:26.300]  就是說這一隻是神的意思
[00:02:26.300 --> 00:02:27.660]  就是要把祂獻給祂
[00:02:27.660 --> 00:02:28.980]  做一個祭物
[00:02:28.980 --> 00:02:30.980]  你不可以喫了祂
[00:02:30.980 --> 00:02:33.500]  第一隻
[00:02:33.500 --> 00:02:34.860]  你不可以喫
[00:02:34.860 --> 00:02:36.660]  不可以去使用祂
[00:02:36.660 --> 00:02:37.660]  你要把祂獻給祂
[00:02:37.660 --> 00:02:40.340]  做一個祭物給神
[00:02:40.340 --> 00:02:41.820]  那憲制的那些
[00:02:41.820 --> 00:02:42.620]  詳細不講了
[00:02:42.620 --> 00:02:44.100]  我們今天特別講這個
[00:02:44.100 --> 00:02:45.540]  分別爲性
[00:02:45.540 --> 00:02:47.100]  什麼叫分別爲性呢
[00:02:47.100 --> 00:02:49.100]  除了這一節的經文
[00:02:49.100 --> 00:02:50.420]  其實在聖經裏面
[00:02:50.420 --> 00:02:52.060]  貫穿整本聖經
[00:02:52.060 --> 00:02:54.540]  一直都有這個概念
[00:02:54.540 --> 00:02:56.940]  現在就和大家看一看
[00:02:56.940 --> 00:02:59.940]  由《創世紀》開始看
[00:02:59.940 --> 00:03:03.020]  《創世紀》一定讀過
[00:03:03.020 --> 00:03:05.140]  就是讀聖經的第一版
[00:03:05.140 --> 00:03:06.500]  你不讀經不讀經
[00:03:06.500 --> 00:03:08.700]  你都讀過這幾節了
[00:03:08.700 --> 00:03:11.300]  神創造天地的時候
[00:03:11.300 --> 00:03:13.380]  去到第四節
[00:03:13.380 --> 00:03:14.380]  一章四節
[00:03:14.380 --> 00:03:15.300]  神說
[00:03:15.300 --> 00:03:17.860]  神看光是好的
[00:03:17.860 --> 00:03:21.340]  就把光暗分開
[00:03:21.340 --> 00:03:24.140]  大家看《創世紀》創世的時候
[00:03:24.140 --> 00:03:26.220]  有沒有很多疑問呢
[00:03:26.220 --> 00:03:27.500]  應該有很多疑問
[00:03:27.500 --> 00:03:29.940]  如果你去詳細想
[00:03:29.940 --> 00:03:32.060]  或者你年紀大了
[00:03:32.060 --> 00:03:33.300]  有很多出現的人
[00:03:33.300 --> 00:03:35.020]  挑戰聖經的時候
[00:03:35.020 --> 00:03:36.780]  就說《創世紀》
[00:03:36.780 --> 00:03:37.860]  錄入《創世紀》
[00:03:37.860 --> 00:03:39.180]  怎麼可能呢
[00:03:39.180 --> 00:03:41.540]  很多的科學研究
[00:03:41.540 --> 00:03:43.380]  很多的天文學家
[00:03:43.380 --> 00:03:45.300]  很多的考古學家
[00:03:45.300 --> 00:03:46.420]  地質學家
[00:03:46.420 --> 00:03:48.020]  都證明了
[00:03:48.020 --> 00:03:51.460]  這個地球是幾千萬年前造的
[00:03:51.460 --> 00:03:52.820]  你這樣錄入《創世紀》
[00:03:52.820 --> 00:03:56.900]  根據聖經講得六千多年的地球歷史
[00:03:56.900 --> 00:03:58.020]  肯定是錯的
[00:03:58.020 --> 00:03:59.940]  這本聖經真的不行
[00:03:59.940 --> 00:04:01.620]  都使很多人
[00:04:01.620 --> 00:04:03.980]  拿這個來標榜了
[00:04:03.980 --> 00:04:06.740]  就說基督教
[00:04:06.740 --> 00:04:10.060]  根據聖經的信仰是不可信的
[00:04:10.060 --> 00:04:12.020]  有沒有聽過
[00:04:12.020 --> 00:04:13.940]  應該都有聽過
[00:04:13.940 --> 00:04:16.420]  我爲這些人可惜
[00:04:16.420 --> 00:04:19.860]  特別是那些人如果他因爲嚴肅
[00:04:19.860 --> 00:04:21.340]  又離開了世界
[00:04:21.340 --> 00:04:27.060]  他就被一個他們自己以爲很對的看法
[00:04:27.060 --> 00:04:28.940]  誤了他們人生
[00:04:28.940 --> 00:04:31.660]  很多人一直去研究聖經
[00:04:31.660 --> 00:04:33.460]  很多人
[00:04:33.460 --> 00:04:35.820]  你看到那些人和博士
[00:04:35.820 --> 00:04:38.980]  都不是落得虛名的
[00:04:38.980 --> 00:04:42.060]  都真的花很多功夫去做研究
[00:04:42.060 --> 00:04:45.660]  真的去挖掘這些知識
[00:04:45.660 --> 00:04:50.500]  越來越多的研究
[00:04:50.500 --> 00:04:52.460]  知道這個《創世紀》
