
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹們,平安!
[00:00:02.000 --> 00:00:05.500]  我們都知道,
[00:00:05.500 --> 00:00:07.500]  每逢新年的時候,
[00:00:07.500 --> 00:00:11.000]  我們都會收到不少祝福的語句,對不對?
[00:00:11.000 --> 00:00:12.500]  例如甚麼呢?
[00:00:12.500 --> 00:00:14.000]  例如:一帆風順,
[00:00:14.000 --> 00:00:15.500]  雙喜臨門,
[00:00:15.500 --> 00:00:17.000]  三星報喜,
[00:00:17.000 --> 00:00:18.500]  四季平安,
[00:00:18.500 --> 00:00:19.500]  五福臨門,
[00:00:19.500 --> 00:00:21.000]  六祿無窮,
[00:00:21.000 --> 00:00:22.500]  七甚麼?
[00:00:22.500 --> 00:00:24.000]  七星高照,
[00:00:24.000 --> 00:00:25.500]  八面玲瓏,
[00:00:25.500 --> 00:00:26.500]  長長九九,
[00:00:26.500 --> 00:00:27.500]  十全十美,
[00:00:27.500 --> 00:00:29.000]  這些祝賀說話。
[00:00:29.000 --> 00:00:32.500]  我們在新年期間說這些祝賀語,
[00:00:32.500 --> 00:00:34.500]  都不會嫌多,對不對?
[00:00:34.500 --> 00:00:36.500]  今天的講題就是:
[00:00:36.500 --> 00:00:38.500]  祝願平安!
[00:00:38.500 --> 00:00:41.000]  想到要得到真正的平安,
[00:00:41.000 --> 00:00:42.500]  我們大概都了解到,
[00:00:42.500 --> 00:00:46.500]  不是單靠我們說些可憐的祝福語句,
[00:00:46.500 --> 00:00:48.500]  就可以擁有到。
[00:00:48.500 --> 00:00:51.000]  我們今天透過神的話語,
[00:00:51.000 --> 00:00:53.500]  能夠真正去找到,
[00:00:53.500 --> 00:00:58.000]  並且擁有這個真正屬天的平安。
[00:00:58.000 --> 00:01:00.000]  我們先看看這則經文,
[00:01:00.000 --> 00:01:02.000]  在詩篇的第八十五篇,
[00:01:02.000 --> 00:01:04.000]  它的背景是甚麼?
[00:01:04.000 --> 00:01:06.500]  第一節很快就反映出來,
[00:01:06.500 --> 00:01:13.000]  這首詩篇是秘魯回歸後的作品。
[00:01:13.000 --> 00:01:15.000]  詩裡我們看到,
[00:01:15.000 --> 00:01:18.000]  歷史的背景大約都會在
[00:01:18.000 --> 00:01:24.000]  以斯拉記和尼希米記這個時代。
[00:01:24.000 --> 00:01:26.000]  詩人回顧神過去,
[00:01:26.000 --> 00:01:28.000]  對於以色列人的懲罰,
[00:01:28.000 --> 00:01:32.000]  他感受很深的感受,
[00:01:32.000 --> 00:01:34.500]  直至神止息他的怒氣,
[00:01:34.500 --> 00:01:37.000]  神向他的子民施予了憐憫,
[00:01:37.000 --> 00:01:40.000]  讓他們重歸故鄉。
[00:01:40.000 --> 00:01:43.000]  當猶太人回歸故鄉時,
[00:01:43.000 --> 00:01:46.000]  他們萬里長征,長途跋涉,
[00:01:46.000 --> 00:01:48.500]  當然忍受了很多苦楚,
[00:01:48.500 --> 00:01:50.000]  回到家鄉,
[00:01:50.000 --> 00:01:53.500]  看到他們的故鄉被人侵佔了,
[00:01:53.500 --> 00:01:57.000]  大多數的百姓都身無一物,
[00:01:57.000 --> 00:02:00.000]  想重建家園,談何容易呢?
[00:02:00.000 --> 00:02:05.000]  甚至有些人忍痛地出售他的兒女,
[00:02:05.000 --> 00:02:09.000]  為了換取一些糧食維生,
[00:02:09.000 --> 00:02:12.000]  去救燕眉之急。
