
[00:00:00.000 --> 00:00:05.000]  相信每一個人都有很多自己害怕的事情
[00:00:05.000 --> 00:00:10.000]  我自己有一件事是常常害怕的
[00:00:10.000 --> 00:00:12.000]  不知道大家知不知道是甚麼
[00:00:12.000 --> 00:00:16.000]  其實每一次講道的時候
[00:00:16.000 --> 00:00:18.000]  我都是很害怕的
[00:00:18.000 --> 00:00:20.000]  不過每一次站在講壇的時候
[00:00:20.000 --> 00:00:23.000]  心裏面都是有些恐懼
[00:00:23.000 --> 00:00:26.000]  因為心裏面是會覺得
[00:00:26.000 --> 00:00:28.000]  可能我預備得不好
[00:00:28.000 --> 00:00:30.000]  一會兒我就會覺得不好
[00:00:30.000 --> 00:00:35.000]  所以心裏面都會有些不安和緊張
[00:00:35.000 --> 00:00:39.000]  很多時候我會在講道之前
[00:00:39.000 --> 00:00:41.000]  都通常是這樣想
[00:00:41.000 --> 00:00:44.000]  不要緊,即使我覺得不好
[00:00:44.000 --> 00:00:47.000]  或者有些掉漆漆的
[00:00:47.000 --> 00:00:49.000]  或者有些不暢順的時候
[00:00:49.000 --> 00:00:52.000]  但我有時候會告訴自己
[00:00:52.000 --> 00:00:54.000]  神呀,我已經預備了
[00:00:54.000 --> 00:01:00.000]  神呀,我已經將這篇道準備講得最好了
[00:01:00.000 --> 00:01:06.000]  我又很相信神會彌補中間可能的錯漏
[00:01:06.000 --> 00:01:08.000]  或者甚至這些不足
[00:01:08.000 --> 00:01:11.000]  讓神去補足
[00:01:11.000 --> 00:01:17.000]  成為了對大家最美好的祝福
[00:01:17.000 --> 00:01:21.000]  剛才主席所讀的經文
[00:01:21.000 --> 00:01:27.000]  是私人面對恐懼的一種描述
[00:01:27.000 --> 00:01:30.000]  他說受敵是要踐踏他
[00:01:30.000 --> 00:01:32.000]  在他被人追殺的時候
[00:01:32.000 --> 00:01:35.000]  甚至攻擊的有很多人
[00:01:35.000 --> 00:01:37.000]  這種恐懼
[00:01:37.000 --> 00:01:40.000]  大衛就說我要倚靠神
[00:01:40.000 --> 00:01:43.000]  他重複了幾次說要倚靠神
[00:01:43.000 --> 00:01:45.000]  他心中是緊張
[00:01:45.000 --> 00:01:49.000]  但口裏仍然宣告是倚靠神
[00:01:49.000 --> 00:01:53.000]  這才能克服這種恐懼
[00:01:53.000 --> 00:01:56.000]  而且人還是勇敢起來
[00:01:56.000 --> 00:01:58.000]  所以我今天的講題是
