
[00:00:00.000 --> 00:00:03.480]  今天主要跟大家講一節的經文
[00:00:03.480 --> 00:00:09.400]  是詳細的去研究《以賽雅書》第九章第六節這一節的經文
[00:00:09.400 --> 00:00:15.180]  但這一節的經文是要有上文下理去襯托之下
[00:00:15.180 --> 00:00:18.680]  才能夠令我們更加的會明白
[00:00:18.680 --> 00:00:23.580]  為什麼這一節的經文是一個這麼重要的經文
[00:00:23.580 --> 00:00:30.140]  剛才主席已經讀了這一段的經文給大家看了
[00:00:30.140 --> 00:00:32.480]  其實都頗長的 讀下去
[00:00:32.480 --> 00:00:35.220]  但我都想一點點去重複它
[00:00:35.220 --> 00:00:39.900]  首先他說在黑暗中行走的百姓看見了大江
[00:00:39.900 --> 00:00:44.260]  住在死蔭之地的人有江照耀他們
[00:00:44.260 --> 00:00:47.660]  這一句話裏面兩次提及到江字
[00:00:47.660 --> 00:00:51.060]  江什麼時候才會顯得它是江呢
[00:00:51.060 --> 00:00:55.420]  當你在黑暗的時候 你就會顯得它是江
[00:00:55.420 --> 00:01:00.420]  話說有一次我在一個教會 那時候在加拿大
[00:01:00.420 --> 00:01:05.320]  那一次我要由一個地方走去另一個地方
[00:01:05.320 --> 00:01:08.980]  但是那裏沒有燈 漆黑一片
[00:01:08.980 --> 00:01:14.860]  我真的好像要摸著摸著這樣去走
[00:01:14.860 --> 00:01:19.220]  後來我就想起 我袋裏有盒火柴
[00:01:19.220 --> 00:01:21.660]  可能你說牧師你為什麼要帶火柴
[00:01:21.660 --> 00:01:28.320]  帶火柴就帶火柴 或者是中秋節點燈籠
[00:01:28.320 --> 00:01:31.780]  總之我有火柴 我就點著一支火柴
[00:01:31.780 --> 00:01:34.720]  嘩 發覺完全很不同了
[00:01:34.720 --> 00:01:37.760]  看見前面原來有一些椅子阻礙著
[00:01:37.760 --> 00:01:40.440]  如果不是點著火柴就會撞到腳
[00:01:40.440 --> 00:01:45.340]  一支火柴的江能夠可以照耀一個這麼漆黑的地方
[00:01:45.340 --> 00:01:48.340]  就是因為那裏夠了黑暗
[00:01:48.340 --> 00:01:50.540]  所以這一句聖經就是說
[00:01:50.540 --> 00:01:53.320]  在黑暗中行走的百姓 看見了大江
[00:01:53.320 --> 00:01:56.020]  住在死暗之地的人 有江照他們
[00:01:56.020 --> 00:01:58.500]  這個不是說到literally
[00:01:58.500 --> 00:02:01.940]  是好像現在 嘩 你看一看上面 真的很刺眼的
[00:02:01.940 --> 00:02:04.460]  我有時候來到這裏 我覺得很浪費
[00:02:04.460 --> 00:02:07.340]  這麼多燈藏著 是不是
[00:02:07.340 --> 00:02:13.260]  其實就是因為它這個不是指這些照明燈
[00:02:13.260 --> 00:02:15.840]  是指在一個很黑暗的世代
[00:02:15.840 --> 00:02:19.820]  很黑暗的世代 有一個盼望
[00:02:19.820 --> 00:02:22.820]  這個江的代表就是有個盼望
[00:02:22.820 --> 00:02:25.360]  他說 歷史者國民眾多
[00:02:25.360 --> 00:02:28.040]  使他們喜樂大增 很開心快樂
[00:02:28.040 --> 00:02:31.480]  他們在你面前歡喜 好像收割時的歡喜
[00:02:31.480 --> 00:02:34.380]  又像人分戰利品那樣的快樂
[00:02:34.380 --> 00:02:37.600]  大家知道做農夫有一樣東西就是什麼呢
[00:02:37.600 --> 00:02:40.960]  就是很辛苦的 對不對 還要去等的
[00:02:40.960 --> 00:02:45.520]  你不是今天殺了種 明天就有東西出了
[00:02:45.520 --> 00:02:50.020]  有沒有這些東西 好像芽菜都要一點時間發的 是不是
[00:02:50.020 --> 00:02:53.780]  但是當那些農夫他們在一年裏面
[00:02:53.780 --> 00:03:00.660]  他們去殺種 等候 慢慢慢慢又要除草 捉蟲 很多東西的
[00:03:00.660 --> 00:03:04.500]  等到秋收的時候 他們很開心
[00:03:04.500 --> 00:03:07.460]  當秋收之後 他們還有什麼 冬天
[00:03:07.460 --> 00:03:10.940]  冬天就不用做事了 冬天下雪 或者是這麼冷
[00:03:10.940 --> 00:03:12.620]  他們也不會在那個時候播種
[00:03:12.620 --> 00:03:17.300]  他們休息的時間等著新年來臨
[00:03:17.300 --> 00:03:23.700]  一年裏面 聖誕節是我們可以說是很開心
[00:03:23.700 --> 00:03:28.820]  甚至是最開心的一個時候 普世歡騰
[00:03:28.820 --> 00:03:35.840]  但是以往耕種的時候 他們未必信耶穌
[00:03:35.840 --> 00:03:38.500]  不認識耶穌 特別是中國內地
[00:03:38.500 --> 00:03:42.720]  秋收就是一個很開心的時候 可以休息
[00:03:42.720 --> 00:03:46.060]  或者是打聖仗
[00:03:46.060 --> 00:03:49.620]  我早前最近因為不知道說到日本人打
[00:03:49.620 --> 00:03:52.260]  中國是80年了 是不是 80週年了
[00:03:52.260 --> 00:03:55.380]  香港好像是39年至45年淪陷 是不是
[00:03:55.380 --> 00:03:58.900]  我有一點印象 聽到是這樣 看過印象
[00:03:58.900 --> 00:04:03.020]  打聖仗 那個時候你說多開心 是不是
[00:04:03.020 --> 00:04:05.420]  在打仗的時候是很艱難的
[00:04:05.420 --> 00:04:09.060]  我聽說那個時候是要人吃人的
[00:04:09.060 --> 00:04:13.220]  在後巷會有人賣牛雜 怎麼會有牛雜的
[00:04:13.220 --> 00:04:17.860]  有些人說 然後在後巷看到有些人被人宰了
[00:04:17.860 --> 00:04:21.540]  那些牛雜其實就是那些人的內臟
[00:04:21.540 --> 00:04:26.040]  真的 我聽到這些故事不知道有多真
[00:04:26.040 --> 00:04:28.540]  真的是很淒涼的時候
[00:04:28.540 --> 00:04:31.500]  所以是能夠秋收很開心
[00:04:31.500 --> 00:04:37.040]  而且好像是人分戰利品一樣這麼快樂
[00:04:37.040 --> 00:04:41.100]  你什麼時候試過很開心 什麼時候試過開心
[00:04:41.100 --> 00:04:44.040]  我想起我有一次是很開心
[00:04:44.040 --> 00:04:47.300]  我在1973年去加拿大 很倉促的
[00:04:47.300 --> 00:04:51.740]  真的很倉促的去了一間大學讀書
[00:04:51.740 --> 00:04:55.060]  那間大學是一間大學來的 但是很小的
[00:04:55.060 --> 00:04:56.580]  那個時候我還沒有相信
[00:04:56.580 --> 00:05:00.020]  就想一想大學當然是越大間越好 是不是
[00:05:00.020 --> 00:05:03.580]  這麼小的一間 唉 只有幾百個學生
[00:05:03.580 --> 00:05:07.780]  當然不妨是出名的 真的不是出名的
[00:05:07.780 --> 00:05:13.940]  我在讀書的時候 我就想著這裡讀一年而已
[00:05:13.940 --> 00:05:18.340]  第二年我一定要轉校的 轉一間大的
[00:05:18.340 --> 00:05:22.700]  那個時候那個教授我讀化學都讀得挺好的
[00:05:22.700 --> 00:05:25.620]  其實我喜歡生物 但是化學容易拿分一點
[00:05:25.620 --> 00:05:29.660]  因為化學是計數的 計數你可以拿100分的
[00:05:29.660 --> 00:05:32.860]  生物 你有些時候要問題的 QA
[00:05:32.860 --> 00:05:35.180]  如果multiple choice你也可以的
[00:05:35.180 --> 00:05:37.460]  但是QA你要寫文章的
[00:05:37.460 --> 00:05:40.740]  很難拿100分給你的 通常都比較難
[00:05:40.740 --> 00:05:44.820]  我記得那個化學老師知道我是準備第二年走
[00:05:44.820 --> 00:05:48.780]  他就跟我說 你在這裡讀 你讀到畢業
[00:05:48.780 --> 00:05:50.980]  你跟我讀 讀到畢業
[00:05:50.980 --> 00:05:57.300]  接著我會推薦你去我以前拿PhD的那間大學
[00:05:57.300 --> 00:06:00.460]  是Queens University 都是一間有名氣的大學
[00:06:00.460 --> 00:06:02.580]  他在Queens拿了他的PhD的
[00:06:02.580 --> 00:06:04.900]  但是我讀的那間大學是BC省的
[00:06:04.900 --> 00:06:08.420]  他說我推薦你去那裡讀化學工程師
[00:06:08.420 --> 00:06:10.900]  我說我沒有興趣讀化學工程師
[00:06:10.900 --> 00:06:13.340]  我的興趣是生物學
[00:06:13.340 --> 00:06:18.460]  接著我說 我又微信主啦 又牙刷啦
[00:06:18.460 --> 00:06:22.740]  我說我是中國人 要跟教授講英文
[00:06:22.740 --> 00:06:26.540]  我說我們不會做井底之蛙
[00:06:26.540 --> 00:06:32.340]  其實這間大學就是一個井
[00:06:32.340 --> 00:06:34.140]  我好像有青蛙在大學裡面
[00:06:34.140 --> 00:06:38.540]  我是不會甘心在井底裡面做一隻青蛙
[00:06:38.540 --> 00:06:41.700]  望上去看到天只有這麼大 其實天都大
[00:06:41.700 --> 00:06:44.580]  接著我再丟多一句書包給他
[00:06:44.580 --> 00:06:47.340]  我說我要觀之於大海
[00:06:47.340 --> 00:06:54.900]  是不是都挺有上進心
[00:06:54.900 --> 00:06:57.820]  是挺有上進心的 其實是牙刷的
[00:06:57.820 --> 00:06:59.340]  所以我就不去
[00:06:59.340 --> 00:07:01.660]  接著我就報學校了
[00:07:01.660 --> 00:07:03.940]  報UT,U of Toronto
[00:07:03.940 --> 00:07:08.860]  報McMaster,Western,Ontario
[00:07:08.860 --> 00:07:10.580]  再報多一間Saskatchewan
[00:07:10.580 --> 00:07:12.820]  Saskatchewan就沒那麼出名
[00:07:12.820 --> 00:07:14.900]  我打算報四間 三間出名的
[00:07:14.900 --> 00:07:16.060]  一間沒那麼出名的
[00:07:16.060 --> 00:07:17.340]  就算那三間不收我
[00:07:17.340 --> 00:07:19.460]  這間收我 起碼我都一間
[00:07:19.460 --> 00:07:22.020]  要穩陣 謹慎
[00:07:22.020 --> 00:07:24.300]  結果四間都收了我
[00:07:24.300 --> 00:07:29.020]  我就選擇去UT讀
[00:07:29.020 --> 00:07:34.220]  我記得那天收到一封信
[00:07:34.220 --> 00:07:36.300]  U of T寄來的
[00:07:36.300 --> 00:07:38.700]  一拆開那時候還是要用寄信的
[00:07:38.700 --> 00:07:41.460]  沒有電郵那類的
[00:07:41.460 --> 00:07:44.100]  1973年 1974年都好像不知道有沒有電郵
[00:07:44.100 --> 00:07:46.020]  就算有我都不會用
[00:07:46.020 --> 00:07:48.020]  不懂得用 又沒有WhatsApp那些
[00:07:48.020 --> 00:07:51.380]  看到U of T收了我
[00:07:51.380 --> 00:07:52.900]  很開心 其實我講不出來
[00:07:52.900 --> 00:07:55.020]  不是我很開心 開心到怎樣
[00:07:55.020 --> 00:07:58.620]  開心到那裏有幾級樓梯才去到街
[00:07:58.620 --> 00:08:01.060]  我就直接在樓梯上面跳下去
[00:08:01.060 --> 00:08:01.980]  其實不是很高
[00:08:01.980 --> 00:08:03.580]  大約好像這裡跳下去那麼高
[00:08:03.580 --> 00:08:04.620]  幾級樓梯
[00:08:04.620 --> 00:08:07.220]  那時候那種開心
[00:08:07.220 --> 00:08:10.620]  就是我人生裏面可以說是
[00:08:10.620 --> 00:08:13.100]  很開心 很開心 最開心的一件事
[00:08:13.100 --> 00:08:14.820]  因為成功了
[00:08:14.820 --> 00:08:17.540]  第二次開心不講給你聽是甚麼事
[00:08:17.540 --> 00:08:18.940]  OK 有機會
[00:08:18.940 --> 00:08:21.660]  崇拜完之後我單獨講給你聽是甚麼事
[00:08:21.660 --> 00:08:23.180]  那次我不是跳下去
[00:08:23.180 --> 00:08:26.060]  我跳上了床上
