
[00:00:00.000 --> 00:00:05.000]  奉主的名 問候弟兄姊妹平安
[00:00:05.000 --> 00:00:09.000]  今天是農曆新年
[00:00:09.000 --> 00:00:16.000]  我們在這個時候 祝大家新年快樂
[00:00:16.000 --> 00:00:21.000]  和蒙上帝的恩典
[00:00:21.000 --> 00:00:25.000]  剛才我在英文的訊息裡說 你要蒙上帝的恩典
[00:00:25.000 --> 00:00:35.000]  你心裡要好 怎麼才能心裡好呢
[00:00:35.000 --> 00:00:41.000]  那些很憎恨你的人 害你的人
[00:00:41.000 --> 00:00:46.000]  你要對他好 上帝就對你好
[00:00:46.000 --> 00:00:51.000]  我今天的訊息是 賴曼求醫之類
[00:00:51.000 --> 00:00:58.000]  在大家的手上 大方的已經寫著 題目是賴曼求醫之旅
[00:00:58.000 --> 00:01:05.000]  但我有一個小提 上帝很奇妙
[00:01:05.000 --> 00:01:14.000]  上帝可以藉一個小女子 去救一個大男人
[00:01:14.000 --> 00:01:23.000]  你看看 上帝做了一些人認為做不到的事情
[00:01:23.000 --> 00:01:30.000]  人認為弱小的女子 怎麼可以幫到大男人呢
[00:01:30.000 --> 00:01:36.000]  但是在上帝手上 上帝可以做到
[00:01:36.000 --> 00:01:42.000]  各位弟兄姊妹 我和大家一直研究獵王 幾上幾下
[00:01:42.000 --> 00:01:46.000]  我和大家一直研究獵王 幾上幾下
[00:01:46.000 --> 00:01:49.000]  我們來到這個環境 是什麼環境呢
[00:01:49.000 --> 00:01:51.000]  我們來到這裡 是什麼樣子呢
[00:01:51.000 --> 00:01:55.000]  阿哈王死了 阿哈王的大兒子也死了
[00:01:55.000 --> 00:02:00.000]  阿哈王的第二兒子叫做若蘭 現在做了王
[00:02:00.000 --> 00:02:03.000]  他的第二兒子做了王
[00:02:03.000 --> 00:02:06.000]  這四個北角以色列有什麼問題呢
[00:02:06.000 --> 00:02:09.000]  這四個北角以色列有什麼問題呢
[00:02:09.000 --> 00:02:12.000]  因為他們仍然拜偶像
[00:02:12.000 --> 00:02:14.000]  雖然他們在拜偶像
