
[00:00:00.000 --> 00:00:05.000]  神總會做很多奇妙的事超乎我們的想像
[00:00:05.000 --> 00:00:09.000]  颱風會不會攔阻福音傳揚?不會
[00:00:09.000 --> 00:00:12.000]  颱風只會讓一些事情不能做成
[00:00:12.000 --> 00:00:16.000]  但最重要的是神還是會繼續完成它
[00:00:16.000 --> 00:00:19.000]  所以看我們怎麼樣來回應這件事
[00:00:19.000 --> 00:00:25.000]  所以今天我們要來分享一個訊息
[00:00:25.000 --> 00:00:31.000]  叫做耶穌再來前我們要做的事
[00:00:31.000 --> 00:00:33.000]  有一天我孩子不知道為什麼來告訴我
[00:00:33.000 --> 00:00:39.000]  他說 他說世界末日很可怕
[00:00:39.000 --> 00:00:45.000]  我說 算了 我說算了 算很可怕
[00:00:45.000 --> 00:00:47.000]  他說 真的很可怕耶
[00:00:47.000 --> 00:00:52.000]  我說 我不曉得是兒童教會教的還是哪裡說的
[00:00:52.000 --> 00:00:55.000]  他說 很可怕耶 他說 那你要怎麼樣
[00:00:55.000 --> 00:01:01.000]  他說 真的很可怕 最好趕快去耶穌那裡
[00:01:01.000 --> 00:01:04.000]  那就不會碰到這個世界末日
[00:01:04.000 --> 00:01:06.000]  但是你如果要碰到成年人
[00:01:06.000 --> 00:01:11.000]  你跟他說 世界末日 他說 啊 還早還早
[00:01:11.000 --> 00:01:16.000]  他不會想要先到耶穌那裡
[00:01:16.000 --> 00:01:21.000]  我們今天要來思考 世界末日真的到了嗎
[00:01:21.000 --> 00:01:24.000]  真的到我們要回應什麼事情
[00:01:24.000 --> 00:01:27.000]  到底耶穌看中的是什麼事
[00:01:27.000 --> 00:01:30.000]  然後我們看中的是什麼事
[00:01:30.000 --> 00:01:35.000]  以前玩一個遊戲
[00:01:35.000 --> 00:01:39.000]  這個遊戲它是來思想生死的問題
[00:01:39.000 --> 00:01:40.000]  所以這個遊戲很簡單
[00:01:40.000 --> 00:01:44.000]  就說你想一想 預先寫一個遺囑
[00:01:44.000 --> 00:01:49.000]  到什麼要處理的
[00:01:49.000 --> 00:01:53.000]  有時候想了半天 就是書太多怎麼辦
[00:01:53.000 --> 00:01:55.000]  後來想一想也不對
[00:01:55.000 --> 00:01:57.000]  所有的東西 物質的東西
[00:01:57.000 --> 00:01:59.000]  所有一些東西 一些關係
[00:01:59.000 --> 00:02:03.000]  當我們告訴哪裡去的時候
[00:02:03.000 --> 00:02:07.000]  那不是都解決了嗎
[00:02:07.000 --> 00:02:10.000]  很多事情其實都已經
[00:02:10.000 --> 00:02:12.000]  你不想處理 它也解決了
[00:02:12.000 --> 00:02:15.000]  你也不需要去處理它
[00:02:15.000 --> 00:02:20.000]  所以大家會擔憂的就是跟你有關係的人
[00:02:20.000 --> 00:02:22.000]  他的未來怎麼辦
[00:02:22.000 --> 00:02:23.000]  但是你又仔細想
[00:02:23.000 --> 00:02:25.000]  如果他未來不是在上帝手中
[00:02:25.000 --> 00:02:28.000]  你也不能怎麼辦
[00:02:28.000 --> 00:02:30.000]  他未來一直掌握在他自己手裡
[00:02:30.000 --> 00:02:33.000]  那你想他怎麼辦 他也不能怎麼辦
[00:02:33.000 --> 00:02:36.000]  但是他未來掌握在上帝手中
[00:02:36.000 --> 00:02:40.000]  那上帝管他 你快樂就好了
[00:02:40.000 --> 00:02:42.000]  你要怎麼辦
[00:02:42.000 --> 00:02:44.000]  我想有時候我們都陷入一個情感
[00:02:44.000 --> 00:02:48.000]  還有理性的一個弔詭的思考裡面
[00:02:48.000 --> 00:02:49.000]  當你好好的想的時候
[00:02:49.000 --> 00:02:51.000]  你就覺得其實沒什麼事
[00:02:51.000 --> 00:02:52.000]  但當你情感來的時候
[00:02:52.000 --> 00:02:55.000]  你就發現好多事情
[00:02:55.000 --> 00:02:58.000]  災難也是如此 末世也是如此
[00:02:58.000 --> 00:03:01.000]  所以我想我們今天就來分享一下
[00:03:01.000 --> 00:03:05.000]  到底耶穌再來前我們要做什麼事
[00:03:05.000 --> 00:03:07.000]  什麼是耶穌所看重的
[00:03:07.000 --> 00:03:10.000]  什麼是我們在這時候可以回應的
[00:03:10.000 --> 00:03:34.000]  所以請你翻開馬太福音第24章3到14節
[00:03:34.000 --> 00:03:36.000]  在信約聖經35頁
[00:03:36.000 --> 00:03:46.000]  馬太福音24章第3節到第14節
[00:03:46.000 --> 00:03:49.000]  我們一起來讀第3節
[00:03:49.000 --> 00:03:51.000]  耶穌在橄欖山上坐著
[00:03:51.000 --> 00:03:53.000]  門徒阿安的來說
[00:03:53.000 --> 00:03:56.000]  請告訴我們什麼時候有這些事
[00:03:56.000 --> 00:04:00.000]  你降臨和世界的幕僚有什麼預兆呢
[00:04:00.000 --> 00:04:03.000]  耶穌回答說你們要謹慎
[00:04:03.000 --> 00:04:05.000]  免得如果有人迷惑你們
[00:04:05.000 --> 00:04:09.000]  因為將來有好些人冒我的名來說
[00:04:09.000 --> 00:04:13.000]  我是基督並且要迷惑許多人
[00:04:13.000 --> 00:04:16.000]  你們也要聽見打仗和打仗的風聲
[00:04:16.000 --> 00:04:18.000]  總不要驚慌
[00:04:18.000 --> 00:04:20.000]  因為這些事是必須有的
[00:04:20.000 --> 00:04:23.000]  只是末期還沒有到
[00:04:23.000 --> 00:04:25.000]  民要攻打民 國要攻打國
[00:04:25.000 --> 00:04:28.000]  國處必有饑荒地震
[00:04:28.000 --> 00:04:31.000]  這都是災難的起頭
[00:04:31.000 --> 00:04:34.000]  那時人要把你們陷在患難裡
[00:04:34.000 --> 00:04:36.000]  也要殺害你們
[00:04:36.000 --> 00:04:39.000]  你們又要為我的名被萬民恨惡
[00:04:39.000 --> 00:04:41.000]  那時必有許多人跌倒
[00:04:41.000 --> 00:04:45.000]  也要彼此陷害彼此恨惡
[00:04:45.000 --> 00:04:48.000]  且有好些俠仙之起來迷惑多人
[00:04:48.000 --> 00:04:50.000]  只因不法的事增多
[00:04:50.000 --> 00:04:54.000]  許多人的愛心才漸漸冷淡了
[00:04:54.000 --> 00:04:57.000]  唯有忍耐到底的必然得救
[00:04:57.000 --> 00:05:00.000]  這天國的福音要傳遍天下
[00:05:00.000 --> 00:05:04.000]  為萬民作見證 然後末期才來到
[00:05:04.000 --> 00:05:05.000]  我們一起來祷告
[00:05:05.000 --> 00:05:08.000]  請祖我們再次來回應祢
[00:05:08.000 --> 00:05:11.000]  祖讓我們的心被祢的話語所抓住
[00:05:11.000 --> 00:05:14.000]  也從祢聖靈在我們當中來運行
[00:05:14.000 --> 00:05:16.000]  帶來真理的智慧
[00:05:16.000 --> 00:05:18.000]  帶來真理的啟示
[00:05:18.000 --> 00:05:20.000]  也帶來真理的自由
[00:05:20.000 --> 00:05:21.000]  祖我讓祢幫助我們
[00:05:21.000 --> 00:05:23.000]  祖讓我們聚集在這裡
[00:05:23.000 --> 00:05:25.000]  我也要一起來敬拜祢
[00:05:25.000 --> 00:05:27.000]  我也要一起來思想祢
[00:05:27.000 --> 00:05:29.000]  我也要一起來回應祢
[00:05:29.000 --> 00:05:32.000]  祖讓我們的心被祢打開
[00:05:32.000 --> 00:05:36.000]  從祢聖靈繼續向我們心來說話
[00:05:36.000 --> 00:05:38.000]  也向我們靈來說話
[00:05:38.000 --> 00:05:39.000]  祖我們讚美祢
[00:05:39.000 --> 00:05:41.000]  奉耶穌基督的名道
[00:05:41.000 --> 00:05:42.000]  告
[00:05:42.000 --> 00:05:43.000]  Amen
[00:05:43.000 --> 00:05:47.000]  這段經文提到耶穌的門徒
[00:05:47.000 --> 00:05:49.000]  他來問耶穌
[00:05:49.000 --> 00:05:51.000]  他是暗暗的來
[00:05:51.000 --> 00:05:54.000]  所以其實他們很清楚明白
[00:05:54.000 --> 00:05:56.000]  末世會來臨
[00:05:56.000 --> 00:05:58.000]  也好像聽懂了耶穌所說的
[00:05:58.000 --> 00:06:01.000]  所以他就來跟耶穌說
[00:06:01.000 --> 00:06:02.000]  耶穌啊
[00:06:02.000 --> 00:06:05.000]  祢降臨和世界的末了
[00:06:05.000 --> 00:06:07.000]  有什麼預兆
[00:06:07.000 --> 00:06:09.000]  他還問一個狀況
[00:06:09.000 --> 00:06:11.000]  其實這是很重要的
[00:06:11.000 --> 00:06:13.000]  因為如果我們不能看見
[00:06:13.000 --> 00:06:15.000]  我們就不能夠預備
[00:06:15.000 --> 00:06:17.000]  如果我們不能看見
[00:06:17.000 --> 00:06:19.000]  我們就不能夠回應
[00:06:19.000 --> 00:06:21.000]  你會發現我們做很多事情
[00:06:21.000 --> 00:06:23.000]  你都是看見一些端倪
[00:06:23.000 --> 00:06:24.000]  然後你來處理
[00:06:24.000 --> 00:06:26.000]  有些父母很關心他的孩子
[00:06:26.000 --> 00:06:28.000]  所以他們在他生活當中
[00:06:28.000 --> 00:06:30.000]  看見他有一些的動作
