
[00:00:00.000 --> 00:00:09.000]  剛纔那首詩歌是講感恩
[00:00:09.000 --> 00:00:19.000]  感恩看來好像很簡單的一個動作
[00:00:19.000 --> 00:00:23.000]  但是做起來一點都不簡單
[00:00:23.000 --> 00:00:27.000]  事事順利,當然我們會感恩
[00:00:27.000 --> 00:00:32.000]  身體有病痛你會感恩嗎?
[00:00:32.000 --> 00:00:37.000]  一年多的疫情你會感恩嗎?
[00:00:37.000 --> 00:00:43.000]  見到很多不願意的事情你會感恩嗎?
[00:00:43.000 --> 00:00:49.000]  感恩是表示我們對上帝的信靠
[00:00:49.000 --> 00:00:54.000]  儘管人令我們非常失望
[00:00:54.000 --> 00:01:00.000]  或者這樣說人怎會給我們希望呢?
[00:01:00.000 --> 00:01:05.000]  但是如果我們學會感恩
[00:01:05.000 --> 00:01:11.000]  我們將我們的眼睛定精在上帝的身邊
[00:01:11.000 --> 00:01:15.000]  因爲祂配得我們的感謝
[00:01:15.000 --> 00:01:21.000]  在以前教會侍奉有一個特點
[00:01:21.000 --> 00:01:25.000]  基本上每個星期都是朱唐的牧師講道
[00:01:25.000 --> 00:01:34.000]  所以如果你不喜歡這位牧師就非常痛苦了
[00:01:34.000 --> 00:01:38.000]  因爲每個星期都是他講道
[00:01:38.000 --> 00:01:46.000]  一年五十個星期至少有四十五次都是他講道
[00:01:46.000 --> 00:01:56.000]  除了少數有時外來過境的港元
[00:01:56.000 --> 00:01:58.000]  或者有時有些節旗
[00:01:58.000 --> 00:02:03.000]  我們因爲有中英文不同崇拜就合併了
[00:02:03.000 --> 00:02:05.000]  可能有時候有節旗
[00:02:05.000 --> 00:02:09.000]  我們跟英語崇拜合併起來一同崇拜
[00:02:09.000 --> 00:02:16.000]  從那時候開始我就習慣了用一個系列或者一卷聖經作爲講道的主題
[00:02:16.000 --> 00:02:19.000]  所以從那個時候開始我就養成一個習慣
[00:02:19.000 --> 00:02:24.000]  就是用一個系列或者一卷書卷來講道分享
[00:02:24.000 --> 00:02:26.000]  好處是我在那段時間
[00:02:26.000 --> 00:02:31.000]  我是集中在某個範圍裏面很專注的去研讀
[00:02:31.000 --> 00:02:40.000]  好處就是我非常集中的去準備講一個題目
[00:02:40.000 --> 00:02:43.000]  我就不用每個星期要想想講什麼題目
[00:02:43.000 --> 00:02:48.000]  我就不需要每個星期去想想要講什麼題目了
[00:02:48.000 --> 00:02:51.000]  當然每種的模式都有利有弊
[00:02:51.000 --> 00:02:54.000]  當然每一種的模式都有利有弊
[00:02:54.000 --> 00:02:59.000]  但是理論上神的話語是沒有一句不帶着能力
[00:02:59.000 --> 00:03:04.000]  理論上上帝的話語是沒有一句不帶着能力的對嗎
[00:03:04.000 --> 00:03:07.000]  系列式的講道有一個好處就是有一個連貫性
[00:03:07.000 --> 00:03:10.000]  系列式的講道有一個好處就是連貫性
[00:03:10.000 --> 00:03:14.000]  但是不好的地方有時就那個色徹性就會忽略了
[00:03:14.000 --> 00:03:19.000]  不足的地方就是切合性的方面可能不足了
[00:03:19.000 --> 00:03:22.000]  可能近期有一些很熱門的議題
[00:03:22.000 --> 00:03:26.000]  可能最近有一些很熱切的話題
[00:03:26.000 --> 00:03:30.000]  大家很想牧師在信仰上有些什麼回應
[00:03:30.000 --> 00:03:33.000]  大家很想牧師在信仰上有一點的回應
[00:03:33.000 --> 00:03:36.000]  有時因爲系列未必是講這些的
[00:03:36.000 --> 00:03:40.000]  有時候我講的系列裏面的題目不是講這些東西
[00:03:40.000 --> 00:03:44.000]  還好香港的教會很恩待牧者
[00:03:44.000 --> 00:03:48.000]  還好香港的教會很恩待香港的牧師
[00:03:48.000 --> 00:03:52.000]  就以我們教會爲例有其他兩次的星期日是其他的講述
[00:03:52.000 --> 00:04:00.000]  就以我們教會爲例有兩次的星期日是其他的講述
[00:04:00.000 --> 00:04:04.000]  就可以補足這方面的不足
[00:04:04.000 --> 00:04:09.000]  我受我自己新約的老師孫寶玲牧師的影響
[00:04:09.000 --> 00:04:13.000]  我受我自己新約的老師孫寶玲牧師的影響
[00:04:13.000 --> 00:04:18.000]  我對約翰福音是情有獨鍾的
[00:04:18.000 --> 00:04:24.000]  是他將敘事文學研經的方法帶我進入聖經的世界
[00:04:24.000 --> 00:04:30.000]  是他將敘事文學研究帶我進入聖經的世界
[00:04:30.000 --> 00:04:35.000]  是他將敘事文學研究帶我進入聖經的世界
[00:04:35.000 --> 00:04:38.000]  加上未來我要隆重預告
[00:04:38.000 --> 00:04:41.000]  加上未來我要隆重預告
[00:04:41.000 --> 00:04:44.000]  梁耀庚執事他會出山
[00:04:44.000 --> 00:04:47.000]  梁耀庚執事他會出山
[00:04:47.000 --> 00:04:50.000]  他會在主流學校約翰福音
[00:04:50.000 --> 00:04:52.000]  所以萬衆期待
[00:04:52.000 --> 00:04:57.000]  我只是稱託他而已
[00:04:57.000 --> 00:05:02.000]  同一時間可能透過講道和主要學
[00:05:02.000 --> 00:05:05.000]  同一時間透過講道和主流學
[00:05:05.000 --> 00:05:09.000]  我們可能是一次很深入去研讀約翰福音
[00:05:09.000 --> 00:05:12.000]  我們可能會有一次很深入去研讀約翰福音
[00:05:12.000 --> 00:05:15.000]  有人形容約翰福音可深可淺
[00:05:15.000 --> 00:05:18.000]  有人形容約翰福音可深可淺
[00:05:18.000 --> 00:05:21.000]  淺可以讓小孩玩水
[00:05:21.000 --> 00:05:23.000]  淺可以讓小孩玩水
[00:05:23.000 --> 00:05:26.000]  如果要很深入可以讓大象洗澡
