
[00:00:00.000 --> 00:00:05.820]  各位金融姐妹朋友們 早安
[00:00:05.820 --> 00:00:10.580]  第一個禮拜我都是要講廣傳福音 片插經期的信息
[00:00:10.580 --> 00:00:12.800]  將近已經講了十次了
[00:00:12.800 --> 00:00:14.980]  大家聽煩了沒有
[00:00:14.980 --> 00:00:18.220]  謝謝 謝謝 還沒有聽煩
[00:00:18.220 --> 00:00:21.260]  我講的廣傳福音 片插經期
[00:00:21.260 --> 00:00:24.540]  這個好像是一個老掉牙的話題 不是嗎
[00:00:24.540 --> 00:00:27.940]  其實是有新的作風 新的方法
[00:00:27.940 --> 00:00:33.300]  所以我常常喜歡講是「古舊實價 歷久彌新」
[00:00:33.300 --> 00:00:38.200]  當我第一次講的時候 我說韓國世界路金蘭教會
[00:00:38.200 --> 00:00:42.120]  他們十年從十二個人一路衝到上萬人
[00:00:42.120 --> 00:00:45.600]  因為他們憑著信心 努力地禱告
[00:00:45.600 --> 00:00:48.220]  努力地傳福音 努力地做功
[00:00:48.220 --> 00:00:52.800]  後來我又講說 福音本是神的大能
[00:00:52.800 --> 00:00:54.960]  這是羅馬書上面講的
[00:00:54.960 --> 00:00:59.720]  我要先救猶太人 再救希臘人
[00:00:59.720 --> 00:01:04.720]  後來我說 到底我們傳福音如耶穌所說
[00:01:04.720 --> 00:01:06.320]  耶穌有一次記得嗎
[00:01:06.320 --> 00:01:08.960]  祂說你們每傳這福音
[00:01:08.960 --> 00:01:12.480]  要述說這女人為我所做的
[00:01:12.480 --> 00:01:14.520]  這女人是誰 就是瑪利亞
[00:01:14.520 --> 00:01:19.680]  她用香膏打破了 然後膏抹耶穌
[00:01:19.680 --> 00:01:21.720]  所以這個瑪利亞所做的
[00:01:21.720 --> 00:01:23.840]  耶穌是要跟我們講說
[00:01:23.840 --> 00:01:27.880]  我們傳福音 不要只傳說神要為你做什麼
[00:01:27.880 --> 00:01:32.240]  你自己也要講說 你要為神做什麼
[00:01:32.240 --> 00:01:34.280]  這是一個很重要的事情
[00:01:34.280 --> 00:01:35.800]  我後來又講了一次說
[00:01:35.800 --> 00:01:40.800]  廣傳福音之後 到底福音傳遍了會有什麼現象呢
[00:01:40.800 --> 00:01:43.400]  我越來越看 我們越來越像
[00:01:43.400 --> 00:01:44.960]  因為在約爾書說
[00:01:44.960 --> 00:01:47.880]  「簡蟲吃剩的南蟲來吃 南蟲吃剩的臘宰來吃
[00:01:47.880 --> 00:01:50.560]  臘宰吃剩的黃蟲來吃」
[00:01:50.560 --> 00:01:54.800]  但是這一切神都要加倍的還給我們
[00:01:54.800 --> 00:01:58.800]  雖然我們以前是好像圈內沒有娘
[00:01:58.800 --> 00:02:00.120]  棚裡沒有油
[00:02:00.120 --> 00:02:01.920]  無花果樹不開花
[00:02:01.920 --> 00:02:03.520]  橄欖樹不結果
[00:02:03.520 --> 00:02:05.200]  葡萄樹也不結果
[00:02:05.200 --> 00:02:08.920]  但是我要因葉和花喜樂
[00:02:08.920 --> 00:02:11.680]  我的腳要快如母鹿的蹄
[00:02:11.680 --> 00:02:13.760]  穩行在高處
[00:02:13.760 --> 00:02:17.600]  這是當我們廣傳福音片插進去之後
[00:02:17.600 --> 00:02:20.080]  神會讓我們看見
[00:02:20.080 --> 00:02:23.280]  常常跟我一起在禱告的人都知道
[00:02:23.280 --> 00:02:26.200]  我在禱告室裡面也放了一張紙條
[00:02:26.200 --> 00:02:29.880]  上面寫著說求神給我們十個小組
[00:02:29.880 --> 00:02:31.840]  這叫做片插驚奇
[00:02:31.840 --> 00:02:36.240]  現在十個小組將近有一半已經成立了
[00:02:36.240 --> 00:02:40.080]  阿萊維亞詹姆斯最新成立的是弟兄小組
[00:02:40.080 --> 00:02:41.800]  叫做約蘇亞小組
[00:02:41.800 --> 00:02:44.400]  那麼我們也在一起聚會
[00:02:44.400 --> 00:02:45.880]  在一起聊天
[00:02:45.880 --> 00:02:47.200]  一起爬山
[00:02:47.200 --> 00:02:48.960]  一起去打乒乓
