
[00:00:00.000 --> 00:00:02.100]  好 讓姊妹平安
[00:00:02.100 --> 00:00:05.400]  也跟大家說一聲聖誕快樂
[00:00:05.400 --> 00:00:08.700]  能夠可以在聖誕這段日子
[00:00:08.700 --> 00:00:10.900]  我們有我們的崇拜
[00:00:10.900 --> 00:00:12.700]  去聆聽神的話
[00:00:12.700 --> 00:00:14.500]  也是一個很大的恩典
[00:00:14.500 --> 00:00:17.000]  讓我們一起來對低頭禱告
[00:00:17.000 --> 00:00:21.200]  差天父 我們多謝你
[00:00:21.200 --> 00:00:25.400]  你叫到你的愛子為我們而生
[00:00:25.400 --> 00:00:28.500]  你又賜下你寶貴的話語
[00:00:28.500 --> 00:00:32.100]  讓我們今天仍然去回看的時候
[00:00:32.100 --> 00:00:35.600]  我們去明白你對我們的心意
[00:00:35.600 --> 00:00:38.200]  願起這個多變的世代
[00:00:38.200 --> 00:00:40.600]  你的話成為我們的明燈
[00:00:40.600 --> 00:00:42.300]  成為我們的安慰
[00:00:42.300 --> 00:00:43.400]  我們這樣祈禱
[00:00:43.400 --> 00:00:45.500]  奉主耶穌基督的名字
[00:00:45.500 --> 00:00:48.600]  祈求 阿們
[00:00:48.600 --> 00:00:50.000]  聖誕快樂
[00:00:50.000 --> 00:00:51.600]  Merry Christmas
[00:00:51.600 --> 00:00:52.900]  我想我小時候
[00:00:52.900 --> 00:00:57.500]  第一個學會關於快樂的英文就是Happy
[00:00:57.500 --> 00:01:00.100]  第二個應該是Merry Christmas
[00:01:00.100 --> 00:01:01.700]  那個Merry
[00:01:01.700 --> 00:01:04.400]  因為當時逢聖誕節
[00:01:04.400 --> 00:01:08.200]  無論你在電視上的廣告
[00:01:08.200 --> 00:01:10.500]  還是街上的報紙
[00:01:10.500 --> 00:01:12.700]  還是聖誕卡上面
[00:01:12.700 --> 00:01:15.300]  都是寫著Merry Christmas
[00:01:15.300 --> 00:01:17.200]  聖誕快樂
[00:01:17.200 --> 00:01:20.000]  聖誕期間大家互相問候
[00:01:20.000 --> 00:01:22.100]  或者回到學校見到同學
[00:01:22.100 --> 00:01:24.200]  都是會跟大家說一聲
[00:01:24.200 --> 00:01:25.200]  聖誕快樂
[00:01:25.200 --> 00:01:27.400]  Merry Christmas
[00:01:27.400 --> 00:01:28.800]  不過今年
[00:01:28.800 --> 00:01:30.600]  不知道你會不會
[00:01:30.600 --> 00:01:32.500]  都有些猶豫
[00:01:32.500 --> 00:01:35.900]  去祝人家聖誕快樂
[00:01:35.900 --> 00:01:37.700]  或者對於你來說
[00:01:37.700 --> 00:01:39.700]  今年這個聖誕
[00:01:39.700 --> 00:01:42.200]  你快樂嗎?
[00:01:42.200 --> 00:01:44.200]  以往的聖誕節
[00:01:44.200 --> 00:01:48.500]  香港人總是一早就作周詳的預備
[00:01:48.500 --> 00:01:50.900]  可能年中 年頭
[00:01:50.900 --> 00:01:52.900]  甚至已經計劃好
[00:01:52.900 --> 00:01:55.600]  去哪裏過聖誕
[00:01:55.600 --> 00:01:57.500]  去日本滑雪
[00:01:57.500 --> 00:01:59.500]  去台灣吃東西
[00:01:59.500 --> 00:02:02.200]  還是去歐美度假
[00:02:02.200 --> 00:02:05.200]  或者趁這個機會去探親
[00:02:05.200 --> 00:02:06.700]  如果不外遊的
[00:02:06.700 --> 00:02:08.200]  留在香港
[00:02:08.200 --> 00:02:11.700]  也會一早安排豐富的節目
[00:02:11.700 --> 00:02:14.900]  預先要預訂的聖誕大餐
[00:02:14.900 --> 00:02:16.300]  買聖誕禮物
[00:02:16.300 --> 00:02:17.300]  開派對
[00:02:17.300 --> 00:02:19.000]  看燈飾
[00:02:19.000 --> 00:02:20.200]  不過今年
[00:02:20.200 --> 00:02:24.600]  我們都一起過一個不一樣的聖誕
[00:02:24.600 --> 00:02:27.800]  沒得出去放假 度假
