
[00:00:00.000 --> 00:00:03.640]  今天想跟大家一起看的經文
[00:00:03.640 --> 00:00:05.960]  正正也是教導我們
[00:00:05.960 --> 00:00:09.960]  領受耶穌給門徒的教導禱告
[00:00:09.960 --> 00:00:13.120]  也是我們今天作為基督徒的一個學習
[00:00:13.120 --> 00:00:15.920]  今天經文在路加福音的十一章一到十三節
[00:00:15.920 --> 00:00:18.840]  其中一部份其實是我們很熟悉的
[00:00:18.840 --> 00:00:23.120]  就是耶穌教導門徒禱告裏面的主禱文
[00:00:23.120 --> 00:00:26.400]  當然路加福音是一個比較短的版本
[00:00:26.400 --> 00:00:30.280]  長的版本就是馬太福音的第六章
[00:00:30.280 --> 00:00:34.040]  路加福音的十一章裏面
[00:00:34.040 --> 00:00:36.400]  主禱文以至耶穌用了一個比喻
[00:00:36.400 --> 00:00:41.800]  其實是很想教導門徒在禱告裏面一個很重要的功課
[00:00:41.800 --> 00:00:45.720]  所以我希望我們一起來從今天的經文來領受
[00:00:45.720 --> 00:00:49.480]  我想邀請大家一起來先讀完這一段聖經
[00:00:49.480 --> 00:00:52.840]  路加福音十一章一到十三節
[00:00:52.840 --> 00:00:54.960]  我們一起來重讀這段經文
[00:00:54.960 --> 00:00:56.440]  看到的預備一齊來讀
[00:00:56.440 --> 00:00:57.760]  預備起
[00:00:57.760 --> 00:01:00.640]  耶穌在一個地方禱告
[00:01:00.640 --> 00:01:02.040]  禱告完了
[00:01:02.040 --> 00:01:04.480]  有個門徒對他說
[00:01:04.480 --> 00:01:07.280]  求主教導我們禱告
[00:01:07.280 --> 00:01:10.840]  像約翰教導他的門徒
[00:01:10.840 --> 00:01:12.240]  耶穌說
[00:01:12.240 --> 00:01:15.400]  你們禱告的時候要說
[00:01:15.400 --> 00:01:17.800]  我們在天上的符
[00:01:17.800 --> 00:01:20.920]  願人都尊你的名為聖
[00:01:20.920 --> 00:01:23.040]  願你的國降臨
[00:01:23.040 --> 00:01:26.040]  願你的旨意行在地上
[00:01:26.040 --> 00:01:28.480]  如同行在天上
[00:01:28.480 --> 00:01:33.160]  我們日用的飲食天天是給我們
[00:01:33.160 --> 00:01:35.200]  赦免我們的罪
[00:01:35.200 --> 00:01:40.040]  因為我們也赦免凡虧欠我們的人
[00:01:40.040 --> 00:01:42.800]  不叫我們遇見試探
[00:01:42.800 --> 00:01:45.440]  救我們脫離凶惡
[00:01:45.440 --> 00:01:47.160]  耶穌又說
[00:01:47.160 --> 00:01:50.440]  你們中間誰有一個朋友
[00:01:50.440 --> 00:01:53.720]  半夜到他那裡去說
[00:01:53.720 --> 00:01:57.520]  朋友請借給我三個餅
[00:01:57.520 --> 00:01:59.960]  因為我有一個朋友
[00:01:59.960 --> 00:02:02.920]  行路來到我這裡
[00:02:02.920 --> 00:02:06.240]  我沒有什麼給他擺上
[00:02:06.240 --> 00:02:09.160]  那人在裡面回答說
[00:02:09.160 --> 00:02:11.160]  不要搞擾我
