
[00:00:00.000 --> 00:00:04.700]  我們先看看初期教會的生活
[00:00:04.700 --> 00:00:09.000]  初期教會生活,剛才我們念了第四章是有一段
[00:00:09.000 --> 00:00:14.000]  然後我們過去也分享過的
[00:00:14.000 --> 00:00:16.500]  在第二章裡頭也有一段
[00:00:16.500 --> 00:00:20.000]  第二章裡頭就是三節到四十七節
[00:00:20.000 --> 00:00:26.000]  講到當時的初期教會生活的情況
[00:00:26.000 --> 00:00:32.000]  當初期教會的生活,我們看到在五雄節聖靈降臨了
[00:00:32.000 --> 00:00:35.000]  門徒得到從上面來的能力
[00:00:35.000 --> 00:00:39.000]  他能夠勇敢地為耶穌做見證
[00:00:39.000 --> 00:00:43.000]  所以在五雄節那天,彼得起來講道
[00:00:43.000 --> 00:00:49.000]  把高舉耶穌,說你們所棄絕的這位耶穌
[00:00:49.000 --> 00:00:52.000]  神已經立他為主為基督了
[00:00:52.000 --> 00:00:56.000]  你們這樣做的話是沒有合乎神的心意
[00:00:56.000 --> 00:01:00.000]  眾人聽了以後都很扎心,他們就悔改了
[00:01:00.000 --> 00:01:05.000]  當天就有三千人悔改信祖了
[00:01:05.000 --> 00:01:10.000]  接著後面彼得到聖殿去禱告的時候
[00:01:10.000 --> 00:01:17.000]  碰到一個生來是缺職的,他就差不多有四十歲了
[00:01:17.000 --> 00:01:20.000]  這四十年來他就沒有自己走過路
[00:01:20.000 --> 00:01:24.000]  他遇見彼得,以為彼得要給他什麼錢
[00:01:24.000 --> 00:01:30.000]  彼得說我經營都沒有,我奉耶穌的名叫你起來行走
[00:01:30.000 --> 00:01:32.000]  這個缺職就立刻就起來了
[00:01:32.000 --> 00:01:36.000]  他能夠走的,跳的,而且能夠讚美神
[00:01:36.000 --> 00:01:39.000]  這個是一個很大的神蹟
[00:01:39.000 --> 00:01:43.000]  四十年都不會走路,一下子還能走,還能跳
[00:01:43.000 --> 00:01:48.000]  就看見神的能力顯在他的身上
[00:01:48.000 --> 00:01:58.000]  這一天彼得也受到猶太人的逼迫
[00:01:58.000 --> 00:02:02.000]  就說你為什麼這麼教訓人
[00:02:02.000 --> 00:02:08.000]  彼得就跟他說,我是奉耶穌的名叫這個人痊癒
[00:02:08.000 --> 00:02:13.000]  這個時候耶穌的名就給大家知道
[00:02:13.000 --> 00:02:21.000]  彼得就跟這些猶太人說,你們要迴轉,要離開罪惡
[00:02:21.000 --> 00:02:28.000]  所以當天又有五千人醒了主,教會就是成長的很快
[00:02:28.000 --> 00:02:33.000]  短短這個短時間就很多人醒了主
[00:02:33.000 --> 00:02:38.000]  但是出席教會也不是容易的
[00:02:38.000 --> 00:02:43.000]  在那個時候也受到猶太人的逼迫
[00:02:43.000 --> 00:02:48.000]  他的逼迫主要是從公議會
[00:02:48.000 --> 00:02:52.000]  公議會就是猶太人的宗教法庭
[00:02:52.000 --> 00:02:58.000]  不是公會,一般說公會,其實是公議會
[00:02:58.000 --> 00:03:02.000]  就是他們自己沒有政治的權利
[00:03:02.000 --> 00:03:11.000]  但是羅馬人允許他們有自己的宗教的裁判所
[00:03:11.000 --> 00:03:18.000]  來中間管理這些猶太人的信仰,他們的宗教生活
[00:03:18.000 --> 00:03:22.000]  那麼這些人他們有宗教上的權利
[00:03:22.000 --> 00:03:25.000]  他們沒有政治這樣的權利
[00:03:25.000 --> 00:03:30.000]  他們可以來組織起來差不多有七十個人
[00:03:30.000 --> 00:03:37.000]  還有一個大祭司做他們的領導
[00:03:37.000 --> 00:03:42.000]  就是萬一遇到這些以色列人,猶太人
[00:03:42.000 --> 00:03:48.000]  他們沒有遵守摩西律法或者沒有遵守猶太教的規定的話
[00:03:48.000 --> 00:03:52.000]  那麼他們有權利來審判他們
[00:03:52.000 --> 00:03:57.000]  甚至最嚴重的可以用石頭把他砸死
[00:03:57.000 --> 00:04:01.000]  這個是在宗教方面,他沒有政治的權利
[00:04:01.000 --> 00:04:05.000]  但是他有宗教的權利
[00:04:05.000 --> 00:04:14.000]  他們看見彼得跟使徒這樣的在聖殿院子裡頭
[00:04:14.000 --> 00:04:19.000]  來傳講耶穌,有人願意聽
[00:04:19.000 --> 00:04:24.000]  他們就禁止他們,就把他們抓起來
[00:04:24.000 --> 00:04:31.000]  就禁止他們使徒奉了耶穌的名來講論,來教訓人
